Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Patrick Mahomes (11445372),Patrick Mahomes,11445372,CPT,17100,KC@NE 10/14/2018 08:20PM ET,KC,29.02
QB,Tom Brady (11445373),Tom Brady,11445373,CPT,16800,KC@NE 10/14/2018 08:20PM ET,NE,20.33
WR,Tyreek Hill (11445374),Tyreek Hill,11445374,CPT,14400,KC@NE 10/14/2018 08:20PM ET,KC,20.04
RB,James White (11445375),James White,11445375,CPT,13800,KC@NE 10/14/2018 08:20PM ET,NE,20
TE,Travis Kelce (11445376),Travis Kelce,11445376,CPT,12900,KC@NE 10/14/2018 08:20PM ET,KC,19.14
RB,Kareem Hunt (11445377),Kareem Hunt,11445377,CPT,12000,KC@NE 10/14/2018 08:20PM ET,KC,16.44
WR,Julian Edelman (11445378),Julian Edelman,11445378,CPT,11700,KC@NE 10/14/2018 08:20PM ET,NE,12.7
QB,Patrick Mahomes (11445334),Patrick Mahomes,11445334,FLEX,11400,KC@NE 10/14/2018 08:20PM ET,KC,29.02
TE,Rob Gronkowski (11445379),Rob Gronkowski,11445379,CPT,11400,KC@NE 10/14/2018 08:20PM ET,NE,12.36
QB,Tom Brady (11445335),Tom Brady,11445335,FLEX,11200,KC@NE 10/14/2018 08:20PM ET,NE,20.33
RB,Sony Michel (11445380),Sony Michel,11445380,CPT,10800,KC@NE 10/14/2018 08:20PM ET,NE,12.3
WR,Tyreek Hill (11445336),Tyreek Hill,11445336,FLEX,9600,KC@NE 10/14/2018 08:20PM ET,KC,20.04
QB,Chad Henne (11445381),Chad Henne,11445381,CPT,9600,KC@NE 10/14/2018 08:20PM ET,KC,0
QB,Brian Hoyer (11445382),Brian Hoyer,11445382,CPT,9600,KC@NE 10/14/2018 08:20PM ET,NE,-0.3
WR,Sammy Watkins (11445383),Sammy Watkins,11445383,CPT,9300,KC@NE 10/14/2018 08:20PM ET,KC,11.9
RB,James White (11445337),James White,11445337,FLEX,9200,KC@NE 10/14/2018 08:20PM ET,NE,20
WR,Josh Gordon (11445384),Josh Gordon,11445384,CPT,9000,KC@NE 10/14/2018 08:20PM ET,NE,8.97
TE,Travis Kelce (11445338),Travis Kelce,11445338,FLEX,8600,KC@NE 10/14/2018 08:20PM ET,KC,19.14
RB,Kareem Hunt (11445339),Kareem Hunt,11445339,FLEX,8000,KC@NE 10/14/2018 08:20PM ET,KC,16.44
WR,Julian Edelman (11445340),Julian Edelman,11445340,FLEX,7800,KC@NE 10/14/2018 08:20PM ET,NE,12.7
TE,Rob Gronkowski (11445341),Rob Gronkowski,11445341,FLEX,7600,KC@NE 10/14/2018 08:20PM ET,NE,12.36
RB,Sony Michel (11445342),Sony Michel,11445342,FLEX,7200,KC@NE 10/14/2018 08:20PM ET,NE,12.3
QB,Chad Henne (11445343),Chad Henne,11445343,FLEX,6400,KC@NE 10/14/2018 08:20PM ET,KC,0
QB,Brian Hoyer (11445344),Brian Hoyer,11445344,FLEX,6400,KC@NE 10/14/2018 08:20PM ET,NE,-0.3
WR,Chris Hogan (11445385),Chris Hogan,11445385,CPT,6300,KC@NE 10/14/2018 08:20PM ET,NE,7.46
WR,Sammy Watkins (11445345),Sammy Watkins,11445345,FLEX,6200,KC@NE 10/14/2018 08:20PM ET,KC,11.9
WR,Josh Gordon (11445346),Josh Gordon,11445346,FLEX,6000,KC@NE 10/14/2018 08:20PM ET,NE,8.97
K,Stephen Gostkowski (11445386),Stephen Gostkowski,11445386,CPT,5100,KC@NE 10/14/2018 08:20PM ET,NE,7.8
K,Harrison Butker (11445387),Harrison Butker,11445387,CPT,4800,KC@NE 10/14/2018 08:20PM ET,KC,9
WR,Chris Hogan (11445347),Chris Hogan,11445347,FLEX,4200,KC@NE 10/14/2018 08:20PM ET,NE,7.46
WR,Phillip Dorsett (11445388),Phillip Dorsett,11445388,CPT,3900,KC@NE 10/14/2018 08:20PM ET,NE,10
WR,Cordarrelle Patterson (11445389),Cordarrelle Patterson,11445389,CPT,3600,KC@NE 10/14/2018 08:20PM ET,NE,7
K,Stephen Gostkowski (11445348),Stephen Gostkowski,11445348,FLEX,3400,KC@NE 10/14/2018 08:20PM ET,NE,7.8
DST,Patriots  (11445390),Patriots ,11445390,CPT,3300,KC@NE 10/14/2018 08:20PM ET,NE,6.2
K,Harrison Butker (11445349),Harrison Butker,11445349,FLEX,3200,KC@NE 10/14/2018 08:20PM ET,KC,9
WR,Chris Conley (11445391),Chris Conley,11445391,CPT,3000,KC@NE 10/14/2018 08:20PM ET,KC,5.98
DST,Chiefs  (11445392),Chiefs ,11445392,CPT,3000,KC@NE 10/14/2018 08:20PM ET,KC,7.8
WR,Phillip Dorsett (11445350),Phillip Dorsett,11445350,FLEX,2600,KC@NE 10/14/2018 08:20PM ET,NE,10
WR,Cordarrelle Patterson (11445351),Cordarrelle Patterson,11445351,FLEX,2400,KC@NE 10/14/2018 08:20PM ET,NE,7
RB,Kenjon Barner (11445393),Kenjon Barner,11445393,CPT,2400,KC@NE 10/14/2018 08:20PM ET,NE,1.1
RB,Spencer Ware (11445394),Spencer Ware,11445394,CPT,2400,KC@NE 10/14/2018 08:20PM ET,KC,2.64
DST,Patriots  (11445352),Patriots ,11445352,FLEX,2200,KC@NE 10/14/2018 08:20PM ET,NE,6.2
