Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Saquon Barkley (11487994),Saquon Barkley,11487994,CPT,18000,NYG@ATL 10/22/2018 08:15PM ET,NYG,27.18
QB,Matt Ryan (11487995),Matt Ryan,11487995,CPT,16800,NYG@ATL 10/22/2018 08:15PM ET,ATL,27.14
WR,Julio Jones (11487996),Julio Jones,11487996,CPT,15900,NYG@ATL 10/22/2018 08:15PM ET,ATL,20.82
WR,Odell Beckham Jr. (11487997),Odell Beckham Jr.,11487997,CPT,15000,NYG@ATL 10/22/2018 08:15PM ET,NYG,19.46
QB,Eli Manning (11487998),Eli Manning,11487998,CPT,14100,NYG@ATL 10/22/2018 08:15PM ET,NYG,15.45
RB,Saquon Barkley (11487956),Saquon Barkley,11487956,FLEX,12000,NYG@ATL 10/22/2018 08:15PM ET,NYG,27.18
QB,Matt Ryan (11487957),Matt Ryan,11487957,FLEX,11200,NYG@ATL 10/22/2018 08:15PM ET,ATL,27.14
RB,Tevin Coleman (11487999),Tevin Coleman,11487999,CPT,11100,NYG@ATL 10/22/2018 08:15PM ET,ATL,11.75
WR,Julio Jones (11487958),Julio Jones,11487958,FLEX,10600,NYG@ATL 10/22/2018 08:15PM ET,ATL,20.82
WR,Calvin Ridley (11488000),Calvin Ridley,11488000,CPT,10500,NYG@ATL 10/22/2018 08:15PM ET,ATL,16.2
WR,Odell Beckham Jr. (11487959),Odell Beckham Jr.,11487959,FLEX,10000,NYG@ATL 10/22/2018 08:15PM ET,NYG,19.46
WR,Sterling Shepard (11488001),Sterling Shepard,11488001,CPT,9900,NYG@ATL 10/22/2018 08:15PM ET,NYG,13.18
QB,Eli Manning (11487960),Eli Manning,11487960,FLEX,9400,NYG@ATL 10/22/2018 08:15PM ET,NYG,15.45
WR,Mohamed Sanu (11488002),Mohamed Sanu,11488002,CPT,9300,NYG@ATL 10/22/2018 08:15PM ET,ATL,12.48
QB,Matt Schaub (11488003),Matt Schaub,11488003,CPT,9000,NYG@ATL 10/22/2018 08:15PM ET,ATL,0.55
QB,Alex Tanney (11488004),Alex Tanney,11488004,CPT,9000,NYG@ATL 10/22/2018 08:15PM ET,NYG,0
QB,Kyle Lauletta (11488005),Kyle Lauletta,11488005,CPT,9000,NYG@ATL 10/22/2018 08:15PM ET,NYG,0
TE,Austin Hooper (11488006),Austin Hooper,11488006,CPT,8700,NYG@ATL 10/22/2018 08:15PM ET,ATL,11.88
TE,Evan Engram (11488007),Evan Engram,11488007,CPT,7500,NYG@ATL 10/22/2018 08:15PM ET,NYG,8.8
RB,Tevin Coleman (11487961),Tevin Coleman,11487961,FLEX,7400,NYG@ATL 10/22/2018 08:15PM ET,ATL,11.75
WR,Calvin Ridley (11487962),Calvin Ridley,11487962,FLEX,7000,NYG@ATL 10/22/2018 08:15PM ET,ATL,16.2
WR,Sterling Shepard (11487963),Sterling Shepard,11487963,FLEX,6600,NYG@ATL 10/22/2018 08:15PM ET,NYG,13.18
RB,Ito Smith (11488008),Ito Smith,11488008,CPT,6600,NYG@ATL 10/22/2018 08:15PM ET,ATL,7.47
WR,Mohamed Sanu (11487964),Mohamed Sanu,11487964,FLEX,6200,NYG@ATL 10/22/2018 08:15PM ET,ATL,12.48
QB,Matt Schaub (11487965),Matt Schaub,11487965,FLEX,6000,NYG@ATL 10/22/2018 08:15PM ET,ATL,0.55
QB,Alex Tanney (11487966),Alex Tanney,11487966,FLEX,6000,NYG@ATL 10/22/2018 08:15PM ET,NYG,0
QB,Kyle Lauletta (11487967),Kyle Lauletta,11487967,FLEX,6000,NYG@ATL 10/22/2018 08:15PM ET,NYG,0
TE,Austin Hooper (11487968),Austin Hooper,11487968,FLEX,5800,NYG@ATL 10/22/2018 08:15PM ET,ATL,11.88
K,Giorgio Tavecchio (11488009),Giorgio Tavecchio,11488009,CPT,5100,NYG@ATL 10/22/2018 08:15PM ET,ATL,0
TE,Evan Engram (11487969),Evan Engram,11487969,FLEX,5000,NYG@ATL 10/22/2018 08:15PM ET,NYG,8.8
K,Aldrick Rosas (11488010),Aldrick Rosas,11488010,CPT,4800,NYG@ATL 10/22/2018 08:15PM ET,NYG,8.67
WR,Justin Hardy (11488011),Justin Hardy,11488011,CPT,4500,NYG@ATL 10/22/2018 08:15PM ET,ATL,1.28
RB,Ito Smith (11487970),Ito Smith,11487970,FLEX,4400,NYG@ATL 10/22/2018 08:15PM ET,ATL,7.47
DST,Falcons  (11488012),Falcons ,11488012,CPT,4200,NYG@ATL 10/22/2018 08:15PM ET,ATL,2.33
DST,Giants  (11488013),Giants ,11488013,CPT,3600,NYG@ATL 10/22/2018 08:15PM ET,NYG,2.67
K,Giorgio Tavecchio (11487971),Giorgio Tavecchio,11487971,FLEX,3400,NYG@ATL 10/22/2018 08:15PM ET,ATL,0
