Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nfl.p.8497,Clark,Harris,TE,CIN,KC,CIN@KC,8:20PM EDT,10,0.0," ",No
nfl.p.24791,A.J.,Green,WR,CIN,KC,CIN@KC,8:20PM EDT,35,15.6," ",No
nfl.p.24822,Andy,Dalton,QB,CIN,KC,CIN@KC,8:20PM EDT,32,19.8," ",No
nfl.p.26660,Giovani,Bernard,RB,CIN,KC,CIN@KC,8:20PM EDT,17,12.1,Q,No
nfl.p.28473,Tyler,Kroft,TE,CIN,KC,CIN@KC,8:20PM EDT,10,1.1,O,No
nfl.p.28545,C.J.,Uzomah,TE,CIN,KC,CIN@KC,8:20PM EDT,15,5.1,Q,No
nfl.p.29288,Tyler,Boyd,WR,CIN,KC,CIN@KC,8:20PM EDT,22,14.8," ",No
nfl.p.29433,Cody,Core,WR,CIN,KC,CIN@KC,8:20PM EDT,10,0.0," ",No
nfl.p.29441,Jeff,Driskel,QB,CIN,KC,CIN@KC,8:20PM EDT,20,0.0," ",No
nfl.p.29703,Alex,Erickson,WR,CIN,KC,CIN@KC,8:20PM EDT,10,1.3," ",No
nfl.p.30122,John,Ross,WR,CIN,KC,CIN@KC,8:20PM EDT,13,5.8," ",No
nfl.p.30161,Joe,Mixon,RB,CIN,KC,CIN@KC,8:20PM EDT,33,17.0," ",No
nfl.p.30241,Josh,Malone,WR,CIN,KC,CIN@KC,8:20PM EDT,10,0.8," ",No
nfl.p.30364,Mason,Schreck,TE,CIN,KC,CIN@KC,8:20PM EDT,10,0.0," ",No
nfl.p.31082,Mark,Walton,RB,CIN,KC,CIN@KC,8:20PM EDT,10,1.9," ",No
nfl.p.31223,Auden,Tate,WR,CIN,KC,CIN@KC,8:20PM EDT,10,0.0," ",No
nfl.p.30577,Cethan,Carter,TE,CIN,KC,CIN@KC,8:20PM EDT,10,0.0,IR,No
nfl.p.8834,Chad,Henne,QB,KC,CIN,CIN@KC,8:20PM EDT,20,-0.2," ",No
nfl.p.24923,Anthony,Sherman,RB,KC,CIN,CIN@KC,8:20PM EDT,10,3.6," ",No
nfl.p.26686,Travis,Kelce,TE,KC,CIN,CIN@KC,8:20PM EDT,32,13.5," ",No
nfl.p.26817,Spencer,Ware,RB,KC,CIN,CIN@KC,8:20PM EDT,10,2.3," ",No
nfl.p.27174,Demetrius,Harris,TE,KC,CIN,CIN@KC,8:20PM EDT,11,3.9," ",No
nfl.p.27494,James,Winchester,TE,KC,CIN,CIN@KC,8:20PM EDT,10,0.0," ",No
nfl.p.27532,Sammy,Watkins,WR,KC,CIN,CIN@KC,8:20PM EDT,18,8.2," ",No
nfl.p.28115,Damien,Williams,RB,KC,CIN,CIN@KC,8:20PM EDT,10,0.7," ",No
nfl.p.28464,Chris,Conley,WR,KC,CIN,CIN@KC,8:20PM EDT,10,4.3," ",No
nfl.p.29360,Demarcus,Robinson,WR,KC,CIN,CIN@KC,8:20PM EDT,10,2.7," ",No
nfl.p.29399,Tyreek,Hill,WR,KC,CIN,CIN@KC,8:20PM EDT,31,19.9," ",No
nfl.p.30123,Patrick,Mahomes,QB,KC,CIN,CIN@KC,8:20PM EDT,40,27.0," ",No
nfl.p.30199,Kareem,Hunt,RB,KC,CIN,CIN@KC,8:20PM EDT,31,17.3," ",No
nfl.p.30682,Marcus,Kemp,WR,KC,CIN,CIN@KC,8:20PM EDT,10,0.6," ",No
nfl.p.31500,Darrel,Williams,RB,KC,CIN,CIN@KC,8:20PM EDT,10,0.0," ",No
nfl.p.31496,Byron,Pringle,WR,KC,CIN,CIN@KC,8:20PM EDT,10,0.0,IR,No
nfl.p.31493,J.D.,Moore,RB,KC,CIN,CIN@KC,8:20PM EDT,10,0.0,IR,No
nfl.t.4,Cincinnati,Bengals,DEF,CIN,KC,CIN@KC,8:20PM EDT,13,7.0," ",No
nfl.t.12,Kansas City,Chiefs,DEF,KC,CIN,CIN@KC,8:20PM EDT,15,6.5," ",No
nfl.p.26644,Tyler,Eifert,TE,CIN,KC,CIN@KC,8:20PM EDT,10,7.9,IR,No
nfl.p.29944,Alex,Ellis,TE,KC,CIN,CIN@KC,8:20PM EDT,10,0.0,IR,No
nfl.p.28975,Matt,Lengel,TE,CIN,KC,CIN@KC,8:20PM EDT,10,0.0," ",No
nfl.p.27652,De'Anthony,Thomas,WR,KC,CIN,CIN@KC,8:20PM EDT,10,2.2,IR,No
nfl.p.8297,Drew,Stanton,QB,CLE,TB,CLE@TB,1:00PM EDT,20,11.1," ",No
nfl.p.24967,Tyrod,Taylor,QB,CLE,TB,CLE@TB,1:00PM EDT,20,14.3," ",No
nfl.p.25826,Orson,Charles,TE,CLE,TB,CLE@TB,1:00PM EDT,10,0.3," ",No
nfl.p.26428,Rod,Streater,WR,CLE,TB,CLE@TB,1:00PM EDT,10,-1.1,IR,No
nfl.p.26612,Darren,Fells,TE,CLE,TB,CLE@TB,1:00PM EDT,10,4.2," ",No
nfl.p.27585,Carlos,Hyde,RB,CLE,TB,CLE@TB,1:00PM EDT,25,12.4," ",No
nfl.p.27591,Jarvis,Landry,WR,CLE,TB,CLE@TB,1:00PM EDT,25,10.5," ",No
nfl.p.28465,Duke,Johnson Jr.,RB,CLE,TB,CLE@TB,1:00PM EDT,13,6.4," ",No
nfl.p.29372,Seth,DeValve,TE,CLE,TB,CLE@TB,1:00PM EDT,10,1.6," ",No
nfl.p.29406,Rashard,Higgins,WR,CLE,TB,CLE@TB,1:00PM EDT,13,7.7,Q,No
nfl.p.30142,David,Njoku,TE,CLE,TB,CLE@TB,1:00PM EDT,18,7.3," ",No
nfl.p.30971,Baker,Mayfield,QB,CLE,TB,CLE@TB,1:00PM EDT,29,14.5," ",No
nfl.p.31005,Nick,Chubb,RB,CLE,TB,CLE@TB,1:00PM EDT,12,4.9," ",No
nfl.p.31075,Antonio,Callaway,WR,CLE,TB,CLE@TB,1:00PM EDT,17,5.8," ",No
nfl.p.31148,Damion,Ratley,WR,CLE,TB,CLE@TB,1:00PM EDT,11,11.2," ",No
nfl.p.31462,Derrick,Willies,WR,CLE,TB,CLE@TB,1:00PM EDT,10,7.6,IR,No
nfl.p.7426,Ryan,Fitzpatrick,QB,TB,CLE,CLE@TB,1:00PM EDT,25,26.4," ",No
nfl.p.8826,DeSean,Jackson,WR,TB,CLE,CLE@TB,1:00PM EDT,20,15.9," ",No
nfl.p.24932,Jacquizz,Rodgers,RB,TB,CLE,CLE@TB,1:00PM EDT,10,1.7," ",No
nfl.p.26949,Ryan,Griffin,QB,TB,CLE,CLE@TB,1:00PM EDT,20,0.0," ",No
nfl.p.27535,Mike,Evans,WR,TB,CLE,CLE@TB,1:00PM EDT,32,16.2," ",No
nfl.p.28267,Cameron,Brate,TE,TB,CLE,CLE@TB,1:00PM EDT,16,7.3," ",No
nfl.p.28389,Jameis,Winston,QB,TB,CLE,CLE@TB,1:00PM EDT,26,20.7," ",No
nfl.p.29070,Adam,Humphries,WR,TB,CLE,CLE@TB,1:00PM EDT,10,5.3," ",No
nfl.p.29560,Peyton,Barber,RB,TB,CLE,CLE@TB,1:00PM EDT,12,7.1," ",No
nfl.p.29571,Alan,Cross,TE,TB,CLE,CLE@TB,1:00PM EDT,10,0.0," ",No
nfl.p.30132,O.J.,Howard,TE,TB,CLE,CLE@TB,1:00PM EDT,17,9.6," ",No
nfl.p.30197,Chris,Godwin,WR,TB,CLE,CLE@TB,1:00PM EDT,19,11.5," ",No
nfl.p.30468,Antony,Auclair,TE,TB,CLE,CLE@TB,1:00PM EDT,10,1.2," ",No
nfl.p.31008,Ronald,Jones II,RB,TB,CLE,CLE@TB,1:00PM EDT,11,3.3," ",No
nfl.p.31114,Justin,Watson,WR,TB,CLE,CLE@TB,1:00PM EDT,10,0.0," ",No
nfl.p.31278,Shaun,Wilson,RB,TB,CLE,CLE@TB,1:00PM EDT,10,1.1," ",No
nfl.t.5,Cleveland,Browns,DEF,CLE,TB,CLE@TB,1:00PM EDT,18,7.7," ",No
nfl.t.27,Tampa Bay,Buccaneers,DEF,TB,CLE,CLE@TB,1:00PM EDT,11,3.2," ",No
nfl.p.29348,Ricardo,Louis,WR,CLE,TB,CLE@TB,1:00PM EDT,10,3.5,IR,No
nfl.p.31253,Sergio,Bailey II,WR,TB,CLE,CLE@TB,1:00PM EDT,10,0.0," ",No
nfl.p.31457,Dontrell,Hilliard,RB,CLE,TB,CLE@TB,1:00PM EDT,10,0.0," ",No
nfl.p.28414,Breshad,Perriman,WR,CLE,TB,CLE@TB,1:00PM EDT,10,1.2," ",No
nfl.p.28060,Freddie,Martino,WR,TB,CLE,CLE@TB,1:00PM EDT,10,0.0," ",No
nfl.p.8285,Greg,Olsen,TE,CAR,PHI,CAR@PHI,1:00PM EDT,17,5.6,Q,No
nfl.p.24788,Cam,Newton,QB,CAR,PHI,CAR@PHI,1:00PM EDT,36,23.8," ",No
nfl.p.24845,Torrey,Smith,WR,CAR,PHI,CAR@PHI,1:00PM EDT,10,6.2," ",No
nfl.p.25828,Jarius,Wright,WR,CAR,PHI,CAR@PHI,1:00PM EDT,10,4.9," ",No
nfl.p.26878,C.J.,Anderson,RB,CAR,PHI,CAR@PHI,1:00PM EDT,10,4.3," ",No
