Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Dwayne Haskins (11541611),Dwayne Haskins,11541611,QB/S-FLEX,9800,NEB@OSU 11/03/2018 12:00PM ET,OSU,32.08
QB,Will Grier (11541613),Will Grier,11541613,QB/S-FLEX,9100,WVU@UT 11/03/2018 03:30PM ET,WVU,28.60
QB,Jordan Ta'amu (11541615),Jordan Ta'amu,11541615,QB/S-FLEX,8900,SCAR@MISS 11/03/2018 12:00PM ET,MISS,29.68
WR,A.J. Brown (11541617),A.J. Brown,11541617,WR/FLEX/S-FLEX,8800,SCAR@MISS 11/03/2018 12:00PM ET,MISS,22.44
QB,Taylor Cornelius (11541620),Taylor Cornelius,11541620,QB/S-FLEX,8700,OKST@BAY 11/03/2018 12:00PM ET,OKST,28.88
QB,Sam Ehlinger (11541622),Sam Ehlinger,11541622,QB/S-FLEX,8600,WVU@UT 11/03/2018 03:30PM ET,UT,26.08
QB,Eric Dungey (11541624),Eric Dungey,11541624,QB/S-FLEX,8400,SYR@WAKE 11/03/2018 12:00PM ET,SYR,28.96
RB,Zack Moss (11541632),Zack Moss,11541632,RB/FLEX/S-FLEX,8300,UTAH@ASU 11/03/2018 04:00PM ET,UTAH,23.68
QB,Trevor Lawrence (11541626),Trevor Lawrence,11541626,QB/S-FLEX,8200,UL@CLEM 11/03/2018 12:00PM ET,CLEM,16.18
WR,Tylan Wallace (11541637),Tylan Wallace,11541637,WR/FLEX/S-FLEX,8100,OKST@BAY 11/03/2018 12:00PM ET,OKST,24.12
QB,TaQuon Marshall (11541628),TaQuon Marshall,11541628,QB/S-FLEX,8100,GT@UNC 11/03/2018 12:15PM ET,GT,22.09
QB,Jack Allison (11541635),Jack Allison,11541635,QB/S-FLEX,8000,WVU@UT 11/03/2018 03:30PM ET,WVU,1.59
QB,Tobias Oliver (11541644),Tobias Oliver,11541644,QB/S-FLEX,8000,GT@UNC 11/03/2018 12:15PM ET,GT,20.21
QB,Matt Corral (11541630),Matt Corral,11541630,QB/S-FLEX,7900,SCAR@MISS 11/03/2018 12:00PM ET,MISS,17.43
RB,Eno Benjamin (11541653),Eno Benjamin,11541653,RB/FLEX/S-FLEX,7900,UTAH@ASU 11/03/2018 04:00PM ET,ASU,27.84
WR,Greg Dortch (11541648),Greg Dortch,11541648,WR/FLEX/S-FLEX,7900,SYR@WAKE 11/03/2018 12:00PM ET,WAKE,23.32
WR,David Sills V (11541656),David Sills V,11541656,WR/FLEX/S-FLEX,7800,WVU@UT 11/03/2018 03:30PM ET,WVU,21.61
QB,Tate Martell (11541640),Tate Martell,11541640,QB/S-FLEX,7800,NEB@OSU 11/03/2018 12:00PM ET,OSU,12.95
QB,Adrian Martinez (11541661),Adrian Martinez,11541661,QB/S-FLEX,7800,NEB@OSU 11/03/2018 12:00PM ET,NEB,25.85
RB,Travis Etienne (11541673),Travis Etienne,11541673,RB/FLEX/S-FLEX,7700,UL@CLEM 11/03/2018 12:00PM ET,CLEM,24.65
QB,Tommy Devito (11541642),Tommy Devito,11541642,QB/S-FLEX,7700,SYR@WAKE 11/03/2018 12:00PM ET,SYR,6.43
WR,DaMarkus Lodge (11541676),DaMarkus Lodge,11541676,WR/FLEX/S-FLEX,7600,SCAR@MISS 11/03/2018 12:00PM ET,MISS,15.57
QB,Tyler Huntley (11541683),Tyler Huntley,11541683,QB/S-FLEX,7600,UTAH@ASU 11/03/2018 04:00PM ET,UTAH,21.62
WR,N'Keal Harry (11541687),N'Keal Harry,11541687,WR/FLEX/S-FLEX,7500,UTAH@ASU 11/03/2018 04:00PM ET,ASU,20.48
QB,Shane Buechele (11541646),Shane Buechele,11541646,QB/S-FLEX,7400,WVU@UT 11/03/2018 03:30PM ET,UT,11.46
QB,Trace McSorley (11541698),Trace McSorley,11541698,QB/S-FLEX,7400,PSU@MICH 11/03/2018 03:45PM ET,PSU,28.73
RB,Benny Snell (11541700),Benny Snell,11541700,RB/FLEX/S-FLEX,7300,UGA@UK 11/03/2018 03:30PM ET,UK,22.84
WR,Gary Jennings Jr. (11541861),Gary Jennings Jr.,11541861,WR/FLEX/S-FLEX,7200,WVU@UT 11/03/2018 03:30PM ET,WVU,19.6
QB,Sam Hartman (11541711),Sam Hartman,11541711,QB/S-FLEX,7200,SYR@WAKE 11/03/2018 12:00PM ET,WAKE,19.22
QB,Keondre Wudtee (11541651),Keondre Wudtee,11541651,QB/S-FLEX,7100,OKST@BAY 11/03/2018 12:00PM ET,OKST,6.57
RB,Keaontay Ingram (11541864),Keaontay Ingram,11541864,RB/FLEX/S-FLEX,7100,WVU@UT 11/03/2018 03:30PM ET,UT,12.51
WR,Jalen Hurd (11541867),Jalen Hurd,11541867,WR/FLEX/S-FLEX,7000,OKST@BAY 11/03/2018 12:00PM ET,BAY,21.78
QB,Jake Bentley (11541870),Jake Bentley,11541870,QB/S-FLEX,6900,SCAR@MISS 11/03/2018 12:00PM ET,SCAR,17.69
QB,Dru Brown (11541663),Dru Brown,11541663,QB/S-FLEX,6900,OKST@BAY 11/03/2018 12:00PM ET,OKST,0
RB,Scottie Phillips (11541872),Scottie Phillips,11541872,RB/FLEX/S-FLEX,6800,SCAR@MISS 11/03/2018 12:00PM ET,MISS,21.11
QB,Charlie Brewer (11541665),Charlie Brewer,11541665,QB/S-FLEX,6800,OKST@BAY 11/03/2018 12:00PM ET,BAY,19.46
WR,Collin Johnson (11541875),Collin Johnson,11541875,WR/FLEX/S-FLEX,6800,WVU@UT 11/03/2018 03:30PM ET,UT,18.1
WR,Lil'Jordan Humphrey (11541881),Lil'Jordan Humphrey,11541881,WR/FLEX/S-FLEX,6700,WVU@UT 11/03/2018 03:30PM ET,UT,19.18
