Rnk,Name,Team,Pos,Bye,Game,Pts,Sal
1,Todd Gurley,LAR,rb,12,@NO,25.5,"$9,500 "
2,Alvin Kamara,NO,rb,6,LAR,23.7,"$7,300 "
3,Ezekiel Elliott,DAL,rb,8,TEN,22.9,"$7,600 "
5,Kareem Hunt,KC,rb,12,@CLV,20.8,"$7,700 "
4,Adam Thielen,MIN,wr,10,DET,23.1,"$8,900 "
8,Christian McCaffrey,CAR,rb,4,TB,19.6,"$7,800 "
6,Davante Adams,GB,wr,7,@NE,22,"$8,200 "
7,Julio Jones,ATL,wr,8,@WAS,21.8,"$7,900 "
9,Melvin Gordon III,LAC,rb,8,@SEA,18.6,"$8,200 "
10,Travis Kelce,KC,te,12,@CLV,17.8,"$6,600 "
11,Michael Thomas,NO,wr,6,LAR,20.4,"$7,600 "
14,James White,NE,rb,11,GB,17.7,"$7,500 "
12,Mike Evans,TB,wr,5,@CAR,19.8,"$8,100 "
13,DeAndre Hopkins,HST,wr,10,@DEN,19.7,"$8,300 "
15,James Conner,PIT,rb,7,@BLT,17,"$7,200 "
17,Rob Gronkowski,NE,te,11,GB,16.6,"$6,300 "
18,Chris Carson,SEA,rb,7,LAC,16.3,"$4,700 "
16,Antonio Brown,PIT,wr,7,@BLT,18.8,"$8,400 "
20,Latavius Murray,MIN,rb,10,DET,15.6,"$5,100 "
19,Keenan Allen,LAC,wr,8,@SEA,18.2,"$7,300 "
21,Adrian Peterson,WAS,rb,4,ATL,15,"$6,000 "
22,Tyreek Hill,KC,wr,12,@CLV,17.5,"$8,000 "
24,Nick Chubb,CLV,rb,11,KC,14.7,"$4,500 "
23,JuJu Smith-Schuster,PIT,wr,7,@BLT,17.3,"$7,200 "
25,Aaron Jones,GB,rb,7,@NE,14.2,"$4,400 "
26,George Kittle,SF,te,11,OAK,14,"$5,600 "
32,Lamar Miller,HST,rb,10,@DEN,13.9,"$5,200 "
31,Isaiah Crowell,NYJ,rb,11,@MIA,13.9,"$4,200 "
33,Jordan Howard,CHI,rb,5,@BUF,13.8,"$4,700 "
34,Kenyan Drake,MIA,rb,11,NYJ,13.7,"$5,300 "
35,Mark Ingram II,NO,rb,6,LAR,13.7,"$5,000 "
28,Brandin Cooks,LAR,wr,12,@NO,16.3,"$6,700 "
36,Dion Lewis,TEN,rb,8,@DAL,13.6,"$4,700 "
37,Tevin Coleman,ATL,rb,8,@WAS,13.5,"$4,800 "
27,Cam Newton,CAR,qb,4,TB,25.6,"$6,600 "
29,Robert Woods,LAR,wr,12,@NO,16,"$7,000 "
38,Tarik Cohen,CHI,rb,5,@BUF,13.3,"$6,200 "
30,Stefon Diggs,MIN,wr,10,DET,15.9,"$6,800 "
40,Jared Cook,OAK,te,7,@SF,13,"$5,700 "
39,Kerryon Johnson,DET,rb,6,@MIN,13.1,"$5,600 "
41,LeSean McCoy,BUF,rb,11,CHI,13,"$4,900 "
46,Jalen Richard,OAK,rb,7,@SF,12.7,"$4,900 "
42,Kenny Golladay,DET,wr,6,@MIN,15.3,"$5,500 "
48,Jimmy Graham,GB,te,7,@NE,12.4,"$4,700 "
47,Phillip Lindsay,DEN,rb,10,HST,12.5,"$5,500 "
49,Matt Breida,SF,rb,11,OAK,12.4,"$5,200 "
43,Jarvis Landry,CLV,wr,11,KC,15,"$6,500 "
44,Marvin Jones Jr.,DET,wr,6,@MIN,15,"$5,300 "
45,Emmanuel Sanders,DEN,wr,10,HST,14.8,"$6,400 "
50,Chris Thompson,WAS,rb,4,ATL,12.1,"$5,400 "
51,Alex Collins,BLT,rb,10,PIT,12,"$4,600 "
53,Devin Funchess,CAR,wr,4,TB,14.4,"$5,600 "
56,David Njoku,CLV,te,11,KC,11.5,"$4,600 "
52,Patrick Mahomes,KC,qb,12,@CLV,23.8,"$7,100 "
54,Cooper Kupp,LAR,wr,12,@NO,14,"$6,000 "
57,Greg Olsen,CAR,te,4,TB,11,"$4,700 "
55,Josh Gordon,NE,wr,11,GB,13.7,"$6,300 "
58,Aaron Rodgers,GB,qb,7,@NE,23.1,"$6,400 "
62,Doug Martin,OAK,rb,7,@SF,10.9,"$4,300 "
63,Trenton Cannon,NYJ,rb,11,@MIA,10.5,"$3,600 "
59,DeSean Jackson,TB,wr,5,@CAR,13,"$5,000 "
60,Doug Baldwin,SEA,wr,7,LAC,12.9,"$5,300 "
64,Jamaal Williams,GB,rb,7,@NE,10.1,"$3,500 "
61,Courtland Sutton,DEN,wr,10,HST,12.7,"$3,900 "
65,Duke Johnson Jr.,CLV,rb,11,KC,10,"$3,800 "
68,Michael Crabtree,BLT,wr,10,PIT,12.6,"$4,800 "
69,Sammy Watkins,KC,wr,12,@CLV,12.6,"$4,900 "
70,Tyler Lockett,SEA,wr,7,LAC,12.5,"$5,200 "
74,Austin Ekeler,LAC,rb,8,@SEA,9.6,"$4,300 "
