Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Tua Tagovailoa (11462570),Tua Tagovailoa,11462570,QB/S-FLEX,10200,BAMA@TENN 10/20/2018 03:30PM ET,BAMA,26.16
QB,Kyler Murray (11461771),Kyler Murray,11461771,QB/S-FLEX,9800,OU@TCU 10/20/2018 12:00PM ET,OU,38.38
RB,Jonathan Taylor (11462108),Jonathan Taylor,11462108,RB/FLEX/S-FLEX,9700,IL@WISC 10/20/2018 12:00PM ET,WISC,27.67
RB,Travis Etienne (11463097),Travis Etienne,11463097,RB/FLEX/S-FLEX,9400,NCST@CLEM 10/20/2018 03:30PM ET,CLEM,27.9
QB,Drew Lock (11463488),Drew Lock,11463488,QB/S-FLEX,9200,MEM@MIZZ 10/20/2018 04:00PM ET,MIZZ,22.68
QB,Alan Bowman (11462993),Alan Bowman,11462993,QB/S-FLEX,9000,KU@TTU 10/20/2018 03:30PM ET,TTU,22.72
QB,Trace McSorley (11463386),Trace McSorley,11463386,QB/S-FLEX,8900,PSU@IU 10/20/2018 03:30PM ET,PSU,29.06
RB,Darrell Henderson (11463596),Darrell Henderson,11463596,RB/FLEX/S-FLEX,8800,MEM@MIZZ 10/20/2018 04:00PM ET,MEM,35.34
QB,Jordan Ta'amu (11461665),Jordan Ta'amu,11461665,QB/S-FLEX,8700,AUB@MISS 10/20/2018 12:00PM ET,MISS,30.46
WR,Laviska Shenault Jr. (11462715),Laviska Shenault Jr.,11462715,WR/FLEX/S-FLEX,8700,COL@UW 10/20/2018 03:30PM ET,COL,37.45
QB,McLane Carter (11462995),McLane Carter,11462995,QB/S-FLEX,8700,KU@TTU 10/20/2018 03:30PM ET,TTU,1.47
QB,Jett Duffey (11462997),Jett Duffey,11462997,QB/S-FLEX,8500,KU@TTU 10/20/2018 03:30PM ET,TTU,21.73
WR,Marquise Brown (11461816),Marquise Brown,11461816,WR/FLEX/S-FLEX,8400,OU@TCU 10/20/2018 12:00PM ET,OU,30.9
QB,Trevor Lawrence (11463089),Trevor Lawrence,11463089,QB/S-FLEX,8400,NCST@CLEM 10/20/2018 03:30PM ET,CLEM,12.79
QB,Shawn Robinson (11461882),Shawn Robinson,11461882,QB/S-FLEX,8200,OU@TCU 10/20/2018 12:00PM ET,TCU,20.25
WR,Jerry Jeudy (11462606),Jerry Jeudy,11462606,WR/FLEX/S-FLEX,8100,BAMA@TENN 10/20/2018 03:30PM ET,BAMA,22.79
QB,Matt Corral (11461667),Matt Corral,11461667,QB/S-FLEX,8000,AUB@MISS 10/20/2018 12:00PM ET,MISS,17.43
WR,A.J. Brown (11461699),A.J. Brown,11461699,WR/FLEX/S-FLEX,8000,AUB@MISS 10/20/2018 12:00PM ET,MISS,20.71
QB,Austin Kendall (11461773),Austin Kendall,11461773,QB/S-FLEX,8000,OU@TCU 10/20/2018 12:00PM ET,OU,2.72
QB,Ryan Finley (11463194),Ryan Finley,11463194,QB/S-FLEX,7800,NCST@CLEM 10/20/2018 03:30PM ET,NCST,23.79
RB,Karan Higdon (11462219),Karan Higdon,11462219,RB/FLEX/S-FLEX,7700,MICH@MSU 10/20/2018 12:00PM ET,MICH,20.97
WR,Kelvin Harmon (11463271),Kelvin Harmon,11463271,WR/FLEX/S-FLEX,7600,NCST@CLEM 10/20/2018 03:30PM ET,NCST,21.48
QB,Tommy Stevens (11463388),Tommy Stevens,11463388,QB/S-FLEX,7600,PSU@IU 10/20/2018 03:30PM ET,PSU,-1.2
QB,Jack Lowary (11463490),Jack Lowary,11463490,QB/S-FLEX,7500,MEM@MIZZ 10/20/2018 04:00PM ET,MIZZ,0
RB,Pooka Williams Jr. (11462903),Pooka Williams Jr.,11462903,RB/FLEX/S-FLEX,7400,KU@TTU 10/20/2018 03:30PM ET,KU,20.76
WR,Antoine Wesley (11463035),Antoine Wesley,11463035,WR/FLEX/S-FLEX,7400,KU@TTU 10/20/2018 03:30PM ET,TTU,24.52
QB,Jalen Hurts (11462572),Jalen Hurts,11462572,QB/S-FLEX,7300,BAMA@TENN 10/20/2018 03:30PM ET,BAMA,7.66
QB,Steven Montez (11462678),Steven Montez,11462678,QB/S-FLEX,7300,COL@UW 10/20/2018 03:30PM ET,COL,25.17
WR,DaMarkus Lodge (11461705),DaMarkus Lodge,11461705,WR/FLEX/S-FLEX,7100,AUB@MISS 10/20/2018 12:00PM ET,MISS,15.93
RB,Miles Sanders (11463398),Miles Sanders,11463398,RB/FLEX/S-FLEX,7100,PSU@IU 10/20/2018 03:30PM ET,PSU,22.47
WR,Emanuel Hall (11463519),Emanuel Hall,11463519,WR/FLEX/S-FLEX,7000,MEM@MIZZ 10/20/2018 04:00PM ET,MIZZ,28.33
QB,Michael Collins (11461884),Michael Collins,11461884,QB/S-FLEX,7000,OU@TCU 10/20/2018 12:00PM ET,TCU,5.7
