Rnk,Name,Team,Pos,Bye,Game,Pts
1,Todd Gurley,LAR,rb,12,GB,22.7
2,James Conner,PIT,rb,7,CLV,20.9
4,Saquon Barkley,NYG,rb,9,WAS,20.3
3,Adam Thielen,MIN,wr,10,NO,21.6
5,Michael Thomas,NO,wr,6,@MIN,21.1
7,James White,NE,rb,11,@BUF,18.8
8,Joe Mixon,CIN,rb,9,TB,18.6
6,DeAndre Hopkins,HST,wr,10,MIA,20.5
12,Kareem Hunt,KC,rb,12,DEN,18.2
9,Antonio Brown,PIT,wr,7,CLV,20
10,A.J. Green,CIN,wr,9,TB,19.9
13,David Johnson,ARZ,rb,9,SF,17.7
11,Odell Beckham Jr.,NYG,wr,9,WAS,19.6
16,Alvin Kamara,NO,rb,6,@MIN,17.3
17,Christian McCaffrey,CAR,rb,4,BLT,17
15,Travis Kelce,KC,te,12,DEN,17.5
18,Chris Thompson,WAS,rb,4,@NYG,16.7
14,Tyreek Hill,KC,wr,12,DEN,18.6
19,Dalvin Cook,MIN,rb,10,NO,16.5
21,Zach Ertz,PHI,te,9,@JAX,16.9
20,JuJu Smith-Schuster,PIT,wr,7,CLV,18.1
22,LeSean McCoy,BUF,rb,11,NE,15.6
23,Patrick Mahomes,KC,qb,12,DEN,25.2
25,Lamar Miller,HST,rb,10,MIA,15.1
24,Golden Tate,DET,wr,6,SEA,16.9
29,Chris Carson,SEA,rb,7,@DET,13.9
26,Brandin Cooks,LAR,wr,12,GB,15.7
27,David Njoku,CLV,te,11,@PIT,14.2
28,Eric Ebron,IND,te,9,@OAK,14.1
36,Nick Chubb,CLV,rb,11,@PIT,13.2
35,Jared Cook,OAK,te,7,IND,13.6
30,Stefon Diggs,MIN,wr,10,NO,14.9
31,T.Y. Hilton,IND,wr,9,@OAK,14.7
34,Kenny Golladay,DET,wr,6,SEA,14.6
32,Davante Adams,GB,wr,7,@LAR,14.6
33,Mike Evans,TB,wr,5,@CIN,14.6
44,Rob Gronkowski,NE,te,11,@BUF,13
38,Robert Woods,LAR,wr,12,GB,14.3
37,Kirk Cousins,MIN,qb,10,NO,22
39,Jarvis Landry,CLV,wr,11,@PIT,14.1
45,Jalen Richard,OAK,rb,7,IND,12.1
40,Tyler Boyd,CIN,wr,9,TB,13.9
46,Bilal Powell,NYJ,rb,11,@CHI,11.9
47,Mark Ingram II,NO,rb,6,@MIN,11.8
41,Michael Crabtree,BLT,wr,10,@CAR,13.7
42,Cooper Kupp,LAR,wr,12,GB,13.6
43,Will Fuller V,HST,wr,10,MIA,13.5
48,Tarik Cohen,CHI,rb,5,NYJ,11.5
51,Emmanuel Sanders,DEN,wr,10,@KC,13.4
52,Sammy Watkins,KC,wr,12,DEN,13.4
59,Kenyan Drake,MIA,rb,11,@HST,11.3
60,Adrian Peterson,WAS,rb,4,@NYG,11.3
53,Allen Robinson II,CHI,wr,5,NYJ,13.2
61,Phillip Lindsay,DEN,rb,10,@KC,11.2
54,Devin Funchess,CAR,wr,4,BLT,13
57,Kyle Rudolph,MIN,te,10,NO,11.6
58,George Kittle,SF,te,11,@ARZ,11.6
55,Marvin Jones Jr.,DET,wr,6,SEA,12.9
49,Ben Roethlisberger,PIT,qb,7,CLV,20.6
62,Jordan Howard,CHI,rb,5,NYJ,10.8
50,Deshaun Watson,HST,qb,10,MIA,20.5
56,Doug Baldwin,SEA,wr,7,@DET,12.7
64,Matt Breida,SF,rb,11,@ARZ,10.7
63,Peyton Barber,TB,rb,5,@CIN,10.7
65,Marlon Mack,IND,rb,9,@OAK,10.6
66,Doug Martin,OAK,rb,7,IND,10.6
72,Alshon Jeffery,PHI,wr,9,@JAX,12.4
82,T.J. Yeldon,JAX,rb,9,PHI,10.4
83,Theo Riddick,DET,rb,6,SEA,10.3
79,Jimmy Graham,GB,te,7,@LAR,10.8
73,Keelan Cole,JAX,wr,9,PHI,12.2
84,Wendell Smallwood,PHI,rb,9,@JAX,10.2
80,Greg Olsen,CAR,te,4,BLT,10.7
