Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Kyler Murray (11510157),Kyler Murray,11510157,QB/S-FLEX,10600,KSU@OU 10/27/2018 03:30PM ET,OU,37.13
QB,D'Eriq King (11510386),D'Eriq King,11510386,QB/S-FLEX,10200,USF@UH 10/27/2018 03:30PM ET,UH,37.92
QB,Blake Barnett (11510106),Blake Barnett,11510106,QB/S-FLEX,9700,USF@UH 10/27/2018 03:30PM ET,USF,25.56
QB,Trace McSorley (11510049),Trace McSorley,11510049,QB/S-FLEX,9400,IOWA@PSU 10/27/2018 03:30PM ET,PSU,29.69
RB,Benny Snell (11510369),Benny Snell,11510369,RB/FLEX/S-FLEX,9200,UK@MIZZ 10/27/2018 04:00PM ET,UK,24.46
RB,Jordan Cronkrite (11510145),Jordan Cronkrite,11510145,RB/FLEX/S-FLEX,8800,USF@UH 10/27/2018 03:30PM ET,USF,23.87
WR,Marquise Brown (11510580),Marquise Brown,11510580,WR/FLEX/S-FLEX,8600,KSU@OU 10/27/2018 03:30PM ET,OU,27.27
QB,Quinten Dormady (11510096),Quinten Dormady,11510096,QB/S-FLEX,8500,USF@UH 10/27/2018 03:30PM ET,UH,0.32
WR,N'Keal Harry (11510286),N'Keal Harry,11510286,WR/FLEX/S-FLEX,8100,ASU@USC 10/27/2018 03:30PM ET,ASU,19.69
RB,Miles Sanders (11510458),Miles Sanders,11510458,RB/FLEX/S-FLEX,8100,IOWA@PSU 10/27/2018 03:30PM ET,PSU,22.77
QB,Austin Kendall (11510317),Austin Kendall,11510317,QB/S-FLEX,8000,KSU@OU 10/27/2018 03:30PM ET,OU,2.72
QB,Drew Lock (11510200),Drew Lock,11510200,QB/S-FLEX,7800,UK@MIZZ 10/27/2018 04:00PM ET,MIZZ,24.67
RB,Alex Barnes (11510108),Alex Barnes,11510108,RB/FLEX/S-FLEX,7600,KSU@OU 10/27/2018 03:30PM ET,KSU,23.94
QB,Tommy Stevens (11510101),Tommy Stevens,11510101,QB/S-FLEX,7600,IOWA@PSU 10/27/2018 03:30PM ET,PSU,2.96
WR,Marquez Stevenson (11510394),Marquez Stevenson,11510394,WR/FLEX/S-FLEX,7600,USF@UH 10/27/2018 03:30PM ET,UH,24.72
WR,CeeDee Lamb (11510709),CeeDee Lamb,11510709,WR/FLEX/S-FLEX,7000,KSU@OU 10/27/2018 03:30PM ET,OU,18.49
QB,Sean Clifford (11510767),Sean Clifford,11510767,QB/S-FLEX,7000,IOWA@PSU 10/27/2018 03:30PM ET,PSU,5.3
