Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,McKenzie Milton (11553154),McKenzie Milton,11553154,QB/S-FLEX,10700,TEMP@UCF 11/01/2018 07:30PM ET,UCF,32.71
QB,Nathan Rourke (11553156),Nathan Rourke,11553156,QB/S-FLEX,9900,OHIO@WMU 11/01/2018 07:00PM ET,OHIO,26.46
QB,Darriel Mack Jr. (11553158),Darriel Mack Jr.,11553158,QB/S-FLEX,9000,TEMP@UCF 11/01/2018 07:30PM ET,UCF,6.95
RB,LeVante Bellamy (11553164),LeVante Bellamy,11553164,RB/FLEX/S-FLEX,8700,OHIO@WMU 11/01/2018 07:00PM ET,WMU,18.8
RB,Ryquell Armstead (11553167),Ryquell Armstead,11553167,RB/FLEX/S-FLEX,8100,TEMP@UCF 11/01/2018 07:30PM ET,TEMP,19.47
QB,Hayden Kingston (11553160),Hayden Kingston,11553160,QB/S-FLEX,8000,TEMP@UCF 11/01/2018 07:30PM ET,UCF,0
QB,Anthony Russo (11553174),Anthony Russo,11553174,QB/S-FLEX,7800,TEMP@UCF 11/01/2018 07:30PM ET,TEMP,12.94
QB,Quinton Maxwell (11553162),Quinton Maxwell,11553162,QB/S-FLEX,7600,OHIO@WMU 11/01/2018 07:00PM ET,OHIO,13.85
QB,Kaleb Eleby (11553176),Kaleb Eleby,11553176,QB/S-FLEX,7200,OHIO@WMU 11/01/2018 07:00PM ET,WMU,17.12
WR,Jayden Reed (11553226),Jayden Reed,11553226,WR/FLEX/S-FLEX,7000,OHIO@WMU 11/01/2018 07:00PM ET,WMU,19.38
RB,Jamauri Bogan (11553220),Jamauri Bogan,11553220,RB/FLEX/S-FLEX,6900,OHIO@WMU 11/01/2018 07:00PM ET,WMU,13.13
RB,Adrian Killins Jr. (11553223),Adrian Killins Jr.,11553223,RB/FLEX/S-FLEX,6800,TEMP@UCF 11/01/2018 07:30PM ET,UCF,16.51
WR,Papi White (11553229),Papi White,11553229,WR/FLEX/S-FLEX,6600,OHIO@WMU 11/01/2018 07:00PM ET,OHIO,19.05
RB,Maleek Irons (11553232),Maleek Irons,11553232,RB/FLEX/S-FLEX,6400,OHIO@WMU 11/01/2018 07:00PM ET,OHIO,16.3
RB,A.J. Ouellette (11553235),A.J. Ouellette,11553235,RB/FLEX/S-FLEX,6200,OHIO@WMU 11/01/2018 07:00PM ET,OHIO,15.81
WR,Gabriel Davis (11553238),Gabriel Davis,11553238,WR/FLEX/S-FLEX,6100,TEMP@UCF 11/01/2018 07:30PM ET,UCF,19.72
QB,Frank Nutile (11553172),Frank Nutile,11553172,QB/S-FLEX,6000,TEMP@UCF 11/01/2018 07:30PM ET,TEMP,12.82
QB,Alex Mussat (11553170),Alex Mussat,11553170,QB/S-FLEX,6000,OHIO@WMU 11/01/2018 07:00PM ET,WMU,0
RB,Jager Gardner (11553241),Jager Gardner,11553241,RB/FLEX/S-FLEX,5800,TEMP@UCF 11/01/2018 07:30PM ET,TEMP,5.12
WR,Tre Nixon (11553246),Tre Nixon,11553246,WR/FLEX/S-FLEX,5400,TEMP@UCF 11/01/2018 07:30PM ET,UCF,12.06
QB,Marcus Childers (11553244),Marcus Childers,11553244,QB/S-FLEX,5300,NIU@AKR 11/01/2018 07:00PM ET,NIU,14.64
