Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Kyler Murray (11500204),Kyler Murray,11500204,QB/S-FLEX,10600,KSU@OU 10/27/2018 03:30PM ET,OU,37.13
QB,D'Eriq King (11500529),D'Eriq King,11500529,QB/S-FLEX,10200,USF@UH 10/27/2018 03:30PM ET,UH,37.92
RB,Jonathan Taylor (11499333),Jonathan Taylor,11499333,RB/FLEX/S-FLEX,9900,WISC@NW 10/27/2018 12:00PM ET,WISC,26.59
QB,Blake Barnett (11500638),Blake Barnett,11500638,QB/S-FLEX,9700,USF@UH 10/27/2018 03:30PM ET,USF,25.56
QB,Trace McSorley (11500427),Trace McSorley,11500427,QB/S-FLEX,9400,IOWA@PSU 10/27/2018 03:30PM ET,PSU,29.69
RB,Benny Snell (11500854),Benny Snell,11500854,RB/FLEX/S-FLEX,9200,UK@MIZZ 10/27/2018 04:00PM ET,UK,24.46
QB,Alan Bowman (11498919),Alan Bowman,11498919,QB/S-FLEX,9000,TTU@ISU 10/27/2018 12:00PM ET,TTU,23.37
RB,Travis Etienne (11499023),Travis Etienne,11499023,RB/FLEX/S-FLEX,8900,CLEM@FSU 10/27/2018 12:00PM ET,CLEM,27.53
RB,Jordan Cronkrite (11500648),Jordan Cronkrite,11500648,RB/FLEX/S-FLEX,8800,USF@UH 10/27/2018 03:30PM ET,USF,23.87
WR,Marquise Brown (11500249),Marquise Brown,11500249,WR/FLEX/S-FLEX,8600,KSU@OU 10/27/2018 03:30PM ET,OU,27.27
QB,Quinten Dormady (11500531),Quinten Dormady,11500531,QB/S-FLEX,8500,USF@UH 10/27/2018 03:30PM ET,UH,0.32
QB,Jett Duffey (11498923),Jett Duffey,11498923,QB/S-FLEX,8200,TTU@ISU 10/27/2018 12:00PM ET,TTU,16.63
QB,Trevor Lawrence (11499015),Trevor Lawrence,11499015,QB/S-FLEX,8200,CLEM@FSU 10/27/2018 12:00PM ET,CLEM,13.89
WR,N'Keal Harry (11499923),N'Keal Harry,11499923,WR/FLEX/S-FLEX,8100,ASU@USC 10/27/2018 03:30PM ET,ASU,19.69
RB,Miles Sanders (11500439),Miles Sanders,11500439,RB/FLEX/S-FLEX,8100,IOWA@PSU 10/27/2018 03:30PM ET,PSU,22.77
QB,McLane Carter (11498921),McLane Carter,11498921,QB/S-FLEX,8000,TTU@ISU 10/27/2018 12:00PM ET,TTU,1.47
QB,Austin Kendall (11500206),Austin Kendall,11500206,QB/S-FLEX,8000,KSU@OU 10/27/2018 03:30PM ET,OU,2.72
