Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Deshaun Watson (11411005),Deshaun Watson,11411005,CPT,12200,DAL@HOU 10/07/2018 08:20PM ET,HOU,25.98
RB,Ezekiel Elliott (11411006),Ezekiel Elliott,11411006,CPT,11400,DAL@HOU 10/07/2018 08:20PM ET,DAL,23.28
WR,DeAndre Hopkins (11411007),DeAndre Hopkins,11411007,CPT,11000,DAL@HOU 10/07/2018 08:20PM ET,HOU,22.9
QB,Dak Prescott (11411008),Dak Prescott,11411008,CPT,9600,DAL@HOU 10/07/2018 08:20PM ET,DAL,13.46
WR,Will Fuller V (11411009),Will Fuller V,11411009,CPT,8800,DAL@HOU 10/07/2018 08:20PM ET,HOU,22.43
QB,Deshaun Watson (11410968),Deshaun Watson,11410968,FLEX,8133.333333,DAL@HOU 10/07/2018 08:20PM ET,HOU,25.98
RB,Ezekiel Elliott (11410969),Ezekiel Elliott,11410969,FLEX,7600,DAL@HOU 10/07/2018 08:20PM ET,DAL,23.28
WR,DeAndre Hopkins (11410970),DeAndre Hopkins,11410970,FLEX,7333.333333,DAL@HOU 10/07/2018 08:20PM ET,HOU,22.9
WR,Keke Coutee (11411010),Keke Coutee,11411010,CPT,6800,DAL@HOU 10/07/2018 08:20PM ET,HOU,24.7
QB,Dak Prescott (11410971),Dak Prescott,11410971,FLEX,6400,DAL@HOU 10/07/2018 08:20PM ET,DAL,13.46
QB,Brandon Weeden (11411011),Brandon Weeden,11411011,CPT,6400,DAL@HOU 10/07/2018 08:20PM ET,HOU,0
QB,Cooper Rush (11411012),Cooper Rush,11411012,CPT,6400,DAL@HOU 10/07/2018 08:20PM ET,DAL,0
RB,Lamar Miller (11411013),Lamar Miller,11411013,CPT,6000,DAL@HOU 10/07/2018 08:20PM ET,HOU,10.22
WR,Will Fuller V (11410972),Will Fuller V,11410972,FLEX,5866.666667,DAL@HOU 10/07/2018 08:20PM ET,HOU,22.43
WR,Cole Beasley (11411014),Cole Beasley,11411014,CPT,5600,DAL@HOU 10/07/2018 08:20PM ET,DAL,8.62
RB,Rod Smith (11411015),Rod Smith,11411015,CPT,5200,DAL@HOU 10/07/2018 08:20PM ET,DAL,0.92
RB,Alfred Blue (11411016),Alfred Blue,11411016,CPT,4600,DAL@HOU 10/07/2018 08:20PM ET,HOU,4.75
WR,Keke Coutee (11410973),Keke Coutee,11410973,FLEX,4533.333333,DAL@HOU 10/07/2018 08:20PM ET,HOU,24.7
DST,Texans  (11411017),Texans ,11411017,CPT,4400,DAL@HOU 10/07/2018 08:20PM ET,HOU,6.75
QB,Brandon Weeden (11410974),Brandon Weeden,11410974,FLEX,4266.666667,DAL@HOU 10/07/2018 08:20PM ET,HOU,0
QB,Cooper Rush (11410975),Cooper Rush,11410975,FLEX,4266.666667,DAL@HOU 10/07/2018 08:20PM ET,DAL,0
WR,Allen Hurns (11411018),Allen Hurns,11411018,CPT,4200,DAL@HOU 10/07/2018 08:20PM ET,DAL,3.78
RB,Lamar Miller (11410976),Lamar Miller,11410976,FLEX,4000,DAL@HOU 10/07/2018 08:20PM ET,HOU,10.22
WR,Michael Gallup (11411019),Michael Gallup,11411019,CPT,3800,DAL@HOU 10/07/2018 08:20PM ET,DAL,3.15
WR,Cole Beasley (11410977),Cole Beasley,11410977,FLEX,3733.333333,DAL@HOU 10/07/2018 08:20PM ET,DAL,8.62
K,Ka'imi Fairbairn (11411020),Ka'imi Fairbairn,11411020,CPT,3600,DAL@HOU 10/07/2018 08:20PM ET,HOU,10
RB,Rod Smith (11410978),Rod Smith,11410978,FLEX,3466.666667,DAL@HOU 10/07/2018 08:20PM ET,DAL,0.92
K,Brett Maher (11411021),Brett Maher,11411021,CPT,3400,DAL@HOU 10/07/2018 08:20PM ET,DAL,8
WR,Tavon Austin (11411022),Tavon Austin,11411022,CPT,3200,DAL@HOU 10/07/2018 08:20PM ET,DAL,7.3
RB,Alfred Blue (11410979),Alfred Blue,11410979,FLEX,3066.666667,DAL@HOU 10/07/2018 08:20PM ET,HOU,4.75
DST,Cowboys  (11411023),Cowboys ,11411023,CPT,3000,DAL@HOU 10/07/2018 08:20PM ET,DAL,5.75
DST,Texans  (11410980),Texans ,11410980,FLEX,2933.333333,DAL@HOU 10/07/2018 08:20PM ET,HOU,6.75
WR,Allen Hurns (11410981),Allen Hurns,11410981,FLEX,2800,DAL@HOU 10/07/2018 08:20PM ET,DAL,3.78
TE,Geoff Swaim (11411024),Geoff Swaim,11411024,CPT,2800,DAL@HOU 10/07/2018 08:20PM ET,DAL,6.85
WR,Michael Gallup (11410982),Michael Gallup,11410982,FLEX,2533.333333,DAL@HOU 10/07/2018 08:20PM ET,DAL,3.15
K,Ka'imi Fairbairn (11410983),Ka'imi Fairbairn,11410983,FLEX,2400,DAL@HOU 10/07/2018 08:20PM ET,HOU,10
K,Brett Maher (11410984),Brett Maher,11410984,FLEX,2266.666667,DAL@HOU 10/07/2018 08:20PM ET,DAL,8
WR,Tavon Austin (11410985),Tavon Austin,11410985,FLEX,2133.333333,DAL@HOU 10/07/2018 08:20PM ET,DAL,7.3
DST,Cowboys  (11410986),Cowboys ,11410986,FLEX,2000,DAL@HOU 10/07/2018 08:20PM ET,DAL,5.75
TE,Geoff Swaim (11410987),Geoff Swaim,11410987,FLEX,1866.666667,DAL@HOU 10/07/2018 08:20PM ET,DAL,6.85
WR,Deonte Thompson (11411025),Deonte Thompson,11411025,CPT,1800,DAL@HOU 10/07/2018 08:20PM ET,DAL,4.32
TE,Ryan Griffin (11411026),Ryan Griffin,11411026,CPT,1600,DAL@HOU 10/07/2018 08:20PM ET,HOU,2.88
TE,Jordan Akins (11411027),Jordan Akins,11411027,CPT,1400,DAL@HOU 10/07/2018 08:20PM ET,HOU,3.6
WR,Deonte Thompson (11410988),Deonte Thompson,11410988,FLEX,1200,DAL@HOU 10/07/2018 08:20PM ET,DAL,4.32
TE,Ryan Griffin (11410989),Ryan Griffin,11410989,FLEX,1066.666667,DAL@HOU 10/07/2018 08:20PM ET,HOU,2.88
WR,Sammie Coates Jr. (11411028),Sammie Coates Jr.,11411028,CPT,1000,DAL@HOU 10/07/2018 08:20PM ET,HOU,1.1
TE,Jordan Akins (11410990),Jordan Akins,11410990,FLEX,933.3333333,DAL@HOU 10/07/2018 08:20PM ET,HOU,3.6
TE,Jordan Thomas (11411029),Jordan Thomas,11411029,CPT,800,DAL@HOU 10/07/2018 08:20PM ET,HOU,2.75
WR,Sammie Coates Jr. (11410991),Sammie Coates Jr.,11410991,FLEX,666.6666667,DAL@HOU 10/07/2018 08:20PM ET,HOU,1.1
