Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,David Johnson (11461039),David Johnson,11461039,CPT,16800,DEN@ARI 10/18/2018 08:20PM ET,ARI,15.7
WR,Emmanuel Sanders (11461040),Emmanuel Sanders,11461040,CPT,16200,DEN@ARI 10/18/2018 08:20PM ET,DEN,19.9
QB,Case Keenum (11461041),Case Keenum,11461041,CPT,15000,DEN@ARI 10/18/2018 08:20PM ET,DEN,17.45
QB,Josh Rosen (11461042),Josh Rosen,11461042,CPT,13800,DEN@ARI 10/18/2018 08:20PM ET,ARI,8.31
WR,Demaryius Thomas (11461043),Demaryius Thomas,11461043,CPT,12600,DEN@ARI 10/18/2018 08:20PM ET,DEN,13.67
RB,Phillip Lindsay (11461044),Phillip Lindsay,11461044,CPT,11400,DEN@ARI 10/18/2018 08:20PM ET,DEN,12.48
RB,David Johnson (11461003),David Johnson,11461003,FLEX,11200,DEN@ARI 10/18/2018 08:20PM ET,ARI,15.7
WR,Emmanuel Sanders (11461004),Emmanuel Sanders,11461004,FLEX,10800,DEN@ARI 10/18/2018 08:20PM ET,DEN,19.9
WR,Christian Kirk (11461045),Christian Kirk,11461045,CPT,10800,DEN@ARI 10/18/2018 08:20PM ET,ARI,10.55
WR,Larry Fitzgerald (11461046),Larry Fitzgerald,11461046,CPT,10200,DEN@ARI 10/18/2018 08:20PM ET,ARI,7.25
QB,Case Keenum (11461005),Case Keenum,11461005,FLEX,10000,DEN@ARI 10/18/2018 08:20PM ET,DEN,17.45
QB,Josh Rosen (11461006),Josh Rosen,11461006,FLEX,9200,DEN@ARI 10/18/2018 08:20PM ET,ARI,8.31
QB,Chad Kelly (11461047),Chad Kelly,11461047,CPT,9000,DEN@ARI 10/18/2018 08:20PM ET,DEN,-0.1
QB,Kevin Hogan (11461048),Kevin Hogan,11461048,CPT,9000,DEN@ARI 10/18/2018 08:20PM ET,DEN,0
QB,Sam Bradford (11461049),Sam Bradford,11461049,CPT,9000,DEN@ARI 10/18/2018 08:20PM ET,ARI,6.23
QB,Mike Glennon (11461050),Mike Glennon,11461050,CPT,9000,DEN@ARI 10/18/2018 08:20PM ET,ARI,0
WR,Demaryius Thomas (11461007),Demaryius Thomas,11461007,FLEX,8400,DEN@ARI 10/18/2018 08:20PM ET,DEN,13.67
RB,Royce Freeman (11461051),Royce Freeman,11461051,CPT,8400,DEN@ARI 10/18/2018 08:20PM ET,DEN,8.55
RB,Phillip Lindsay (11461008),Phillip Lindsay,11461008,FLEX,7600,DEN@ARI 10/18/2018 08:20PM ET,DEN,12.48
WR,Christian Kirk (11461009),Christian Kirk,11461009,FLEX,7200,DEN@ARI 10/18/2018 08:20PM ET,ARI,10.55
WR,Courtland Sutton (11461052),Courtland Sutton,11461052,CPT,7200,DEN@ARI 10/18/2018 08:20PM ET,DEN,6.8
DST,Broncos  (11461053),Broncos ,11461053,CPT,6900,DEN@ARI 10/18/2018 08:20PM ET,DEN,5.67
WR,Larry Fitzgerald (11461010),Larry Fitzgerald,11461010,FLEX,6800,DEN@ARI 10/18/2018 08:20PM ET,ARI,7.25
DST,Cardinals  (11461054),Cardinals ,11461054,CPT,6300,DEN@ARI 10/18/2018 08:20PM ET,ARI,9
QB,Chad Kelly (11461011),Chad Kelly,11461011,FLEX,6000,DEN@ARI 10/18/2018 08:20PM ET,DEN,-0.1
QB,Kevin Hogan (11461012),Kevin Hogan,11461012,FLEX,6000,DEN@ARI 10/18/2018 08:20PM ET,DEN,0
QB,Sam Bradford (11461013),Sam Bradford,11461013,FLEX,6000,DEN@ARI 10/18/2018 08:20PM ET,ARI,6.23
QB,Mike Glennon (11461014),Mike Glennon,11461014,FLEX,6000,DEN@ARI 10/18/2018 08:20PM ET,ARI,0
TE,Ricky Seals-Jones (11461055),Ricky Seals-Jones,11461055,CPT,6000,DEN@ARI 10/18/2018 08:20PM ET,ARI,6.7
RB,Royce Freeman (11461015),Royce Freeman,11461015,FLEX,5600,DEN@ARI 10/18/2018 08:20PM ET,DEN,8.55
K,Brandon McManus (11461056),Brandon McManus,11461056,CPT,5400,DEN@ARI 10/18/2018 08:20PM ET,DEN,8
K,Phil Dawson (11461057),Phil Dawson,11461057,CPT,5100,DEN@ARI 10/18/2018 08:20PM ET,ARI,2.67
WR,Courtland Sutton (11461016),Courtland Sutton,11461016,FLEX,4800,DEN@ARI 10/18/2018 08:20PM ET,DEN,6.8
DST,Broncos  (11461017),Broncos ,11461017,FLEX,4600,DEN@ARI 10/18/2018 08:20PM ET,DEN,5.67
RB,Devontae Booker (11461058),Devontae Booker,11461058,CPT,4500,DEN@ARI 10/18/2018 08:20PM ET,DEN,5.47
DST,Cardinals  (11461018),Cardinals ,11461018,FLEX,4200,DEN@ARI 10/18/2018 08:20PM ET,ARI,9
TE,Jeff Heuerman (11461059),Jeff Heuerman,11461059,CPT,4200,DEN@ARI 10/18/2018 08:20PM ET,DEN,4.5
TE,Ricky Seals-Jones (11461019),Ricky Seals-Jones,11461019,FLEX,4000,DEN@ARI 10/18/2018 08:20PM ET,ARI,6.7
K,Brandon McManus (11461020),Brandon McManus,11461020,FLEX,3600,DEN@ARI 10/18/2018 08:20PM ET,DEN,8
K,Phil Dawson (11461021),Phil Dawson,11461021,FLEX,3400,DEN@ARI 10/18/2018 08:20PM ET,ARI,2.67
