Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Antonio Brown (11430575),Antonio Brown,11430575,WR/FLEX,8700,PIT@CIN 10/14/2018 01:00PM ET,PIT,21.06
WR,Adam Thielen (11430869),Adam Thielen,11430869,WR/FLEX,8500,ARI@MIN 10/14/2018 01:00PM ET,MIN,27.78
RB,Le'Veon Bell (11430658),Le'Veon Bell,11430658,RB/FLEX,8500,PIT@CIN 10/14/2018 01:00PM ET,PIT,0
RB,Christian McCaffrey (11430949),Christian McCaffrey,11430949,RB/FLEX,8300,CAR@WAS 10/14/2018 01:00PM ET,CAR,22.52
RB,Melvin Gordon III (11430772),Melvin Gordon III,11430772,RB/FLEX,8200,LAC@CLE 10/14/2018 01:00PM ET,LAC,26.7
WR,Mike Evans (11430733),Mike Evans,11430733,WR/FLEX,8100,TB@ATL 10/14/2018 01:00PM ET,TB,23.65
WR,A.J. Green (11430585),A.J. Green,11430585,WR/FLEX,8000,PIT@CIN 10/14/2018 01:00PM ET,CIN,19.78
WR,Julio Jones (11430579),Julio Jones,11430579,WR/FLEX,7900,TB@ATL 10/14/2018 01:00PM ET,ATL,19.5
RB,James Conner (11430886),James Conner,11430886,RB/FLEX,7700,PIT@CIN 10/14/2018 01:00PM ET,PIT,23.82
WR,DeAndre Hopkins (11430711),DeAndre Hopkins,11430711,WR/FLEX,7700,BUF@HOU 10/14/2018 01:00PM ET,HOU,23.54
WR,Stefon Diggs (11430832),Stefon Diggs,11430832,WR/FLEX,7600,ARI@MIN 10/14/2018 01:00PM ET,MIN,21.32
RB,Joe Mixon (11430929),Joe Mixon,11430929,RB/FLEX,7500,PIT@CIN 10/14/2018 01:00PM ET,CIN,18.7
WR,Keenan Allen (11430695),Keenan Allen,11430695,WR/FLEX,7500,LAC@CLE 10/14/2018 01:00PM ET,LAC,15.54
WR,JuJu Smith-Schuster (11430979),JuJu Smith-Schuster,11430979,WR/FLEX,7300,PIT@CIN 10/14/2018 01:00PM ET,PIT,20.2
QB,Matt Ryan (11430493),Matt Ryan,11430493,QB,6800,TB@ATL 10/14/2018 01:00PM ET,ATL,26.47
WR,Will Fuller V (11430907),Will Fuller V,11430907,WR/FLEX,6800,BUF@HOU 10/14/2018 01:00PM ET,HOU,17.7
QB,Kirk Cousins (11430574),Kirk Cousins,11430574,QB,6700,ARI@MIN 10/14/2018 01:00PM ET,MIN,24.94
WR,Jarvis Landry (11430717),Jarvis Landry,11430717,WR/FLEX,6600,LAC@CLE 10/14/2018 01:00PM ET,CLE,16.22
QB,Ben Roethlisberger (11430506),Ben Roethlisberger,11430506,QB,6500,PIT@CIN 10/14/2018 01:00PM ET,PIT,25.09
RB,Jordan Howard (11430911),Jordan Howard,11430911,RB/FLEX,6500,CHI@MIA 10/14/2018 01:00PM ET,CHI,11.02
WR,T.Y. Hilton (11430610),T.Y. Hilton,11430610,WR/FLEX,6400,IND@NYJ 10/14/2018 01:00PM ET,IND,16.35
QB,Deshaun Watson (11430946),Deshaun Watson,11430946,QB,6400,BUF@HOU 10/14/2018 01:00PM ET,HOU,25.79
WR,Calvin Ridley (11431022),Calvin Ridley,11431022,WR/FLEX,6300,TB@ATL 10/14/2018 01:00PM ET,ATL,17.9
QB,Andy Dalton (11430531),Andy Dalton,11430531,QB,6300,PIT@CIN 10/14/2018 01:00PM ET,CIN,21.58
QB,Andrew Luck (11430591),Andrew Luck,11430591,QB,6200,IND@NYJ 10/14/2018 01:00PM ET,IND,23.59
QB,Cam Newton (11430545),Cam Newton,11430545,QB,6100,CAR@WAS 10/14/2018 01:00PM ET,CAR,24.46
RB,Chris Thompson (11430640),Chris Thompson,11430640,RB/FLEX,6100,CAR@WAS 10/14/2018 01:00PM ET,WAS,15.5
RB,Devonta Freeman (11430727),Devonta Freeman,11430727,RB/FLEX,6000,TB@ATL 10/14/2018 01:00PM ET,ATL,7.05
WR,Tyler Boyd (11430884),Tyler Boyd,11430884,WR/FLEX,6000,PIT@CIN 10/14/2018 01:00PM ET,CIN,17.56
WR,DeSean Jackson (11430526),DeSean Jackson,11430526,WR/FLEX,5900,TB@ATL 10/14/2018 01:00PM ET,TB,21.6
RB,David Johnson (11430673),David Johnson,11430673,RB/FLEX,5900,ARI@MIN 10/14/2018 01:00PM ET,ARI,16.04
QB,Philip Rivers (11430505),Philip Rivers,11430505,QB,5900,LAC@CLE 10/14/2018 01:00PM ET,LAC,23.96
QB,Jameis Winston (11430822),Jameis Winston,11430822,QB,5800,TB@ATL 10/14/2018 01:00PM ET,TB,8.5
QB,Russell Wilson (11430565),Russell Wilson,11430565,QB,5700,SEA@OAK 10/14/2018 01:00PM ET,SEA,16.73
RB,Dalvin Cook (11430944),Dalvin Cook,11430944,RB/FLEX,5700,ARI@MIN 10/14/2018 01:00PM ET,MIN,9.5
WR,Allen Robinson II (11430791),Allen Robinson II,11430791,WR/FLEX,5700,CHI@MIA 10/14/2018 01:00PM ET,CHI,11.68
WR,Quincy Enunwa (11430650),Quincy Enunwa,11430650,WR/FLEX,5600,IND@NYJ 10/14/2018 01:00PM ET,NYJ,10.96
QB,Baker Mayfield (11430900),Baker Mayfield,11430900,QB,5500,LAC@CLE 10/14/2018 01:00PM ET,CLE,16.21
RB,LeSean McCoy (11430556),LeSean McCoy,11430556,RB/FLEX,5500,BUF@HOU 10/14/2018 01:00PM ET,BUF,8.35
RB,Tevin Coleman (11430846),Tevin Coleman,11430846,RB/FLEX,5400,TB@ATL 10/14/2018 01:00PM ET,ATL,11.88
QB,Alex Smith (11430496),Alex Smith,11430496,QB,5400,CAR@WAS 10/14/2018 01:00PM ET,WAS,16.54
TE,Eric Ebron (11430768),Eric Ebron,11430768,TE/FLEX,5400,IND@NYJ 10/14/2018 01:00PM ET,IND,16.9
RB,Marshawn Lynch (11430514),Marshawn Lynch,11430514,RB/FLEX,5300,SEA@OAK 10/14/2018 01:00PM ET,OAK,14.62
WR,Doug Baldwin (11430561),Doug Baldwin,11430561,WR/FLEX,5300,SEA@OAK 10/14/2018 01:00PM ET,SEA,3.4
QB,Sam Darnold (11431011),Sam Darnold,11431011,QB,5300,IND@NYJ 10/14/2018 01:00PM ET,NYJ,13.79
QB,Mitchell Trubisky (11430866),Mitchell Trubisky,11430866,QB,5300,CHI@MIA 10/14/2018 01:00PM ET,CHI,21.38
TE,Jordan Reed (11430634),Jordan Reed,11430634,TE/FLEX,5200,CAR@WAS 10/14/2018 01:00PM ET,WAS,9.72
WR,Amari Cooper (11430801),Amari Cooper,11430801,WR/FLEX,5200,SEA@OAK 10/14/2018 01:00PM ET,OAK,12.58
