Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Patrick Mahomes (11476721),Patrick Mahomes,11476721,CPT,18000,CIN@KC 10/21/2018 08:20PM ET,KC,29.52
WR,Tyreek Hill (11476722),Tyreek Hill,11476722,CPT,16500,CIN@KC 10/21/2018 08:20PM ET,KC,23.73
QB,Andy Dalton (11476723),Andy Dalton,11476723,CPT,15900,CIN@KC 10/21/2018 08:20PM ET,CIN,20.84
WR,A.J. Green (11476724),A.J. Green,11476724,CPT,13800,CIN@KC 10/21/2018 08:20PM ET,CIN,19.07
RB,Joe Mixon (11476725),Joe Mixon,11476725,CPT,13200,CIN@KC 10/21/2018 08:20PM ET,CIN,18.62
RB,Kareem Hunt (11476726),Kareem Hunt,11476726,CPT,12300,CIN@KC 10/21/2018 08:20PM ET,KC,19.12
QB,Patrick Mahomes (11476683),Patrick Mahomes,11476683,FLEX,12000,CIN@KC 10/21/2018 08:20PM ET,KC,29.52
TE,Travis Kelce (11476727),Travis Kelce,11476727,CPT,11400,CIN@KC 10/21/2018 08:20PM ET,KC,17.8
WR,Tyler Boyd (11476728),Tyler Boyd,11476728,CPT,11100,CIN@KC 10/21/2018 08:20PM ET,CIN,18.83
WR,Tyreek Hill (11476684),Tyreek Hill,11476684,FLEX,11000,CIN@KC 10/21/2018 08:20PM ET,KC,23.73
QB,Andy Dalton (11476685),Andy Dalton,11476685,FLEX,10600,CIN@KC 10/21/2018 08:20PM ET,CIN,20.84
WR,A.J. Green (11476686),A.J. Green,11476686,FLEX,9200,CIN@KC 10/21/2018 08:20PM ET,CIN,19.07
QB,Jeff Driskel (11476729),Jeff Driskel,11476729,CPT,9000,CIN@KC 10/21/2018 08:20PM ET,CIN,0
QB,Matt Barkley (11476730),Matt Barkley,11476730,CPT,9000,CIN@KC 10/21/2018 08:20PM ET,CIN,0
QB,Chad Henne (11476731),Chad Henne,11476731,CPT,9000,CIN@KC 10/21/2018 08:20PM ET,KC,0
RB,Joe Mixon (11476687),Joe Mixon,11476687,FLEX,8800,CIN@KC 10/21/2018 08:20PM ET,CIN,18.62
WR,Sammy Watkins (11476732),Sammy Watkins,11476732,CPT,8400,CIN@KC 10/21/2018 08:20PM ET,KC,10.53
RB,Kareem Hunt (11476688),Kareem Hunt,11476688,FLEX,8200,CIN@KC 10/21/2018 08:20PM ET,KC,19.12
TE,Travis Kelce (11476689),Travis Kelce,11476689,FLEX,7600,CIN@KC 10/21/2018 08:20PM ET,KC,17.8
WR,Tyler Boyd (11476690),Tyler Boyd,11476690,FLEX,7400,CIN@KC 10/21/2018 08:20PM ET,CIN,18.83
TE,C.J. Uzomah (11476733),C.J. Uzomah,11476733,CPT,6600,CIN@KC 10/21/2018 08:20PM ET,CIN,6.35
QB,Jeff Driskel (11476691),Jeff Driskel,11476691,FLEX,6000,CIN@KC 10/21/2018 08:20PM ET,CIN,0
QB,Matt Barkley (11476692),Matt Barkley,11476692,FLEX,6000,CIN@KC 10/21/2018 08:20PM ET,CIN,0
