Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,DeAndre Hopkins (11497764),DeAndre Hopkins,11497764,CPT,18000,MIA@HOU 10/25/2018 08:20PM ET,HOU,21.29
QB,Deshaun Watson (11497765),Deshaun Watson,11497765,CPT,17400,MIA@HOU 10/25/2018 08:20PM ET,HOU,21.15
WR,Will Fuller V (11497766),Will Fuller V,11497766,CPT,15300,MIA@HOU 10/25/2018 08:20PM ET,HOU,14.82
QB,Ryan Tannehill (11497767),Ryan Tannehill,11497767,CPT,12600,MIA@HOU 10/25/2018 08:20PM ET,MIA,14.40
QB,Brock Osweiler (11497768),Brock Osweiler,11497768,CPT,12300,MIA@HOU 10/25/2018 08:20PM ET,MIA,18.29
WR,DeAndre Hopkins (11497726),DeAndre Hopkins,11497726,FLEX,12000,MIA@HOU 10/25/2018 08:20PM ET,HOU,21.29
QB,Deshaun Watson (11497727),Deshaun Watson,11497727,FLEX,11600,MIA@HOU 10/25/2018 08:20PM ET,HOU,21.15
RB,Lamar Miller (11497769),Lamar Miller,11497769,CPT,11400,MIA@HOU 10/25/2018 08:20PM ET,HOU,11.65
RB,Kenyan Drake (11497770),Kenyan Drake,11497770,CPT,10500,MIA@HOU 10/25/2018 08:20PM ET,MIA,12.31
WR,Will Fuller V (11497728),Will Fuller V,11497728,FLEX,10200,MIA@HOU 10/25/2018 08:20PM ET,HOU,14.82
WR,Danny Amendola (11497771),Danny Amendola,11497771,CPT,10200,MIA@HOU 10/25/2018 08:20PM ET,MIA,9.34
QB,Brandon Weeden (11497772),Brandon Weeden,11497772,CPT,9900,MIA@HOU 10/25/2018 08:20PM ET,HOU,0
QB,Joe Webb III (11497773),Joe Webb III,11497773,CPT,9900,MIA@HOU 10/25/2018 08:20PM ET,HOU,0
QB,David Fales (11497774),David Fales,11497774,CPT,9900,MIA@HOU 10/25/2018 08:20PM ET,MIA,0
WR,Kenny Stills (11497775),Kenny Stills,11497775,CPT,9300,MIA@HOU 10/25/2018 08:20PM ET,MIA,10.44
WR,Albert Wilson (11497776),Albert Wilson,11497776,CPT,9000,MIA@HOU 10/25/2018 08:20PM ET,MIA,14.25
QB,Ryan Tannehill (11497729),Ryan Tannehill,11497729,FLEX,8400,MIA@HOU 10/25/2018 08:20PM ET,MIA,14.40
QB,Brock Osweiler (11497730),Brock Osweiler,11497730,FLEX,8200,MIA@HOU 10/25/2018 08:20PM ET,MIA,18.29
RB,Lamar Miller (11497731),Lamar Miller,11497731,FLEX,7600,MIA@HOU 10/25/2018 08:20PM ET,HOU,11.65
WR,Keke Coutee (11497777),Keke Coutee,11497777,CPT,7500,MIA@HOU 10/25/2018 08:20PM ET,HOU,12.4
