Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Tom Brady (11525051),Tom Brady,11525051,CPT,18300,NE@BUF 10/29/2018 08:15PM ET,NE,21.45
RB,James White (11525052),James White,11525052,CPT,17700,NE@BUF 10/29/2018 08:15PM ET,NE,20.56
WR,Julian Edelman (11525053),Julian Edelman,11525053,CPT,14400,NE@BUF 10/29/2018 08:15PM ET,NE,14.47
WR,Josh Gordon (11525054),Josh Gordon,11525054,CPT,12900,NE@BUF 10/29/2018 08:15PM ET,NE,10.62
TE,Rob Gronkowski (11525055),Rob Gronkowski,11525055,CPT,12600,NE@BUF 10/29/2018 08:15PM ET,NE,12.42
QB,Tom Brady (11525013),Tom Brady,11525013,FLEX,12200,NE@BUF 10/29/2018 08:15PM ET,NE,21.45
RB,James White (11525014),James White,11525014,FLEX,11800,NE@BUF 10/29/2018 08:15PM ET,NE,20.56
QB,Derek Anderson (11525056),Derek Anderson,11525056,CPT,10500,NE@BUF 10/29/2018 08:15PM ET,BUF,3
RB,LeSean McCoy (11525057),LeSean McCoy,11525057,CPT,9900,NE@BUF 10/29/2018 08:15PM ET,BUF,7.65
WR,Julian Edelman (11525015),Julian Edelman,11525015,FLEX,9600,NE@BUF 10/29/2018 08:15PM ET,NE,14.47
RB,Chris Ivory (11525058),Chris Ivory,11525058,CPT,9300,NE@BUF 10/29/2018 08:15PM ET,BUF,6.84
RB,Sony Michel (11525059),Sony Michel,11525059,CPT,9000,NE@BUF 10/29/2018 08:15PM ET,NE,13.05
QB,Josh Allen (11525060),Josh Allen,11525060,CPT,9000,NE@BUF 10/29/2018 08:15PM ET,BUF,11.46
QB,Nathan Peterman (11525061),Nathan Peterman,11525061,CPT,9000,NE@BUF 10/29/2018 08:15PM ET,BUF,1.85
QB,Brian Hoyer (11525062),Brian Hoyer,11525062,CPT,9000,NE@BUF 10/29/2018 08:15PM ET,NE,-0.3
WR,Josh Gordon (11525016),Josh Gordon,11525016,FLEX,8600,NE@BUF 10/29/2018 08:15PM ET,NE,10.62
TE,Rob Gronkowski (11525017),Rob Gronkowski,11525017,FLEX,8400,NE@BUF 10/29/2018 08:15PM ET,NE,12.42
RB,Kenjon Barner (11525063),Kenjon Barner,11525063,CPT,8400,NE@BUF 10/29/2018 08:15PM ET,NE,2.1
DST,Patriots  (11525064),Patriots ,11525064,CPT,7200,NE@BUF 10/29/2018 08:15PM ET,NE,7.14
QB,Derek Anderson (11525018),Derek Anderson,11525018,FLEX,7000,NE@BUF 10/29/2018 08:15PM ET,BUF,3
WR,Chris Hogan (11525065),Chris Hogan,11525065,CPT,6900,NE@BUF 10/29/2018 08:15PM ET,NE,8.77
RB,LeSean McCoy (11525019),LeSean McCoy,11525019,FLEX,6600,NE@BUF 10/29/2018 08:15PM ET,BUF,7.65
RB,Chris Ivory (11525020),Chris Ivory,11525020,FLEX,6200,NE@BUF 10/29/2018 08:15PM ET,BUF,6.84
RB,Sony Michel (11525021),Sony Michel,11525021,FLEX,6000,NE@BUF 10/29/2018 08:15PM ET,NE,13.05
QB,Josh Allen (11525022),Josh Allen,11525022,FLEX,6000,NE@BUF 10/29/2018 08:15PM ET,BUF,11.46
QB,Nathan Peterman (11525023),Nathan Peterman,11525023,FLEX,6000,NE@BUF 10/29/2018 08:15PM ET,BUF,1.85
QB,Brian Hoyer (11525024),Brian Hoyer,11525024,FLEX,6000,NE@BUF 10/29/2018 08:15PM ET,NE,-0.3
WR,Kelvin Benjamin (11525066),Kelvin Benjamin,11525066,CPT,5700,NE@BUF 10/29/2018 08:15PM ET,BUF,5.96
RB,Kenjon Barner (11525025),Kenjon Barner,11525025,FLEX,5600,NE@BUF 10/29/2018 08:15PM ET,NE,2.1
K,Stephen Gostkowski (11525067),Stephen Gostkowski,11525067,CPT,5100,NE@BUF 10/29/2018 08:15PM ET,NE,9.86
DST,Patriots  (11525026),Patriots ,11525026,FLEX,4800,NE@BUF 10/29/2018 08:15PM ET,NE,7.14
WR,Chris Hogan (11525027),Chris Hogan,11525027,FLEX,4600,NE@BUF 10/29/2018 08:15PM ET,NE,8.77
K,Stephen Hauschka (11525068),Stephen Hauschka,11525068,CPT,4200,NE@BUF 10/29/2018 08:15PM ET,BUF,6.43
WR,Zay Jones (11525069),Zay Jones,11525069,CPT,3900,NE@BUF 10/29/2018 08:15PM ET,BUF,6.8
WR,Kelvin Benjamin (11525028),Kelvin Benjamin,11525028,FLEX,3800,NE@BUF 10/29/2018 08:15PM ET,BUF,5.96
TE,Charles Clay (11525070),Charles Clay,11525070,CPT,3600,NE@BUF 10/29/2018 08:15PM ET,BUF,4.04
K,Stephen Gostkowski (11525029),Stephen Gostkowski,11525029,FLEX,3400,NE@BUF 10/29/2018 08:15PM ET,NE,9.86
RB,Marcus Murphy (11525071),Marcus Murphy,11525071,CPT,3300,NE@BUF 10/29/2018 08:15PM ET,BUF,5.45
K,Stephen Hauschka (11525030),Stephen Hauschka,11525030,FLEX,2800,NE@BUF 10/29/2018 08:15PM ET,BUF,6.43
DST,Bills  (11525072),Bills ,11525072,CPT,2700,NE@BUF 10/29/2018 08:15PM ET,BUF,6.86
WR,Zay Jones (11525031),Zay Jones,11525031,FLEX,2600,NE@BUF 10/29/2018 08:15PM ET,BUF,6.8
TE,Charles Clay (11525032),Charles Clay,11525032,FLEX,2400,NE@BUF 10/29/2018 08:15PM ET,BUF,4.04
WR,Phillip Dorsett (11525073),Phillip Dorsett,11525073,CPT,2400,NE@BUF 10/29/2018 08:15PM ET,NE,7.4
RB,Marcus Murphy (11525033),Marcus Murphy,11525033,FLEX,2200,NE@BUF 10/29/2018 08:15PM ET,BUF,5.45
WR,Andre Holmes (11525074),Andre Holmes,11525074,CPT,2100,NE@BUF 10/29/2018 08:15PM ET,BUF,2.34
WR,Cordarrelle Patterson (11525075),Cordarrelle Patterson,11525075,CPT,2100,NE@BUF 10/29/2018 08:15PM ET,NE,6.14
DST,Bills  (11525034),Bills ,11525034,FLEX,1800,NE@BUF 10/29/2018 08:15PM ET,BUF,6.86
TE,Jason Croom (11525076),Jason Croom,11525076,CPT,1800,NE@BUF 10/29/2018 08:15PM ET,BUF,3.3
WR,Phillip Dorsett (11525035),Phillip Dorsett,11525035,FLEX,1600,NE@BUF 10/29/2018 08:15PM ET,NE,7.4
TE,Jacob Hollister (11525077),Jacob Hollister,11525077,CPT,1500,NE@BUF 10/29/2018 08:15PM ET,NE,2.17
WR,Andre Holmes (11525036),Andre Holmes,11525036,FLEX,1400,NE@BUF 10/29/2018 08:15PM ET,BUF,2.34
WR,Cordarrelle Patterson (11525037),Cordarrelle Patterson,11525037,FLEX,1400,NE@BUF 10/29/2018 08:15PM ET,NE,6.14
TE,Jason Croom (11525038),Jason Croom,11525038,FLEX,1200,NE@BUF 10/29/2018 08:15PM ET,BUF,3.3
TE,Jacob Hollister (11525039),Jacob Hollister,11525039,FLEX,1000,NE@BUF 10/29/2018 08:15PM ET,NE,2.17
TE,Logan Thomas (11525078),Logan Thomas,11525078,CPT,900,NE@BUF 10/29/2018 08:15PM ET,BUF,1.22
TE,Dwayne Allen (11525079),Dwayne Allen,11525079,CPT,900,NE@BUF 10/29/2018 08:15PM ET,NE,0.09
TE,Logan Thomas (11525040),Logan Thomas,11525040,FLEX,600,NE@BUF 10/29/2018 08:15PM ET,BUF,1.22
TE,Dwayne Allen (11525041),Dwayne Allen,11525041,FLEX,600,NE@BUF 10/29/2018 08:15PM ET,NE,0.09
RB,Patrick DiMarco (11525080),Patrick DiMarco,11525080,CPT,300,NE@BUF 10/29/2018 08:15PM ET,BUF,0.49
RB,Taiwan Jones (11525081),Taiwan Jones,11525081,CPT,300,NE@BUF 10/29/2018 08:15PM ET,BUF,0
WR,Ray-Ray McCloud III (11525082),Ray-Ray McCloud III,11525082,CPT,300,NE@BUF 10/29/2018 08:15PM ET,BUF,0.8
WR,Cam Phillips (11525083),Cam Phillips,11525083,CPT,300,NE@BUF 10/29/2018 08:15PM ET,BUF,0
RB,Rex Burkhead (11525084),Rex Burkhead,11525084,CPT,300,NE@BUF 10/29/2018 08:15PM ET,NE,4.9
RB,James Develin (11525085),James Develin,11525085,CPT,300,NE@BUF 10/29/2018 08:15PM ET,NE,1.21
WR,Matthew Slater (11525086),Matthew Slater,11525086,CPT,300,NE@BUF 10/29/2018 08:15PM ET,NE,0
WR,Cody Hollister (11525087),Cody Hollister,11525087,CPT,300,NE@BUF 10/29/2018 08:15PM ET,NE,0
WR,Braxton Berrios (11525088),Braxton Berrios,11525088,CPT,300,NE@BUF 10/29/2018 08:15PM ET,NE,0
RB,Patrick DiMarco (11525042),Patrick DiMarco,11525042,FLEX,200,NE@BUF 10/29/2018 08:15PM ET,BUF,0.49
RB,Taiwan Jones (11525043),Taiwan Jones,11525043,FLEX,200,NE@BUF 10/29/2018 08:15PM ET,BUF,0
WR,Ray-Ray McCloud III (11525044),Ray-Ray McCloud III,11525044,FLEX,200,NE@BUF 10/29/2018 08:15PM ET,BUF,0.8
WR,Cam Phillips (11525045),Cam Phillips,11525045,FLEX,200,NE@BUF 10/29/2018 08:15PM ET,BUF,0
RB,Rex Burkhead (11525046),Rex Burkhead,11525046,FLEX,200,NE@BUF 10/29/2018 08:15PM ET,NE,4.9
RB,James Develin (11525047),James Develin,11525047,FLEX,200,NE@BUF 10/29/2018 08:15PM ET,NE,1.21
WR,Matthew Slater (11525048),Matthew Slater,11525048,FLEX,200,NE@BUF 10/29/2018 08:15PM ET,NE,0
WR,Cody Hollister (11525049),Cody Hollister,11525049,FLEX,200,NE@BUF 10/29/2018 08:15PM ET,NE,0
WR,Braxton Berrios (11525050),Braxton Berrios,11525050,FLEX,200,NE@BUF 10/29/2018 08:15PM ET,NE,0
