Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Adam Thielen (11519287),Adam Thielen,11519287,CPT,17700,NO@MIN 10/28/2018 08:20PM ET,MIN,28.6
QB,Kirk Cousins (11519288),Kirk Cousins,11519288,CPT,16800,NO@MIN 10/28/2018 08:20PM ET,MIN,23.13
QB,Drew Brees (11519289),Drew Brees,11519289,CPT,15900,NO@MIN 10/28/2018 08:20PM ET,NO,25.3
WR,Michael Thomas (11519290),Michael Thomas,11519290,CPT,14700,NO@MIN 10/28/2018 08:20PM ET,NO,23.3
RB,Alvin Kamara (11519291),Alvin Kamara,11519291,CPT,13800,NO@MIN 10/28/2018 08:20PM ET,NO,27.92
WR,Stefon Diggs (11519292),Stefon Diggs,11519292,CPT,13500,NO@MIN 10/28/2018 08:20PM ET,MIN,17.77
WR,Adam Thielen (11519249),Adam Thielen,11519249,FLEX,11800,NO@MIN 10/28/2018 08:20PM ET,MIN,28.6
QB,Kirk Cousins (11519250),Kirk Cousins,11519250,FLEX,11200,NO@MIN 10/28/2018 08:20PM ET,MIN,23.13
RB,Mark Ingram (11519293),Mark Ingram,11519293,CPT,10800,NO@MIN 10/28/2018 08:20PM ET,NO,13.75
QB,Drew Brees (11519251),Drew Brees,11519251,FLEX,10600,NO@MIN 10/28/2018 08:20PM ET,NO,25.3
QB,Trevor Siemian (11519294),Trevor Siemian,11519294,CPT,10500,NO@MIN 10/28/2018 08:20PM ET,MIN,0
QB,Kyle Sloter (11519295),Kyle Sloter,11519295,CPT,10500,NO@MIN 10/28/2018 08:20PM ET,MIN,0
QB,Teddy Bridgewater (11519296),Teddy Bridgewater,11519296,CPT,10500,NO@MIN 10/28/2018 08:20PM ET,NO,-0.3
RB,Latavius Murray (11519297),Latavius Murray,11519297,CPT,10200,NO@MIN 10/28/2018 08:20PM ET,MIN,10.81
WR,Michael Thomas (11519252),Michael Thomas,11519252,FLEX,9800,NO@MIN 10/28/2018 08:20PM ET,NO,23.3
RB,Alvin Kamara (11519253),Alvin Kamara,11519253,FLEX,9200,NO@MIN 10/28/2018 08:20PM ET,NO,27.92
WR,Stefon Diggs (11519254),Stefon Diggs,11519254,FLEX,9000,NO@MIN 10/28/2018 08:20PM ET,MIN,17.77
WR,Tre'Quan Smith (11519298),Tre'Quan Smith,11519298,CPT,8100,NO@MIN 10/28/2018 08:20PM ET,NO,6.55
RB,Dalvin Cook (11519299),Dalvin Cook,11519299,CPT,7500,NO@MIN 10/28/2018 08:20PM ET,MIN,9.5
RB,Mark Ingram (11519255),Mark Ingram,11519255,FLEX,7200,NO@MIN 10/28/2018 08:20PM ET,NO,13.75
TE,Kyle Rudolph (11519300),Kyle Rudolph,11519300,CPT,7200,NO@MIN 10/28/2018 08:20PM ET,MIN,9.74
QB,Trevor Siemian (11519256),Trevor Siemian,11519256,FLEX,7000,NO@MIN 10/28/2018 08:20PM ET,MIN,0
QB,Kyle Sloter (11519257),Kyle Sloter,11519257,FLEX,7000,NO@MIN 10/28/2018 08:20PM ET,MIN,0
QB,Teddy Bridgewater (11519258),Teddy Bridgewater,11519258,FLEX,7000,NO@MIN 10/28/2018 08:20PM ET,NO,-0.3
RB,Latavius Murray (11519259),Latavius Murray,11519259,FLEX,6800,NO@MIN 10/28/2018 08:20PM ET,MIN,10.81
TE,Benjamin Watson (11519301),Benjamin Watson,11519301,CPT,6600,NO@MIN 10/28/2018 08:20PM ET,NO,8.67
WR,Tre'Quan Smith (11519260),Tre'Quan Smith,11519260,FLEX,5400,NO@MIN 10/28/2018 08:20PM ET,NO,6.55
K,Dan Bailey (11519302),Dan Bailey,11519302,CPT,5100,NO@MIN 10/28/2018 08:20PM ET,MIN,9.8
RB,Dalvin Cook (11519261),Dalvin Cook,11519261,FLEX,5000,NO@MIN 10/28/2018 08:20PM ET,MIN,9.5
TE,Kyle Rudolph (11519262),Kyle Rudolph,11519262,FLEX,4800,NO@MIN 10/28/2018 08:20PM ET,MIN,9.74
K,Wil Lutz (11519303),Wil Lutz,11519303,CPT,4800,NO@MIN 10/28/2018 08:20PM ET,NO,9.83
TE,Benjamin Watson (11519263),Benjamin Watson,11519263,FLEX,4400,NO@MIN 10/28/2018 08:20PM ET,NO,8.67
DST,Vikings  (11519304),Vikings ,11519304,CPT,4200,NO@MIN 10/28/2018 08:20PM ET,MIN,8.29
WR,Laquon Treadwell (11519305),Laquon Treadwell,11519305,CPT,3900,NO@MIN 10/28/2018 08:20PM ET,MIN,6.73
DST,Saints  (11519306),Saints ,11519306,CPT,3600,NO@MIN 10/28/2018 08:20PM ET,NO,3.33
K,Dan Bailey (11519264),Dan Bailey,11519264,FLEX,3400,NO@MIN 10/28/2018 08:20PM ET,MIN,9.8
WR,Cameron Meredith (11519307),Cameron Meredith,11519307,CPT,3300,NO@MIN 10/28/2018 08:20PM ET,NO,6.35
K,Wil Lutz (11519265),Wil Lutz,11519265,FLEX,3200,NO@MIN 10/28/2018 08:20PM ET,NO,9.83
DST,Vikings  (11519266),Vikings ,11519266,FLEX,2800,NO@MIN 10/28/2018 08:20PM ET,MIN,8.29
QB,Taysom Hill (11519308),Taysom Hill,11519308,CPT,2700,NO@MIN 10/28/2018 08:20PM ET,NO,3.08
WR,Laquon Treadwell (11519267),Laquon Treadwell,11519267,FLEX,2600,NO@MIN 10/28/2018 08:20PM ET,MIN,6.73
DST,Saints  (11519268),Saints ,11519268,FLEX,2400,NO@MIN 10/28/2018 08:20PM ET,NO,3.33
WR,Cameron Meredith (11519269),Cameron Meredith,11519269,FLEX,2200,NO@MIN 10/28/2018 08:20PM ET,NO,6.35
WR,Aldrick Robinson (11519309),Aldrick Robinson,11519309,CPT,2100,NO@MIN 10/28/2018 08:20PM ET,MIN,5.92
QB,Taysom Hill (11519270),Taysom Hill,11519270,FLEX,1800,NO@MIN 10/28/2018 08:20PM ET,NO,3.08
TE,Josh Hill (11519310),Josh Hill,11519310,CPT,1800,NO@MIN 10/28/2018 08:20PM ET,NO,4.4
WR,Aldrick Robinson (11519271),Aldrick Robinson,11519271,FLEX,1400,NO@MIN 10/28/2018 08:20PM ET,MIN,5.92
TE,Josh Hill (11519272),Josh Hill,11519272,FLEX,1200,NO@MIN 10/28/2018 08:20PM ET,NO,4.4
TE,David Morgan (11519311),David Morgan,11519311,CPT,1200,NO@MIN 10/28/2018 08:20PM ET,MIN,1.43
TE,David Morgan (11519273),David Morgan,11519273,FLEX,800,NO@MIN 10/28/2018 08:20PM ET,MIN,1.43
WR,Austin Carr (11519312),Austin Carr,11519312,CPT,600,NO@MIN 10/28/2018 08:20PM ET,NO,1.87
RB,Roc Thomas (11519313),Roc Thomas,11519313,CPT,600,NO@MIN 10/28/2018 08:20PM ET,MIN,1.18
TE,Dan Arnold (11519314),Dan Arnold,11519314,CPT,600,NO@MIN 10/28/2018 08:20PM ET,NO,2.75
WR,Austin Carr (11519274),Austin Carr,11519274,FLEX,400,NO@MIN 10/28/2018 08:20PM ET,NO,1.87
RB,Roc Thomas (11519275),Roc Thomas,11519275,FLEX,400,NO@MIN 10/28/2018 08:20PM ET,MIN,1.18
TE,Dan Arnold (11519276),Dan Arnold,11519276,FLEX,400,NO@MIN 10/28/2018 08:20PM ET,NO,2.75
TE,Tyler Conklin (11519315),Tyler Conklin,11519315,CPT,300,NO@MIN 10/28/2018 08:20PM ET,MIN,0.47
RB,Mike Boone (11519316),Mike Boone,11519316,CPT,300,NO@MIN 10/28/2018 08:20PM ET,MIN,1.14
RB,C.J. Ham (11519317),C.J. Ham,11519317,CPT,300,NO@MIN 10/28/2018 08:20PM ET,MIN,2.1
WR,Brandon Zylstra (11519318),Brandon Zylstra,11519318,CPT,300,NO@MIN 10/28/2018 08:20PM ET,MIN,0.47
TE,Kevin McDermott (11519319),Kevin McDermott,11519319,CPT,300,NO@MIN 10/28/2018 08:20PM ET,MIN,0
TE,Josiah Price (11519320),Josiah Price,11519320,CPT,300,NO@MIN 10/28/2018 08:20PM ET,MIN,0
RB,Zach Line (11519321),Zach Line,11519321,CPT,300,NO@MIN 10/28/2018 08:20PM ET,NO,1.67
RB,Dwayne Washington (11519322),Dwayne Washington,11519322,CPT,300,NO@MIN 10/28/2018 08:20PM ET,NO,0.07
RB,Shane Vereen (11519323),Shane Vereen,11519323,CPT,300,NO@MIN 10/28/2018 08:20PM ET,NO,0
WR,Ted Ginn Jr. (11519324),Ted Ginn Jr.,11519324,CPT,300,NO@MIN 10/28/2018 08:20PM ET,NO,10.28
TE,Tyler Conklin (11519277),Tyler Conklin,11519277,FLEX,200,NO@MIN 10/28/2018 08:20PM ET,MIN,0.47
RB,Mike Boone (11519278),Mike Boone,11519278,FLEX,200,NO@MIN 10/28/2018 08:20PM ET,MIN,1.14
RB,C.J. Ham (11519279),C.J. Ham,11519279,FLEX,200,NO@MIN 10/28/2018 08:20PM ET,MIN,2.1
WR,Brandon Zylstra (11519280),Brandon Zylstra,11519280,FLEX,200,NO@MIN 10/28/2018 08:20PM ET,MIN,0.47
TE,Kevin McDermott (11519281),Kevin McDermott,11519281,FLEX,200,NO@MIN 10/28/2018 08:20PM ET,MIN,0
TE,Josiah Price (11519282),Josiah Price,11519282,FLEX,200,NO@MIN 10/28/2018 08:20PM ET,MIN,0
RB,Zach Line (11519283),Zach Line,11519283,FLEX,200,NO@MIN 10/28/2018 08:20PM ET,NO,1.67
RB,Dwayne Washington (11519284),Dwayne Washington,11519284,FLEX,200,NO@MIN 10/28/2018 08:20PM ET,NO,0.07
