Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Brett Rypien (11508091),Brett Rypien,11508091,QB/S-FLEX,10300,BSU@AF 10/27/2018 07:00PM ET,BSU,23.92
QB,Gardner Minshew II (11508093),Gardner Minshew II,11508093,QB/S-FLEX,9000,WSU@STAN 10/27/2018 07:00PM ET,WSU,33.17
QB,Ian Book (11508095),Ian Book,11508095,QB/S-FLEX,8700,ND@NAVY 10/27/2018 08:00PM ET,ND,23.85
QB,Ryan Finley (11508097),Ryan Finley,11508097,QB/S-FLEX,8500,NCST@SYR 10/27/2018 07:00PM ET,NCST,20.45
QB,Sam Ehlinger (11508099),Sam Ehlinger,11508099,QB/S-FLEX,8300,UT@OKST 10/27/2018 08:00PM ET,UT,24.67
QB,Taylor Cornelius (11508101),Taylor Cornelius,11508101,QB/S-FLEX,8100,UT@OKST 10/27/2018 08:00PM ET,OKST,26.98
QB,Eric Dungey (11508103),Eric Dungey,11508103,QB/S-FLEX,7900,NCST@SYR 10/27/2018 07:00PM ET,SYR,27.29
QB,Anthony Gordon (11508105),Anthony Gordon,11508105,QB/S-FLEX,7800,WSU@STAN 10/27/2018 07:00PM ET,WSU,-0.76
WR,Kelvin Harmon (11508110),Kelvin Harmon,11508110,WR/FLEX/S-FLEX,7800,NCST@SYR 10/27/2018 07:00PM ET,NCST,18.45
RB,Alexander Mattison (11508107),Alexander Mattison,11508107,RB/FLEX/S-FLEX,7800,BSU@AF 10/27/2018 07:00PM ET,BSU,16.39
QB,Tommy Devito (11508113),Tommy Devito,11508113,QB/S-FLEX,7700,NCST@SYR 10/27/2018 07:00PM ET,SYR,7.85
RB,Dexter Williams (11508117),Dexter Williams,11508117,RB/FLEX/S-FLEX,7600,ND@NAVY 10/27/2018 08:00PM ET,ND,23.37
QB,Isaiah Sanders (11508115),Isaiah Sanders,11508115,QB/S-FLEX,7600,BSU@AF 10/27/2018 07:00PM ET,AF,16.35
QB,Matthew McKay (11508120),Matthew McKay,11508120,QB/S-FLEX,7500,NCST@SYR 10/27/2018 07:00PM ET,NCST,3.64
WR,A.J. Richardson (11508122),A.J. Richardson,11508122,WR/FLEX/S-FLEX,7500,BSU@AF 10/27/2018 07:00PM ET,BSU,19.24
QB,Shane Buechele (11508127),Shane Buechele,11508127,QB/S-FLEX,7400,UT@OKST 10/27/2018 08:00PM ET,UT,11.46
RB,Justice Hill (11508129),Justice Hill,11508129,RB/FLEX/S-FLEX,7400,UT@OKST 10/27/2018 08:00PM ET,OKST,19.23
QB,Chase Cord (11508125),Chase Cord,11508125,QB/S-FLEX,7400,BSU@AF 10/27/2018 07:00PM ET,BSU,5.64
WR,JJ Arcega-Whiteside (11508134),JJ Arcega-Whiteside,11508134,WR/FLEX/S-FLEX,7300,WSU@STAN 10/27/2018 07:00PM ET,STAN,23.17
QB,Jaylon Henderson (11508132),Jaylon Henderson,11508132,QB/S-FLEX,7300,BSU@AF 10/27/2018 07:00PM ET,BSU,1.73
QB,Nick Fitzgerald (11508137),Nick Fitzgerald,11508137,QB/S-FLEX,7200,TA&M@MSST 10/27/2018 07:00PM ET,MSST,26.35
QB,Keondre Wudtee (11508139),Keondre Wudtee,11508139,QB/S-FLEX,7100,UT@OKST 10/27/2018 08:00PM ET,OKST,6.57
RB,Reggie Gallaspy (11508141),Reggie Gallaspy,11508141,RB/FLEX/S-FLEX,7100,NCST@SYR 10/27/2018 07:00PM ET,NCST,15.43
RB,James Williams (11508146),James Williams,11508146,RB/FLEX/S-FLEX,7000,WSU@STAN 10/27/2018 07:00PM ET,WSU,22.4
QB,Donald Hammond III (11508144),Donald Hammond III,11508144,QB/S-FLEX,7000,BSU@AF 10/27/2018 07:00PM ET,AF,14.36
QB,Jake Bentley (11508153),Jake Bentley,11508153,QB/S-FLEX,6900,TENN@SCAR 10/27/2018 07:30PM ET,SCAR,18.61
