Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Aaron Rodgers (11452231),Aaron Rodgers,11452231,CPT,18300,SF@GB 10/15/2018 08:15PM ET,GB,22.32
WR,Davante Adams (11452232),Davante Adams,11452232,CPT,17400,SF@GB 10/15/2018 08:15PM ET,GB,21.3
QB,C.J. Beathard (11452233),C.J. Beathard,11452233,CPT,13200,SF@GB 10/15/2018 08:15PM ET,SF,15.83
QB,Aaron Rodgers (11452192),Aaron Rodgers,11452192,FLEX,12200,SF@GB 10/15/2018 08:15PM ET,GB,22.32
TE,George Kittle (11452234),George Kittle,11452234,CPT,11700,SF@GB 10/15/2018 08:15PM ET,SF,14.78
WR,Davante Adams (11452193),Davante Adams,11452193,FLEX,11600,SF@GB 10/15/2018 08:15PM ET,GB,21.3
TE,Jimmy Graham (11452235),Jimmy Graham,11452235,CPT,11400,SF@GB 10/15/2018 08:15PM ET,GB,10.5
WR,Geronimo Allison (11452236),Geronimo Allison,11452236,CPT,11100,SF@GB 10/15/2018 08:15PM ET,GB,14.98
RB,Aaron Jones (11452237),Aaron Jones,11452237,CPT,10800,SF@GB 10/15/2018 08:15PM ET,GB,9.6
WR,Randall Cobb (11452238),Randall Cobb,11452238,CPT,10500,SF@GB 10/15/2018 08:15PM ET,GB,14.8
WR,Marquez Valdes-Scantling (11452239),Marquez Valdes-Scantling,11452239,CPT,10200,SF@GB 10/15/2018 08:15PM ET,GB,5.18
WR,Marquise Goodwin (11452240),Marquise Goodwin,11452240,CPT,9900,SF@GB 10/15/2018 08:15PM ET,SF,5.53
RB,Matt Breida (11452241),Matt Breida,11452241,CPT,9900,SF@GB 10/15/2018 08:15PM ET,SF,14.38
WR,Pierre Garcon (11452242),Pierre Garcon,11452242,CPT,9600,SF@GB 10/15/2018 08:15PM ET,SF,6.96
RB,Alfred Morris (11452243),Alfred Morris,11452243,CPT,9300,SF@GB 10/15/2018 08:15PM ET,SF,8.08
QB,DeShone Kizer (11452244),DeShone Kizer,11452244,CPT,9000,SF@GB 10/15/2018 08:15PM ET,GB,0.2
QB,Tim Boyle (11452245),Tim Boyle,11452245,CPT,9000,SF@GB 10/15/2018 08:15PM ET,GB,0
QB,Nick Mullens (11452246),Nick Mullens,11452246,CPT,9000,SF@GB 10/15/2018 08:15PM ET,SF,0
QB,C.J. Beathard (11452194),C.J. Beathard,11452194,FLEX,8800,SF@GB 10/15/2018 08:15PM ET,SF,15.83
TE,George Kittle (11452195),George Kittle,11452195,FLEX,7800,SF@GB 10/15/2018 08:15PM ET,SF,14.78
TE,Jimmy Graham (11452196),Jimmy Graham,11452196,FLEX,7600,SF@GB 10/15/2018 08:15PM ET,GB,10.5
RB,Kyle Juszczyk (11452247),Kyle Juszczyk,11452247,CPT,7500,SF@GB 10/15/2018 08:15PM ET,SF,8.18
WR,Geronimo Allison (11452197),Geronimo Allison,11452197,FLEX,7400,SF@GB 10/15/2018 08:15PM ET,GB,14.98
RB,Aaron Jones (11452198),Aaron Jones,11452198,FLEX,7200,SF@GB 10/15/2018 08:15PM ET,GB,9.6
WR,Randall Cobb (11452199),Randall Cobb,11452199,FLEX,7000,SF@GB 10/15/2018 08:15PM ET,GB,14.8
WR,Trent Taylor (11452248),Trent Taylor,11452248,CPT,6900,SF@GB 10/15/2018 08:15PM ET,SF,6.9
WR,Marquez Valdes-Scantling (11452200),Marquez Valdes-Scantling,11452200,FLEX,6800,SF@GB 10/15/2018 08:15PM ET,GB,5.18
WR,Marquise Goodwin (11452201),Marquise Goodwin,11452201,FLEX,6600,SF@GB 10/15/2018 08:15PM ET,SF,5.53
RB,Matt Breida (11452202),Matt Breida,11452202,FLEX,6600,SF@GB 10/15/2018 08:15PM ET,SF,14.38
WR,Pierre Garcon (11452203),Pierre Garcon,11452203,FLEX,6400,SF@GB 10/15/2018 08:15PM ET,SF,6.96
DST,Packers  (11452249),Packers ,11452249,CPT,6300,SF@GB 10/15/2018 08:15PM ET,GB,8.8
RB,Alfred Morris (11452204),Alfred Morris,11452204,FLEX,6200,SF@GB 10/15/2018 08:15PM ET,SF,8.08
QB,DeShone Kizer (11452205),DeShone Kizer,11452205,FLEX,6000,SF@GB 10/15/2018 08:15PM ET,GB,0.2
QB,Tim Boyle (11452206),Tim Boyle,11452206,FLEX,6000,SF@GB 10/15/2018 08:15PM ET,GB,0
QB,Nick Mullens (11452207),Nick Mullens,11452207,FLEX,6000,SF@GB 10/15/2018 08:15PM ET,SF,0
RB,Jamaal Williams (11452250),Jamaal Williams,11452250,CPT,6000,SF@GB 10/15/2018 08:15PM ET,GB,6.64
K,Mason Crosby (11452251),Mason Crosby,11452251,CPT,5400,SF@GB 10/15/2018 08:15PM ET,GB,10
RB,Kyle Juszczyk (11452208),Kyle Juszczyk,11452208,FLEX,5000,SF@GB 10/15/2018 08:15PM ET,SF,8.18
WR,Trent Taylor (11452209),Trent Taylor,11452209,FLEX,4600,SF@GB 10/15/2018 08:15PM ET,SF,6.9
K,Robbie Gould (11452252),Robbie Gould,11452252,CPT,4500,SF@GB 10/15/2018 08:15PM ET,SF,8.2
DST,Packers  (11452210),Packers ,11452210,FLEX,4200,SF@GB 10/15/2018 08:15PM ET,GB,8.8
WR,Kendrick Bourne (11452253),Kendrick Bourne,11452253,CPT,4200,SF@GB 10/15/2018 08:15PM ET,SF,6.16
RB,Jamaal Williams (11452211),Jamaal Williams,11452211,FLEX,4000,SF@GB 10/15/2018 08:15PM ET,GB,6.64
RB,Ty Montgomery (11452254),Ty Montgomery,11452254,CPT,3900,SF@GB 10/15/2018 08:15PM ET,GB,7.3
K,Mason Crosby (11452212),Mason Crosby,11452212,FLEX,3600,SF@GB 10/15/2018 08:15PM ET,GB,10
WR,Equanimeous St. Brown (11452255),Equanimeous St. Brown,11452255,CPT,3600,SF@GB 10/15/2018 08:15PM ET,GB,5.95
DST,49ers  (11452256),49ers ,11452256,CPT,3300,SF@GB 10/15/2018 08:15PM ET,SF,3.4
K,Robbie Gould (11452213),Robbie Gould,11452213,FLEX,3000,SF@GB 10/15/2018 08:15PM ET,SF,8.2
TE,Garrett Celek (11452257),Garrett Celek,11452257,CPT,3000,SF@GB 10/15/2018 08:15PM ET,SF,2.38
WR,Kendrick Bourne (11452214),Kendrick Bourne,11452214,FLEX,2800,SF@GB 10/15/2018 08:15PM ET,SF,6.16
RB,Ty Montgomery (11452215),Ty Montgomery,11452215,FLEX,2600,SF@GB 10/15/2018 08:15PM ET,GB,7.3
WR,Equanimeous St. Brown (11452216),Equanimeous St. Brown,11452216,FLEX,2400,SF@GB 10/15/2018 08:15PM ET,GB,5.95
DST,49ers  (11452217),49ers ,11452217,FLEX,2200,SF@GB 10/15/2018 08:15PM ET,SF,3.4
TE,Lance Kendricks (11452258),Lance Kendricks,11452258,CPT,2100,SF@GB 10/15/2018 08:15PM ET,GB,2.8
TE,Garrett Celek (11452218),Garrett Celek,11452218,FLEX,2000,SF@GB 10/15/2018 08:15PM ET,SF,2.38
RB,Raheem Mostert (11452259),Raheem Mostert,11452259,CPT,1500,SF@GB 10/15/2018 08:15PM ET,SF,0.54
TE,Lance Kendricks (11452219),Lance Kendricks,11452219,FLEX,1400,SF@GB 10/15/2018 08:15PM ET,GB,2.8
RB,Raheem Mostert (11452220),Raheem Mostert,11452220,FLEX,1000,SF@GB 10/15/2018 08:15PM ET,SF,0.54
WR,J'Mon Moore (11452260),J'Mon Moore,11452260,CPT,900,SF@GB 10/15/2018 08:15PM ET,GB,0
WR,J'Mon Moore (11452221),J'Mon Moore,11452221,FLEX,600,SF@GB 10/15/2018 08:15PM ET,GB,0
TE,Marcedes Lewis (11452261),Marcedes Lewis,11452261,CPT,300,SF@GB 10/15/2018 08:15PM ET,GB,0
WR,Jake Kumerow (11452262),Jake Kumerow,11452262,CPT,300,SF@GB 10/15/2018 08:15PM ET,GB,0
TE,Robert Tonyan (11452263),Robert Tonyan,11452263,CPT,300,SF@GB 10/15/2018 08:15PM ET,GB,0
QB,Jimmy Garoppolo (11452264),Jimmy Garoppolo,11452264,CPT,300,SF@GB 10/15/2018 08:15PM ET,SF,17.01
WR,Dante Pettis (11452265),Dante Pettis,11452265,CPT,300,SF@GB 10/15/2018 08:15PM ET,SF,4.65
WR,Victor Bolden Jr. (11452266),Victor Bolden Jr.,11452266,CPT,300,SF@GB 10/15/2018 08:15PM ET,SF,2
WR,Richie James Jr. (11452267),Richie James Jr.,11452267,CPT,300,SF@GB 10/15/2018 08:15PM ET,SF,0.85
TE,Kyle Nelson (11452268),Kyle Nelson,11452268,CPT,300,SF@GB 10/15/2018 08:15PM ET,SF,0
TE,Cole Wick (11452269),Cole Wick,11452269,CPT,300,SF@GB 10/15/2018 08:15PM ET,SF,0
TE,Marcedes Lewis (11452222),Marcedes Lewis,11452222,FLEX,200,SF@GB 10/15/2018 08:15PM ET,GB,0
WR,Jake Kumerow (11452223),Jake Kumerow,11452223,FLEX,200,SF@GB 10/15/2018 08:15PM ET,GB,0
TE,Robert Tonyan (11452224),Robert Tonyan,11452224,FLEX,200,SF@GB 10/15/2018 08:15PM ET,GB,0
QB,Jimmy Garoppolo (11452225),Jimmy Garoppolo,11452225,FLEX,200,SF@GB 10/15/2018 08:15PM ET,SF,17.01
WR,Dante Pettis (11452226),Dante Pettis,11452226,FLEX,200,SF@GB 10/15/2018 08:15PM ET,SF,4.65
WR,Victor Bolden Jr. (11452227),Victor Bolden Jr.,11452227,FLEX,200,SF@GB 10/15/2018 08:15PM ET,SF,2
WR,Richie James Jr. (11452228),Richie James Jr.,11452228,FLEX,200,SF@GB 10/15/2018 08:15PM ET,SF,0.85
TE,Kyle Nelson (11452229),Kyle Nelson,11452229,FLEX,200,SF@GB 10/15/2018 08:15PM ET,SF,0
TE,Cole Wick (11452230),Cole Wick,11452230,FLEX,200,SF@GB 10/15/2018 08:15PM ET,SF,0
