Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Todd Gurley II (11535419),Todd Gurley II,11535419,RB/FLEX,9500,LAR@NO 11/04/2018 04:25PM ET,LAR,31.64
WR,Adam Thielen (11535199),Adam Thielen,11535199,WR/FLEX,8900,DET@MIN 11/04/2018 01:00PM ET,MIN,28.38
WR,Antonio Brown (11535098),Antonio Brown,11535098,WR/FLEX,8400,PIT@BAL 11/04/2018 01:00PM ET,PIT,22.17
WR,DeAndre Hopkins (11535299),DeAndre Hopkins,11535299,WR/FLEX,8300,HOU@DEN 11/04/2018 04:05PM ET,HOU,21.9
RB,Melvin Gordon III (11535351),Melvin Gordon III,11535351,RB/FLEX,8200,LAC@SEA 11/04/2018 04:05PM ET,LAC,28.58
WR,Davante Adams (11535487),Davante Adams,11535487,WR/FLEX,8200,GB@NE 11/04/2018 08:20PM ET,GB,23.71
WR,Mike Evans (11534903),Mike Evans,11534903,WR/FLEX,8100,TB@CAR 11/04/2018 01:00PM ET,TB,22.57
WR,Tyreek Hill (11534997),Tyreek Hill,11534997,WR/FLEX,8000,KC@CLE 11/04/2018 01:00PM ET,KC,21.62
RB,Le'Veon Bell (11535088),Le'Veon Bell,11535088,RB/FLEX,8000,PIT@BAL 11/04/2018 01:00PM ET,PIT,0
WR,Julio Jones (11535232),Julio Jones,11535232,WR/FLEX,7900,ATL@WAS 11/04/2018 01:00PM ET,ATL,20.9
RB,Christian McCaffrey (11534924),Christian McCaffrey,11534924,RB/FLEX,7800,TB@CAR 11/04/2018 01:00PM ET,CAR,19.9
RB,Kareem Hunt (11534987),Kareem Hunt,11534987,RB/FLEX,7700,KC@CLE 11/04/2018 01:00PM ET,KC,21.42
WR,Michael Thomas (11535461),Michael Thomas,11535461,WR/FLEX,7600,LAR@NO 11/04/2018 04:25PM ET,NO,21.84
RB,Ezekiel Elliott (11535548),Ezekiel Elliott,11535548,RB/FLEX,7600,TEN@DAL 11/05/2018 08:15PM ET,DAL,19.49
RB,James White (11535512),James White,11535512,RB/FLEX,7500,GB@NE 11/04/2018 08:20PM ET,NE,21.16
WR,Keenan Allen (11535361),Keenan Allen,11535361,WR/FLEX,7300,LAC@SEA 11/04/2018 04:05PM ET,LAC,14.89
RB,Alvin Kamara (11535451),Alvin Kamara,11535451,RB/FLEX,7300,LAR@NO 11/04/2018 04:25PM ET,NO,27.73
RB,James Conner (11535090),James Conner,11535090,RB/FLEX,7200,PIT@BAL 11/04/2018 01:00PM ET,PIT,27.46
WR,JuJu Smith-Schuster (11535100),JuJu Smith-Schuster,11535100,WR/FLEX,7200,PIT@BAL 11/04/2018 01:00PM ET,PIT,18.77
QB,Patrick Mahomes (11534985),Patrick Mahomes,11534985,QB,7100,KC@CLE 11/04/2018 01:00PM ET,KC,30.49
WR,Robert Woods (11535429),Robert Woods,11535429,WR/FLEX,7000,LAR@NO 11/04/2018 04:25PM ET,LAR,18.65
WR,Stefon Diggs (11535201),Stefon Diggs,11535201,WR/FLEX,6800,DET@MIN 11/04/2018 01:00PM ET,MIN,19.41
WR,Brandin Cooks (11535427),Brandin Cooks,11535427,WR/FLEX,6700,LAR@NO 11/04/2018 04:25PM ET,LAR,15.06
QB,Cam Newton (11534922),Cam Newton,11534922,QB,6600,TB@CAR 11/04/2018 01:00PM ET,CAR,25.11
TE,Travis Kelce (11535007),Travis Kelce,11535007,TE/FLEX,6600,KC@CLE 11/04/2018 01:00PM ET,KC,17.65
WR,Julian Edelman (11535522),Julian Edelman,11535522,WR/FLEX,6600,GB@NE 11/04/2018 08:20PM ET,NE,16.78
WR,Jarvis Landry (11534962),Jarvis Landry,11534962,WR/FLEX,6500,KC@CLE 11/04/2018 01:00PM ET,CLE,15.22
QB,Tom Brady (11535510),Tom Brady,11535510,QB,6500,GB@NE 11/04/2018 08:20PM ET,NE,20.86
