player,position,team,upper,lower,points,sdPts,positionRank,dropoff,tier,sdRank,risk,,,
Kyler Murray,QB,OKLA,35.2,35.2,37.6,338,3.45,57,0.51,0,0,,,
D'Eriq King,QB,HOU,33.2,33.2,35.7,363,2.67,47,0.93,0,0,,,
Devin Singletary,RB,FAU,31.5,31.5,35.5,,,166,1.64,28,0.14,,,
Marcus McMaryion,QB,FRESNO,32.5,32.5,35.1,410,2.86,21,0.71,0,0,,,
Nick Fitzgerald,QB,MISSST,33.7,33.7,34.4,208,1.62,129,1.3,0,0,,,
Justice Hansen,QB,ARKST,31.2,31.2,33.9,368,2.75,43,0.68,0,0,,,
Taylor Cornelius,QB,OKLAST,31.4,31.4,33.8,367,2.68,31,0.7,0,0,,,
Eric Dungey,QB,CUSE,30.9,30.9,33.1,306,1.99,66,0.92,0,0,,,
James Proche,WR,SMU,24.7,24.7,31.9,,,0,0,133,1.17,,,
Darrell Henderson,RB,MEMP,25.9,25.9,30,,,102,1.28,42,0.4,,,
Laviska Shenault,WR,COLO,24.2,24.2,29.5,,,19,0.73,100,0.74,,,
Stephen Calvert,QB,LIB,26.4,26.4,28.9,387,2.87,-10,0.29,0,0,,,
Nathan Rourke,QB,OHIO,27.1,27.1,28.4,227,1.93,75,0.78,0,0,,,
KeeSean Johnson,WR,FRESNO,21.8,21.8,28.3,,,1,0,127,0.95,,,
Brock Purdy,QB,IOWAST,25.3,25.3,27.8,321,2.37,30,0.2,0,0,,,
Zac Thomas,QB,APLST,27,27,27.7,217,2.37,53,0.79,0,0,,,
B.J. Farrow,WR,LIB,22.1,22.1,27.7,,,-2,0,118,1.19,,,
Holton Ahlers,QB,ECU,24.8,24.8,27.5,336,1.94,38,0.3,0,0,,,
Brady White,QB,MEMP,24.8,24.8,27.1,309,3.23,-3,0.11,0,0,,,
Steven Montez,QB,COLO,25,25,27,302,2.02,32,0.44,0,0,,,
Sam Ehlinger,QB,TEXAS,24.8,24.8,26.9,300,1.81,34,0.66,0,0,,,
DJ Stubbs,WR,LIB,19.6,19.6,26.1,,,0,0,132,0.47,,,
Gardner Minshew,QB,WASHST,23.4,23.4,25.9,346,2.63,2,0.15,0,0,,,
Marcus Childers,QB,NILL,24.3,24.3,25.7,260,2.32,38,0.41,0,0,,,
Patrick Laird,RB,CAL,21.2,21.2,25.2,,,95,0.72,27,0.45,,,
