player,position,team,upper,lower,points,rrqaw,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk
Jett Duffey,QB,TXTECH,38.5,38.5,40.8,382,3.05,62,1.02,0,0,,,,
Nathan Rourke,QB,OHIO,36.1,36.1,38.2,280,2.8,90,1.11,0,0,,,,
McKenzie Milton,QB,UCF,34.6,34.6,37.1,347,3.12,38,0.92,0,0,,,,
Zac Thomas,QB,APLST,33.7,33.7,34.8,233,2.44,50,1.77,0,0,,,,
D'Eriq King,QB,HOU,32.2,32.2,34.7,359,2.55,35,0.9,0,0,,,,
Mitchell Guadagni,QB,TOLEDO,30.7,30.7,32.1,267,2.75,68,0.55,0,0,,,,
Eric Dungey,QB,CUSE,29.9,29.9,31.5,272,1.95,67,1.01,0,0,,,,
Mike Glass III,QB,EMICH,29.8,29.8,32.2,321,2.03,56,0.72,0,0,,,,
Caleb Evans,QB,LAMON,28.4,28.4,30.2,282,2.21,45,0.83,0,0,,,,
Tyree Jackson,QB,BUFF,28.2,28.2,30.6,381,2.59,20,0.35,0,0,,,,
Trace McSorley,QB,PSU,27.1,27.1,28.7,268,2.25,49,0.61,0,0,,,,
Brandon McIlwain,QB,CAL,27.1,27.1,29,266,2.23,72,0.54,0,0,,,,
Blake Barnett,QB,SFLA,27,27,28,243,2.25,26,1.05,0,0,,,,
Kyler Murray,QB,OKLA,26.8,26.8,28.6,286,2.33,50,0.35,0,0,,,,
Justice Hansen,QB,ARKST,26.4,26.4,29.2,339,2.26,42,0.43,0,0,,,,
Manny Wilkins,QB,ARIZST,26.3,26.3,28.7,400,2.03,22,0.3,0,0,,,,
Cole McDonald,QB,HAWAII,26.1,26.1,28.5,296,2.73,33,0.32,0,0,,,,
Brett Rypien,QB,BOISE,26.1,26.1,28.6,374,2.97,4,0.05,0,0,,,,
Drew Lock,QB,MIZZOU,25.8,25.8,28.6,331,2.9,11,0.35,0,0,,,,
Dwayne Haskins,QB,OHIOST,25.8,25.8,28.1,333,2.95,10,0.1,0,0,,,,
Tommy Lazzaro,QB,CMICH,25.7,25.7,27,247,2.06,54,0.7,0,0,,,,
Marcus McMaryion,QB,FRESNO,25.1,25.1,27.6,337,1.98,16,0.64,0,0,,,,
Gardner Minshew,QB,WASHST,24.5,24.5,27,368,2.71,3,0.2,0,0,,,,
Laviska Shenault,WR,COLO,24.1,24.1,31.8,,,13,0.4,121,0.48,,,,
Ty Gangi,QB,NEVADA,23.3,23.3,25.6,309,2.2,20,0.25,0,0,,,,
William Brown,QB,SMU,22.9,22.9,25.4,317,2.63,24,0.07,0,0,,,,
Tua Tagovailoa,QB,BAMA,22.5,22.5,23.9,243,2.57,17,0.24,0,0,,,,
Jordan Cronkrite,RB,SFLA,22.2,22.2,25.2,,,115,1.41,9,0.13,,,,
Patrick Laird,RB,CAL,22.1,22.1,26.4,,,99,0.69,28,0.57,,,,
Dorian Thompson-Robinson,QB,UCLA,22,22,24.1,294,2.44,15,0.05,0,0,,,,
Brent Stockstill,QB,MTSU,21.9,21.9,24.6,314,2.06,23,0.12,0,0,,,,
James Morgan,QB,FIU,21.8,21.8,23.8,302,2.8,-4,0,0,0,,,,
J'mar Smith,QB,LATECH,21.8,21.8,23.5,269,2.3,17,0.25,0,0,,,,
Devin Singletary,RB,FAU,21.4,21.4,24.5,,,108,1.4,13,0.08,,,,
Jonathan Taylor,RB,WISC,21.4,21.4,24.6,,,134,1.15,8,0.11,,,,
Andrew Ford,QB,MA,21.4,21.4,23.4,297,3.02,-15,0.09,0,0,,,,
Tyre Brady,WR,MRSHL,21.3,21.3,27.5,,,0,0,109,1.09,,,,
Shai Werts,QB,GAS,21.2,21.2,21.4,141,1.35,60,0.81,0,0,,,,
Brady White,QB,MEMP,21,21,23.1,298,2.46,-3,0.1,0,0,,,,
Papi White,RB,OHIO,20.9,20.9,24.6,,,31,0.37,86,0.86,,,,
Jonathan Banks,QB,TULANE,20.9,20.9,23.1,280,2.05,37,0.19,0,0,,,,
Jarret Doege,QB,BGREEN,20.9,20.9,23.5,313,2.37,-3,0.23,0,0,,,,
A.J. Erdely,QB,UAB,20.8,20.8,21.5,213,1.53,29,0.77,0,0,,,,
Eno Benjamin,RB,ARIZST,20.6,20.6,24.4,,,89,0.7,34,0.3,,,,
Adrian Martinez,QB,NEB,20.5,20.5,22.1,250,1.69,39,0.35,0,0,,,,
Jack Abraham,QB,USM,20.4,20.4,23.4,344,2.13,3,0.06,0,0,,,,
Ty Storey,QB,ARK,20.4,20.4,22.1,262,2.15,35,0.08,0,0,,,,
Mason Fine,QB,NTEXAS,20.3,20.3,22.6,303,2.01,3,0.2,0,0,,,,
Scott Miller,WR,BGREEN,20.1,20.1,26.1,,,0,0,113,0.85,,,,
James Proche,WR,SMU,20,20,25.6,,,1,0,103,1.15,,,,
Jon Wassink,QB,WMICH,19.8,19.8,20.6,215,1.95,21,0.42,0,0,,,,
Joshua Kelley,RB,UCLA,19.8,19.8,22.5,,,86,1.16,23,0.12,,,,
Marquis Young,RB,MA,19.8,19.8,22.7,,,90,1.23,19,0.15,,,,
Kato Nelson,QB,AKRON,19.7,19.7,21,254,1.52,42,0.13,0,0,,,,
Alex Thomson,QB,MRSHL,19.7,19.7,21.7,290,2.14,10,0.06,0,0,,,,
Davis Shanley,QB,WKY,19.6,19.6,22.2,296,1.9,11,0.27,0,0,,,,
Nick Fitzgerald,QB,MISSST,19.5,19.5,19.7,141,0.86,82,0.65,0,0,,,,
Willie Jones III,QB,TXSTSM,19.4,19.4,20.9,252,1.63,37,0.23,0,0,,,,
San Diego State,DEF,SDGST,19.4,19.6,19.6,,,0,0,0,0,8.5,3.74,2.33,
Adrian Hardy,WR,LATECH,19.2,19.2,24,,,0,0,101,1.12,,,,
Lexington Thomas,RB,UNLV,19.1,19.1,22.3,,,105,1.11,12,0.1,,,,
Travis Etienne,RB,CLEM,19,19,21.6,,,98,1.1,12,0.15,,,,
Bryce Carpenter,QB,CSTCAR,18.8,18.8,19.7,225,2.04,20,0.08,0,0,,,,
Chris Robison,QB,FAU,18.7,18.7,20.4,265,1.53,20,0.28,0,0,,,,
Bryce Perkins,QB,UVA,18.7,18.7,20.7,293,1.29,33,0.13,0,0,,,,
Jordan Ta'amu,QB,MISS,18.6,18.6,20.4,275,1.36,26,0.29,0,0,,,,
Darrell Henderson,RB,MEMP,18.6,18.6,21.3,,,97,0.85,22,0.17,,,,
Max Gilliam,QB,UNLV,18.6,18.6,21.1,335,1.88,-9,0.04,0,0,,,,
Kelvin Hopkins Jr.,QB,ARMY,18.5,18.5,18.6,85,0.99,73,0.78,0,0,,,,
Alexander Mattison,RB,BOISE,18.4,18.4,20.6,,,87,1.12,15,0.15,,,,
John Ursua,WR,HAWAII,18.2,18.2,22.8,,,0,0.1,86,0.94,,,,
Dan Ellington,QB,GAST,18.1,18.1,20.1,274,1.02,27,0.37,0,0,,,,
N'Keal Harry,WR,ARIZST,18,18,23.2,,,2,0.08,102,0.63,,,,
Josh Adkins,QB,NMEXST,17.7,17.7,19.9,290,1.87,14,0.06,0,0,,,,
Marquez Stevenson,WR,HOU,17.7,17.7,22.3,,,8,0.17,95,0.57,,,,
Shawn Robinson,QB,TCU,17.6,17.6,18.9,228,1.53,35,0.2,0,0,,,,
Clayton Thorson,QB,NWEST,17.5,17.5,19.3,278,1.68,-8,0.36,0,0,,,,
Benjamin Snell Jr.,RB,UK,17.5,17.5,19.9,,,97,1.06,8,0.07,,,,
Antoine Wesley,WR,TXTECH,17.2,17.2,21.5,,,0,0,95,0.82,,,,
Justin Herbert,QB,OREG,17.2,17.2,17.9,210,1.78,22,0.2,0,0,,,,
JaTarvious Whitlow,WR,AUBURN,17.1,17.1,18.1,,,100,0.87,12,0.1,,,,
Daniel Jones,QB,DUKE,17.1,17.1,17.9,196,1.64,27,0.3,0,0,,,,
Tyler Huntley,QB,UTAH,17.1,17.1,17.7,200,1.12,38,0.36,0,0,,,,
Anthony Johnson,WR,BUFF,17,17,21.6,,,0,0,104,0.66,,,,
Trevor Lawrence,QB,CLEM,16.9,16.9,18.4,257,1.81,10,0.07,0,0,,,,
Jordan Love,QB,UTAHST,16.8,16.8,18,240,1.65,9,0.21,0,0,,,,
