Rnk,Name,Team,Pos,Bye,Game,Pts
1,Todd Gurley,LAR,rb,12,GB,23.7
2,James Conner,PIT,rb,7,CLV,21
4,Saquon Barkley,NYG,rb,9,WAS,19.9
5,Joe Mixon,CIN,rb,9,TB,19.8
3,Adam Thielen,MIN,wr,10,NO,21.9
6,DeAndre Hopkins,HST,wr,10,MIA,21
7,James White,NE,rb,11,@BUF,18.5
9,Kareem Hunt,KC,rb,12,DEN,18.3
8,Alvin Kamara,NO,rb,6,@MIN,18.3
10,Odell Beckham Jr.,NYG,wr,9,WAS,20.4
13,David Johnson,ARZ,rb,9,SF,17.7
11,Michael Thomas,NO,wr,6,@MIN,19.9
12,Antonio Brown,PIT,wr,7,CLV,19.8
14,Christian McCaffrey,CAR,rb,4,BLT,17.3
16,Travis Kelce,KC,te,12,DEN,17.4
15,A.J. Green,CIN,wr,9,TB,19.1
18,Chris Thompson,WAS,rb,4,@NYG,16.5
17,Zach Ertz,PHI,te,9,@JAX,16.6
19,Latavius Murray,MIN,rb,10,NO,16.2
21,Tyreek Hill,KC,wr,12,DEN,18.1
23,LeSean McCoy,BUF,rb,11,NE,15.8
22,JuJu Smith-Schuster,PIT,wr,7,CLV,18
24,Kerryon Johnson,DET,rb,6,SEA,15.4
20,Patrick Mahomes,KC,qb,12,DEN,25.4
26,Lamar Miller,HST,rb,10,MIA,15.2
25,Brandin Cooks,LAR,wr,12,GB,16.9
27,David Njoku,CLV,te,11,@PIT,15
32,Chris Carson,SEA,rb,7,@DET,14.2
33,Phillip Lindsay,DEN,rb,10,@KC,14
28,Golden Tate,DET,wr,6,SEA,16.1
31,Eric Ebron,IND,te,9,@OAK,14.3
34,Nick Chubb,CLV,rb,11,@PIT,13.9
29,Mike Evans,TB,wr,5,@CIN,15.8
30,Davante Adams,GB,wr,7,@LAR,15.7
40,Jared Cook,OAK,te,7,IND,13.4
35,Emmanuel Sanders,DEN,wr,10,@KC,15.2
37,Stefon Diggs,MIN,wr,10,NO,15.2
36,Robert Woods,LAR,wr,12,GB,15.2
38,T.Y. Hilton,IND,wr,9,@OAK,14.9
41,Rob Gronkowski,NE,te,11,@BUF,12.9
39,Jarvis Landry,CLV,wr,11,@PIT,14.7
49,Isaiah Crowell,NYJ,rb,11,@CHI,12.2
43,Tyler Boyd,CIN,wr,9,TB,14.3
51,Tarik Cohen,CHI,rb,5,NYJ,12.1
50,Marlon Mack,IND,rb,9,@OAK,12.1
52,Kenyan Drake,MIA,rb,11,@HST,12
42,Kirk Cousins,MIN,qb,10,NO,21.7
44,Michael Crabtree,BLT,wr,10,@CAR,13.7
55,Jordan Howard,CHI,rb,5,NYJ,11.4
56,Adrian Peterson,WAS,rb,4,@NYG,11.4
45,Will Fuller V,HST,wr,10,MIA,13.6
46,Kenny Golladay,DET,wr,6,SEA,13.5
53,George Kittle,SF,te,11,@ARZ,11.7
47,Allen Robinson II,CHI,wr,5,NYJ,13.4
48,Sammy Watkins,KC,wr,12,DEN,13.4
54,Kyle Rudolph,MIN,te,10,NO,11.6
65,Duke Johnson Jr.,CLV,rb,11,@PIT,11.2
64,Carlos Hyde,JAX,rb,9,PHI,11.2
66,Jalen Richard,OAK,rb,7,IND,11.1
63,Jimmy Graham,GB,te,7,@LAR,11.4
67,Doug Martin,OAK,rb,7,IND,10.9
59,Randall Cobb,GB,wr,7,@LAR,12.9
60,Doug Baldwin,SEA,wr,7,@DET,12.9
69,Mark Ingram II,NO,rb,6,@MIN,10.7
57,Deshaun Watson,HST,qb,10,MIA,20.8
61,Devin Funchess,CAR,wr,4,BLT,12.8
58,Ben Roethlisberger,PIT,qb,7,CLV,20.6
72,Kenjon Barner,NE,rb,11,@BUF,10.3
71,Matt Breida,SF,rb,11,@ARZ,10.3
62,Alshon Jeffery,PHI,wr,9,@JAX,12.5
68,Greg Olsen,CAR,te,4,BLT,10.7
70,Trey Burton,CHI,te,5,NYJ,10.6
79,Demaryius Thomas,DEN,wr,10,@KC,12.3
88,Peyton Barber,TB,rb,5,@CIN,10.1
73,Andrew Luck,IND,qb,9,@OAK,20.2
89,T.J. Yeldon,JAX,rb,9,PHI,10
80,Marvin Jones Jr.,DET,wr,6,SEA,12.2
90,Ty Montgomery,GB,rb,7,@LAR,9.8
81,Keelan Cole,JAX,wr,9,PHI,12
74,Mitchell Trubisky,CHI,qb,5,NYJ,19.9
75,Aaron Rodgers,GB,qb,7,@LAR,19.9
76,Baker Mayfield,CLV,qb,11,@PIT,19.8
82,Taylor Gabriel,CHI,wr,5,NYJ,11.8
92,Alex Collins,BLT,rb,10,@CAR,9.6
83,Willie Snead IV,BLT,wr,10,@CAR,11.7
77,Cam Newton,CAR,qb,4,BLT,19.6
94,Wendell Smallwood,PHI,rb,9,@JAX,9.4
84,Julian Edelman,NE,wr,11,@BUF,11.6
78,Jared Goff,LAR,qb,12,GB,19.5
85,John Brown,BLT,wr,10,@CAR,11.4
86,Danny Amendola,MIA,wr,11,@HST,11.4
87,Josh Gordon,NE,wr,11,@BUF,11.4
