Rnk,Name,Team,Pos,Bye,Game,Pts,Sal
1,Todd Gurley,LAR,rb,12,@SF,26.8,"$9,800 "
2,Adam Thielen,MIN,wr,10,@NYJ,24.1,"$8,600 "
42,Patrick Mahomes,KC,qb,12,CIN,22.7,"$7,100 "
43,Matt Ryan,ATL,qb,8,NYG,22.5,"$6,500 "
3,Julio Jones,ATL,wr,8,NYG,22.3,"$8,400 "
6,Odell Beckham Jr.,NYG,wr,9,@ATL,21.9,"$8,100 "
73,Kirk Cousins,MIN,qb,10,@NYJ,21.4,"$6,400 "
4,Saquon Barkley,NYG,rb,9,@ATL,20.6,"$8,900 "
74,Cam Newton,CAR,qb,4,@PHI,20.5,"$5,900 "
88,Philip Rivers,LAC,qb,8,TEN,20.3,"$5,700 "
10,Michael Thomas,NO,wr,6,@BLT,20.1,"$7,900 "
89,Jameis Winston,TB,qb,5,CLV,20.1,"$6,300 "
5,Ezekiel Elliott,DAL,rb,8,@WAS,20,"$8,100 "
90,Andrew Luck,IND,qb,9,BUF,19.9,"$6,200 "
91,Jared Goff,LAR,qb,12,@SF,19.7,"$6,600 "
11,Keenan Allen,LAC,wr,8,TEN,19.7,"$7,200 "
92,Carson Wentz,PHI,qb,9,CAR,19.6,"$6,000 "
107,Joe Flacco,BLT,qb,10,NO,19.4,"$5,400 "
106,Matthew Stafford,DET,qb,6,@MIA,19.4,"$5,800 "
109,Deshaun Watson,HST,qb,10,@JAX,19.2,"$5,500 "
108,Andy Dalton,CIN,qb,9,@KC,19.2,"$6,400 "
110,Mitchell Trubisky,CHI,qb,5,NE,19.1,"$5,600 "
111,Baker Mayfield,CLV,qb,11,@TB,19,"$5,800 "
15,DeAndre Hopkins,HST,wr,10,@JAX,18.9,"$6,900 "
16,A.J. Green,CIN,wr,9,@KC,18.8,"$8,100 "
7,Austin Ekeler,LAC,rb,8,TEN,18.6,"$4,100 "
112,Drew Brees,NO,qb,6,@BLT,18.5,"$5,700 "
8,Travis Kelce,KC,te,12,CIN,18.4,"$6,700 "
9,Joe Mixon,CIN,rb,9,@KC,18.4,"$7,600 "
113,Alex Smith,WAS,qb,4,DAL,18,"$5,100 "
114,Blake Bortles,JAX,qb,9,HST,17.8,"$5,200 "
19,Brandin Cooks,LAR,wr,12,@SF,17.6,"$7,100 "
148,Tom Brady,NE,qb,11,@CHI,17.4,"$6,100 "
13,Christian McCaffrey,CAR,rb,4,@PHI,17.1,"$7,700 "
12,Alvin Kamara,NO,rb,6,@BLT,17.1,"$8,500 "
23,T.Y. Hilton,IND,wr,9,BUF,17.1,"$6,200 "
24,Jarvis Landry,CLV,wr,11,@TB,17,"$7,300 "
14,David Johnson,ARZ,rb,9,DEN,17,"$6,700 "
17,Tevin Coleman,ATL,rb,8,NYG,16.9,"$5,100 "
25,Tyreek Hill,KC,wr,12,CIN,16.8,"$8,500 "
18,Kareem Hunt,KC,rb,12,CIN,16.7,"$6,800 "
26,Mike Evans,TB,wr,5,CLV,16.7,"$7,700 "
27,Stefon Diggs,MIN,wr,10,@NYJ,16.5,"$7,200 "
28,Robert Woods,LAR,wr,12,@SF,16.4,"$7,000 "
29,Alshon Jeffery,PHI,wr,9,CAR,16.3,"$6,300 "
165,Eli Manning,NYG,qb,9,@ATL,16.2,"$5,200 "
166,Dak Prescott,DAL,qb,8,@WAS,16.1,"$5,300 "
167,Josh Rosen,ARZ,qb,9,DEN,15.6,"$4,700 "
20,Zach Ertz,PHI,te,9,CAR,15.5,"$7,100 "
31,Golden Tate,DET,wr,6,@MIA,15.4,"$6,400 "
189,Sam Darnold,NYJ,qb,11,MIN,15.3,"$4,900 "
21,LeSean McCoy,BUF,rb,11,@IND,15.3,"$5,600 "
22,Sony Michel,NE,rb,11,@CHI,15.1,"$5,500 "
190,C.J. Beathard,SF,qb,11,LAR,15,"$4,800 "
30,James White,NE,rb,11,@CHI,14.9,"$6,900 "
191,Marcus Mariota,TEN,qb,8,@LAC,14.6,"$4,900 "
209,Case Keenum,DEN,qb,10,@ARZ,14.4,"$5,200 "
44,Emmanuel Sanders,DEN,wr,10,@ARZ,14.2,"$6,500 "
210,Brock Osweiler,MIA,qb,11,DET,14.1,"$4,700 "
32,Latavius Murray,MIN,rb,10,@NYJ,13.9,"$5,000 "
34,Dion Lewis,TEN,rb,8,@LAC,13.8,"$4,400 "
33,Lamar Miller,HST,rb,10,@JAX,13.8,"$4,200 "
35,Jordan Howard,CHI,rb,5,NE,13.7,"$5,500 "
45,Allen Robinson II,CHI,wr,5,NE,13.5,"$6,100 "
234,Derek Anderson,BUF,qb,11,@IND,13.2,"$4,300 "
56,Michael Crabtree,BLT,wr,10,NO,13.1,"$5,100 "
37,T.J. Yeldon,JAX,rb,9,HST,13,"$6,400 "
36,Eric Ebron,IND,te,9,BUF,13,"$5,400 "
57,Tyler Boyd,CIN,wr,9,@KC,13,"$6,700 "
60,Josh Gordon,NE,wr,11,@CHI,12.9,"$5,600 "
58,Devin Funchess,CAR,wr,4,@PHI,12.9,"$5,300 "
59,Julian Edelman,NE,wr,11,@CHI,12.9,"$6,600 "
61,Kenny Golladay,DET,wr,6,@MIA,12.8,"$6,000 "
62,Jermaine Kearse,NYJ,wr,11,MIN,12.7,"$4,100 "
63,Nelson Agholor,PHI,wr,9,CAR,12.6,"$5,000 "
38,Tarik Cohen,CHI,rb,5,NE,12.5,"$5,100 "
64,Sterling Shepard,NYG,wr,9,@ATL,12.5,"$5,400 "
39,Corey Clement,PHI,rb,9,CAR,12.4,"$4,700 "
65,Willie Snead IV,BLT,wr,10,NO,12.4,"$4,000 "
40,David Njoku,CLV,te,11,@TB,12.3,"$4,200 "
66,Keke Coutee,HST,wr,10,@JAX,12.3,"$4,300 "
75,Sammy Watkins,KC,wr,12,CIN,12.2,"$5,100 "
41,Kerryon Johnson,DET,rb,6,@MIA,12.2,"$4,500 "
76,Taylor Gabriel,CHI,wr,5,NE,12.1,"$4,700 "
46,Bilal Powell,NYJ,rb,11,MIN,11.9,"$4,200 "
47,Adrian Peterson,WAS,rb,4,DAL,11.8,"$4,600 "
77,Corey Davis,TEN,wr,8,@LAC,11.7,"$5,100 "
50,Phillip Lindsay,DEN,rb,10,@ARZ,11.6,"$4,600 "
49,Derrick Henry,TEN,rb,8,@LAC,11.6,"$4,000 "
78,Keelan Cole,JAX,wr,9,HST,11.6,"$4,600 "
48,Peyton Barber,TB,rb,5,CLV,11.6,"$3,800 "
79,Marvin Jones Jr.,DET,wr,6,@MIA,11.5,"$4,900 "
