Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Alvin Kamara (11410846),Alvin Kamara,11410846,RB/FLEX,9700,WAS@NO 10/08/2018 08:15PM ET,NO,36.28
WR,Michael Thomas (11410886),Michael Thomas,11410886,WR/FLEX,8500,WAS@NO 10/08/2018 08:15PM ET,NO,27.12
RB,Ezekiel Elliott (11410848),Ezekiel Elliott,11410848,RB/FLEX,8300,DAL@HOU 10/07/2018 08:20PM ET,DAL,23.28
WR,DeAndre Hopkins (11410888),DeAndre Hopkins,11410888,WR/FLEX,7800,DAL@HOU 10/07/2018 08:20PM ET,HOU,22.9
QB,Drew Brees (11410835),Drew Brees,11410835,QB,6500,WAS@NO 10/08/2018 08:15PM ET,NO,26.08
WR,Will Fuller V (11410890),Will Fuller V,11410890,WR/FLEX,6400,DAL@HOU 10/07/2018 08:20PM ET,HOU,22.43
QB,Deshaun Watson (11410836),Deshaun Watson,11410836,QB,6300,DAL@HOU 10/07/2018 08:20PM ET,HOU,25.98
RB,Chris Thompson (11410850),Chris Thompson,11410850,RB/FLEX,6000,WAS@NO 10/08/2018 08:15PM ET,WAS,16.6
QB,Alex Smith (11410837),Alex Smith,11410837,QB,5600,WAS@NO 10/08/2018 08:15PM ET,WAS,16.83
TE,Jordan Reed (11410938),Jordan Reed,11410938,TE/FLEX,5400,WAS@NO 10/08/2018 08:15PM ET,WAS,11.93
QB,Dak Prescott (11410838),Dak Prescott,11410838,QB,5300,DAL@HOU 10/07/2018 08:20PM ET,DAL,13.46
RB,Mark Ingram (11410852),Mark Ingram,11410852,RB/FLEX,5200,WAS@NO 10/08/2018 08:15PM ET,NO,0
RB,Adrian Peterson (11410854),Adrian Peterson,11410854,RB/FLEX,5000,WAS@NO 10/08/2018 08:15PM ET,WAS,19.53
WR,Keke Coutee (11410892),Keke Coutee,11410892,WR/FLEX,4800,DAL@HOU 10/07/2018 08:20PM ET,HOU,24.7
RB,Lamar Miller (11410856),Lamar Miller,11410856,RB/FLEX,4500,DAL@HOU 10/07/2018 08:20PM ET,HOU,10.22
QB,Teddy Bridgewater (11410839),Teddy Bridgewater,11410839,QB,4500,WAS@NO 10/08/2018 08:15PM ET,NO,0
WR,Jamison Crowder (11410894),Jamison Crowder,11410894,WR/FLEX,4500,WAS@NO 10/08/2018 08:15PM ET,WAS,8.8
WR,Ted Ginn Jr. (11410896),Ted Ginn Jr.,11410896,WR/FLEX,4400,WAS@NO 10/08/2018 08:15PM ET,NO,10.28
QB,Colt McCoy (11410840),Colt McCoy,11410840,QB,4300,WAS@NO 10/08/2018 08:15PM ET,WAS,0
QB,Brandon Weeden (11410841),Brandon Weeden,11410841,QB,4200,DAL@HOU 10/07/2018 08:20PM ET,HOU,0
QB,Cooper Rush (11410842),Cooper Rush,11410842,QB,4200,DAL@HOU 10/07/2018 08:20PM ET,DAL,0
WR,Paul Richardson Jr. (11410898),Paul Richardson Jr.,11410898,WR/FLEX,4200,WAS@NO 10/08/2018 08:15PM ET,WAS,9.37
QB,Joe Webb III (11410843),Joe Webb III,11410843,QB,4000,DAL@HOU 10/07/2018 08:20PM ET,HOU,0
QB,Mike White (11410845),Mike White,11410845,QB,4000,DAL@HOU 10/07/2018 08:20PM ET,DAL,0
RB,Rod Smith (11410858),Rod Smith,11410858,RB/FLEX,4000,DAL@HOU 10/07/2018 08:20PM ET,DAL,0.92
RB,D'Onta Foreman (11410860),D'Onta Foreman,11410860,RB/FLEX,4000,DAL@HOU 10/07/2018 08:20PM ET,HOU,0
QB,Taysom Hill (11410844),Taysom Hill,11410844,QB,4000,WAS@NO 10/08/2018 08:15PM ET,NO,1.92
RB,Alfred Blue (11410862),Alfred Blue,11410862,RB/FLEX,3900,DAL@HOU 10/07/2018 08:20PM ET,HOU,4.75
WR,Cole Beasley (11410900),Cole Beasley,11410900,WR/FLEX,3700,DAL@HOU 10/07/2018 08:20PM ET,DAL,8.62
WR,Josh Doctson (11410902),Josh Doctson,11410902,WR/FLEX,3700,WAS@NO 10/08/2018 08:15PM ET,WAS,3.27
WR,Cameron Meredith (11410904),Cameron Meredith,11410904,WR/FLEX,3600,WAS@NO 10/08/2018 08:15PM ET,NO,7.15
WR,Tavon Austin (11410906),Tavon Austin,11410906,WR/FLEX,3500,DAL@HOU 10/07/2018 08:20PM ET,DAL,7.3
WR,Allen Hurns (11410908),Allen Hurns,11410908,WR/FLEX,3500,DAL@HOU 10/07/2018 08:20PM ET,DAL,3.78
WR,Deonte Thompson (11410910),Deonte Thompson,11410910,WR/FLEX,3400,DAL@HOU 10/07/2018 08:20PM ET,DAL,4.32
WR,Michael Gallup (11410912),Michael Gallup,11410912,WR/FLEX,3400,DAL@HOU 10/07/2018 08:20PM ET,DAL,3.15
WR,Bruce Ellington (11410914),Bruce Ellington,11410914,WR/FLEX,3200,DAL@HOU 10/07/2018 08:20PM ET,HOU,7.73
RB,Samaje Perine (11410864),Samaje Perine,11410864,RB/FLEX,3200,WAS@NO 10/08/2018 08:15PM ET,WAS,0
WR,Tre'Quan Smith (11410916),Tre'Quan Smith,11410916,WR/FLEX,3200,WAS@NO 10/08/2018 08:15PM ET,NO,0.7
TE,Benjamin Watson (11410940),Benjamin Watson,11410940,TE/FLEX,3100,WAS@NO 10/08/2018 08:15PM ET,NO,7.18
RB,Jamize Olawale (11410872),Jamize Olawale,11410872,RB/FLEX,3000,DAL@HOU 10/07/2018 08:20PM ET,DAL,0
RB,Tyler Ervin (11410876),Tyler Ervin,11410876,RB/FLEX,3000,DAL@HOU 10/07/2018 08:20PM ET,HOU,0.55
RB,Buddy Howell (11410884),Buddy Howell,11410884,RB/FLEX,3000,DAL@HOU 10/07/2018 08:20PM ET,HOU,0
WR,Brice Butler (11410924),Brice Butler,11410924,WR/FLEX,3000,DAL@HOU 10/07/2018 08:20PM ET,DAL,0
WR,Terrance Williams (11410926),Terrance Williams,11410926,WR/FLEX,3000,DAL@HOU 10/07/2018 08:20PM ET,DAL,1.27
WR,Sammie Coates Jr. (11410928),Sammie Coates Jr.,11410928,WR/FLEX,3000,DAL@HOU 10/07/2018 08:20PM ET,HOU,1.1
WR,Noah Brown (11410934),Noah Brown,11410934,WR/FLEX,3000,DAL@HOU 10/07/2018 08:20PM ET,DAL,0
WR,Vyncint Smith (11410936),Vyncint Smith,11410936,WR/FLEX,3000,DAL@HOU 10/07/2018 08:20PM ET,HOU,1.27
RB,Shane Vereen (11410866),Shane Vereen,11410866,RB/FLEX,3000,WAS@NO 10/08/2018 08:15PM ET,NO,0
RB,Zach Line (11410868),Zach Line,11410868,RB/FLEX,3000,WAS@NO 10/08/2018 08:15PM ET,NO,2.5
RB,Mike Gillislee (11410870),Mike Gillislee,11410870,RB/FLEX,3000,WAS@NO 10/08/2018 08:15PM ET,NO,1.3
RB,Kapri Bibbs (11410874),Kapri Bibbs,11410874,RB/FLEX,3000,WAS@NO 10/08/2018 08:15PM ET,WAS,0.3
RB,Rob Kelley (11410878),Rob Kelley,11410878,RB/FLEX,3000,WAS@NO 10/08/2018 08:15PM ET,WAS,0.4
RB,Byron Marshall (11410880),Byron Marshall,11410880,RB/FLEX,3000,WAS@NO 10/08/2018 08:15PM ET,WAS,0
RB,Dwayne Washington (11410882),Dwayne Washington,11410882,RB/FLEX,3000,WAS@NO 10/08/2018 08:15PM ET,NO,0.2
WR,Brandon Tate (11410918),Brandon Tate,11410918,WR/FLEX,3000,WAS@NO 10/08/2018 08:15PM ET,NO,0
WR,Brian Quick (11410920),Brian Quick,11410920,WR/FLEX,3000,WAS@NO 10/08/2018 08:15PM ET,WAS,0
WR,Michael Floyd (11410922),Michael Floyd,11410922,WR/FLEX,3000,WAS@NO 10/08/2018 08:15PM ET,WAS,0
WR,Maurice Harris (11410930),Maurice Harris,11410930,WR/FLEX,3000,WAS@NO 10/08/2018 08:15PM ET,WAS,0
WR,Austin Carr (11410932),Austin Carr,11410932,WR/FLEX,3000,WAS@NO 10/08/2018 08:15PM ET,NO,1.88
DST,Texans  (11410964),Texans ,11410964,DST,2900,DAL@HOU 10/07/2018 08:20PM ET,HOU,6.75
TE,Geoff Swaim (11410944),Geoff Swaim,11410944,TE/FLEX,2800,DAL@HOU 10/07/2018 08:20PM ET,DAL,6.85
TE,Vernon Davis (11410942),Vernon Davis,11410942,TE/FLEX,2800,WAS@NO 10/08/2018 08:15PM ET,WAS,4.2
