player,position,team,upper,lower,points,YD,TD,sdPts,dropoff,sdRank,risk,DPA,SACK,INT
Laviska Shenault,WR,COLO,31.6,31.6,38.3,,,23,0.94,129,1.06,,,
Justice Hansen,QB,ARKST,33.5,33.5,36.2,424,2.66,43,0.66,0,0,,,
Kyler Murray,QB,OKLA,33.7,33.7,36.1,325,3.29,58,0.44,0,0,,,
Marcus McMaryion,QB,FRESNO,29.5,29.5,32,375,2.45,19,0.68,0,0,,,
David Pindell,QB,UCONN,30.4,30.4,32,272,1.88,86,0.84,0,0,,,
D'Eriq King,QB,HOU,28.3,28.3,30,279,2.44,38,0.83,0,0,,,
Steven Montez,QB,COLO,27.7,27.7,29.7,300,2.43,35,0.6,0,0,,,
Ian Book,QB,ND,26.3,26.3,28.7,322,2.42,25,0.43,0,0,,,
Devin Singletary,RB,FAU,24.9,24.9,28.1,,,131,1.54,14,0.09,,,
Mason Fine,QB,NTEXAS,25.1,25.1,27.7,325,2.76,4,0.3,0,0,,,
Michael Curtis,QB,MA,25.5,25.5,27.4,296,2.13,16,0.72,0,0,,,
Jack Abraham,QB,USM,23.9,23.9,26.7,347,2.22,8,0.37,0,0,,,
Brett Rypien,QB,BOISE,24.1,24.1,26.7,373,2.5,3,0.05,0,0,,,
Ross Comis,QB,MA,24.6,24.6,26.6,294,2.11,19,0.6,0,0,,,
Eric Dungey,QB,CUSE,24.8,24.8,26.5,273,1.53,50,0.77,0,0,,,
A.J. Erdely,QB,UAB,25.2,25.2,26.1,227,1.87,41,0.94,0,0,,,
Manny Wilkins,QB,ARIZST,23.4,23.4,25.9,355,1.83,21,0.32,0,0,,,
Lexington Thomas,RB,UNLV,22.4,22.4,25.7,,,114,1.39,15,0.12,,,
Sam Ehlinger,QB,TEXAS,23.1,23.1,25.4,304,1.67,28,0.5,0,0,,,
Dan Ellington,QB,GAST,22.7,22.7,24.5,275,1.62,38,0.46,0,0,,,
Taylor Cornelius,QB,OKLAST,22.2,22.2,24.3,298,1.95,20,0.38,0,0,,,
