lineup_num,points_avg,points_ceil,points_floor,name,salary,position,team,opposing_team,median_value,upper_value,lower_value,median,upper,lower,salary_remaining
1,81.18611431121826,89.61623191833496,69.28532218933105,Brandon McManus,5400.0,K,DEN,ARI,2.217638889948527,2.565864192114936,1.8055555555555556,11.975250244140625,13.855667114257812,9.75,200.0
1,81.18611431121826,89.61623191833496,69.28532218933105,Royce Freeman,5600.0,RB,DEN,ARI,1.6921838692256383,1.907017060688564,1.4479752949305944,9.476229667663574,10.679295539855957,8.108661651611328,200.0
1,81.18611431121826,89.61623191833496,69.28532218933105,Case Keenum,10000.0,QB,DEN,ARI,1.5728087425231934,1.7556425094604493,1.387707805633545,15.728087425231934,17.556425094604492,13.87707805633545,200.0
1,81.18611431121826,89.61623191833496,69.28532218933105,Demaryius Thomas,8400.0,WR,DEN,ARI,1.506685075305757,1.6195958001273019,1.3666666121709914,12.65615463256836,13.604604721069336,11.479999542236328,200.0
1,81.18611431121826,89.61623191833496,69.28532218933105,David Johnson,11200.0,RB,ARI,DEN,1.6231412546975272,1.7371504647391185,1.364765592983791,18.179182052612305,19.456085205078125,15.285374641418457,200.0
1,81.18611431121826,89.61623191833496,69.28532218933105,Josh Rosen,9200.0,QB,ARI,DEN,1.431653292282768,1.572190678637961,1.1721965541010317,13.171210289001465,14.464154243469238,10.784208297729492,200.0
,,,,,,,,,,,,,,,
2,79.82642459869385,88.1720871925354,69.1324520111084,Brandon McManus,5400.0,K,DEN,ARI,2.217638889948527,2.565864192114936,1.8055555555555556,11.975250244140625,13.855667114257812,9.75,200.0
2,79.82642459869385,88.1720871925354,69.1324520111084,Ricky Seals-Jones,4000.0,TE,ARI,DEN,1.7812767028808594,1.9448837041854858,1.627500057220459,7.1251068115234375,7.779534816741943,6.510000228881836,200.0
2,79.82642459869385,88.1720871925354,69.1324520111084,Case Keenum,10000.0,QB,DEN,ARI,1.5728087425231934,1.7556425094604493,1.387707805633545,15.728087425231934,17.556425094604492,13.87707805633545,200.0
2,79.82642459869385,88.1720871925354,69.1324520111084,Demaryius Thomas,8400.0,WR,DEN,ARI,1.506685075305757,1.6195958001273019,1.3666666121709914,12.65615463256836,13.604604721069336,11.479999542236328,200.0
2,79.82642459869385,88.1720871925354,69.1324520111084,David Johnson,11200.0,RB,ARI,DEN,1.6231412546975272,1.7371504647391185,1.364765592983791,18.179182052612305,19.456085205078125,15.285374641418457,200.0
2,79.82642459869385,88.1720871925354,69.1324520111084,Emmanuel Sanders,10800.0,WR,DEN,ARI,1.3113558733904802,1.474052800072564,1.1324073650218822,14.162643432617188,15.919770240783691,12.229999542236328,200.0
,,,,,,,,,,,,,,,
3,79.97381210327148,92.26330089569092,68.62245178222656,Brandon McManus,5400.0,K,DEN,ARI,2.217638889948527,2.565864192114936,1.8055555555555556,11.975250244140625,13.855667114257812,9.75,0.0
3,79.97381210327148,92.26330089569092,68.62245178222656,Cardinals,4200.0,DST,ARI,DEN,1.731546265738351,2.826368695213681,1.4285714285714286,7.272494316101074,11.870748519897461,6.0,0.0
3,79.97381210327148,92.26330089569092,68.62245178222656,Case Keenum,10000.0,QB,DEN,ARI,1.5728087425231934,1.7556425094604493,1.387707805633545,15.728087425231934,17.556425094604492,13.87707805633545,0.0
3,79.97381210327148,92.26330089569092,68.62245178222656,Demaryius Thomas,8400.0,WR,DEN,ARI,1.506685075305757,1.6195958001273019,1.3666666121709914,12.65615463256836,13.604604721069336,11.479999542236328,0.0
3,79.97381210327148,92.26330089569092,68.62245178222656,David Johnson,11200.0,RB,ARI,DEN,1.6231412546975272,1.7371504647391185,1.364765592983791,18.179182052612305,19.456085205078125,15.285374641418457,0.0
3,79.97381210327148,92.26330089569092,68.62245178222656,Emmanuel Sanders,10800.0,WR,DEN,ARI,1.3113558733904802,1.474052800072564,1.1324073650218822,14.162643432617188,15.919770240783691,12.229999542236328,0.0
,,,,,,,,,,,,,,,
4,79.36513376235962,87.90146541595459,68.21245193481445,Brandon McManus,5400.0,K,DEN,ARI,2.217638889948527,2.565864192114936,1.8055555555555556,11.975250244140625,13.855667114257812,9.75,800.0
4,79.36513376235962,87.90146541595459,68.21245193481445,Phil Dawson,3400.0,K,ARI,DEN,1.9599458750556498,2.2085038353415096,1.644117691937615,6.663815975189209,7.508913040161133,5.590000152587891,800.0
4,79.36513376235962,87.90146541595459,68.21245193481445,Case Keenum,10000.0,QB,DEN,ARI,1.5728087425231934,1.7556425094604493,1.387707805633545,15.728087425231934,17.556425094604492,13.87707805633545,800.0
4,79.36513376235962,87.90146541595459,68.21245193481445,Demaryius Thomas,8400.0,WR,DEN,ARI,1.506685075305757,1.6195958001273019,1.3666666121709914,12.65615463256836,13.604604721069336,11.479999542236328,800.0
4,79.36513376235962,87.90146541595459,68.21245193481445,David Johnson,11200.0,RB,ARI,DEN,1.6231412546975272,1.7371504647391185,1.364765592983791,18.179182052612305,19.456085205078125,15.285374641418457,800.0
4,79.36513376235962,87.90146541595459,68.21245193481445,Emmanuel Sanders,10800.0,WR,DEN,ARI,1.3113558733904802,1.474052800072564,1.1324073650218822,14.162643432617188,15.919770240783691,12.229999542236328,800.0
,,,,,,,,,,,,,,,
5,79.20658779144287,87.02393436431885,67.92032241821289,Phil Dawson,5100.0,K,ARI,DEN,1.9599458750556498,2.2085038353415096,1.644117691937615,9.995723724365234,11.2633695602417,8.385000228881836,500.0
5,79.20658779144287,87.02393436431885,67.92032241821289,Royce Freeman,5600.0,RB,DEN,ARI,1.6921838692256383,1.907017060688564,1.4479752949305944,9.476229667663574,10.679295539855957,8.108661651611328,500.0
5,79.20658779144287,87.02393436431885,67.92032241821289,Case Keenum,10000.0,QB,DEN,ARI,1.5728087425231934,1.7556425094604493,1.387707805633545,15.728087425231934,17.556425094604492,13.87707805633545,500.0
5,79.20658779144287,87.02393436431885,67.92032241821289,Demaryius Thomas,8400.0,WR,DEN,ARI,1.506685075305757,1.6195958001273019,1.3666666121709914,12.65615463256836,13.604604721069336,11.479999542236328,500.0
5,79.20658779144287,87.02393436431885,67.92032241821289,David Johnson,11200.0,RB,ARI,DEN,1.6231412546975272,1.7371504647391185,1.364765592983791,18.179182052612305,19.456085205078125,15.285374641418457,500.0
5,79.20658779144287,87.02393436431885,67.92032241821289,Josh Rosen,9200.0,QB,ARI,DEN,1.431653292282768,1.572190678637961,1.1721965541010317,13.171210289001465,14.464154243469238,10.784208297729492,500.0
,,,,,,,,,,,,,,,
6,77.84689807891846,85.57978963851929,67.76745223999023,Phil Dawson,5100.0,K,ARI,DEN,1.9599458750556498,2.2085038353415096,1.644117691937615,9.995723724365234,11.2633695602417,8.385000228881836,500.0
6,77.84689807891846,85.57978963851929,67.76745223999023,Ricky Seals-Jones,4000.0,TE,ARI,DEN,1.7812767028808594,1.9448837041854858,1.627500057220459,7.1251068115234375,7.779534816741943,6.510000228881836,500.0
6,77.84689807891846,85.57978963851929,67.76745223999023,Case Keenum,10000.0,QB,DEN,ARI,1.5728087425231934,1.7556425094604493,1.387707805633545,15.728087425231934,17.556425094604492,13.87707805633545,500.0
