name,salary,position,team,opposing_team,median_value,upper_value,lower_value,median,upper,lower,sdPts,dropoff,sdRank,risk,offset
Ravens,2800,DST,BAL,CLE,4.001415247549893,4.356743698986929,2.7500000000000004,11.2039626931397,12.1988823571634,7.7,2.04867540690835,0.316961151173588,NA,6.10767700295362,
Bengals,2700,DST,CIN,MIA,4.042843551860741,4.177124690316666,2.4234186861758884,10.915677590024,11.278236663855,6.5432304526749,1.93768814193637,0.189288963742523,NA,5.87199955097566,
Eagles,2600,DST,PHI,MIN,4.042148855643423,4.034006840914039,2.3346153846153848,10.5095870246729,10.4884177863765,6.07,1.84444180540725,3.32734346828698,NA,5.67399432033042,
Russell Wilson,5100,QB,SEA,LAR,3.6550233407491968,3.9162200986340787,3.355041824685981,18.6406190378209,19.9727225030338,17.1107133058985,1.31257860822844,1.45629608750091,1.3,7.43832192886375,
Panthers,3300,DST,CAR,NYG,3.58011753789094,3.861418252290334,3.0575757575757576,11.8143878750401,12.7426802325581,10.09,1.05555183052461,0.754567733458318,NA,3.99881492728715,
Blake Bortles,5500,QB,JAC,,3.6772479359733636,3.850660283749491,3.2726070582366913,20.2248636478535,21.1786315606222,17.9993388203018,1.14427791226527,0.368079558731147,1.1,6.55268551176407,
49ers,3000,DST,SF,ARI,3.5314839195516003,3.8362067051761333,2.58990864197531,10.5944517586548,11.5086201155284,7.76972592592593,1.535784943566,1.73813504935451,NA,5.01857261269015,
Cam Newton,6400,QB,CAR,NYG,3.3750720061727026,3.610189963584406,3.1472320831496248,21.6004608395053,23.1052157669402,20.1422853321576,1.43413814819896,0.491816132715055,1.2,7.40322057235483,
Matthew Stafford,5700,QB,DET,GB,3.4742569068869824,3.6032437161496844,3.307615862358228,19.8032643692558,20.5384891820532,18.8534104154419,0.687452224059077,0.459598428644934,1.4,6.47535415727745,
Derek Carr,5200,QB,OAK,LAC,3.3377363363033843,3.6004130642118457,3.0710567690197306,17.3562289487776,18.7221479339016,15.9694951989026,1.251834452538,0.584220097577042,1.2,7.04189477683635,
C.J. Beathard,4900,QB,SF,ARI,3.18586357964702,3.5376091023259795,2.7308003695305305,15.6107315402704,17.3342846013973,13.3809218106996,1.63029878060449,0.66286153047227,1.2,7.79201080667431,
Aaron Rodgers,6300,QB,GB,DET,3.285698141479667,3.4963699974453175,2.562180852222,20.6998982913219,22.0271309839055,16.1417393689986,1.85976684863151,0.249299834939777,1.6,9.35094546887932,
T.J. Yeldon,5600,RB,JAC,,2.455947760256161,3.014999621747714,1.7964285714285717,13.7533074574345,16.8839978817872,10.06,2.48940131250542,0.0324802988852593,1.8,7.63452567194748,
Kareem Hunt,5800,RB,KC,JAX,2.3643112148789482,2.7925713399485175,1.9258620689655173,13.7130050462979,16.1969137717014,11.17,2.03296205055513,1.37421359709097,1.6,6.78249647679314,
Aaron Jones,4300,RB,GB,DET,2.3328713456288837,2.6932106007303025,1.4183333037109953,10.0313467862042,11.5808055831403,6.09883320595728,2.12188658231566,0.194864350847972,3.4,7.70240743356848,
Kerryon Johnson,4600,RB,DET,GB,2.186214890644044,2.649816386049544,1.7331392062640045,10.0565884969626,12.1891553758279,7.97244034881442,1.7941959553769,0.0901960709386618,2.2,6.63845021827117,
Derrick Henry,4400,RB,TEN,BUF,2.211269760841111,2.6462089354594087,1.6543241052500317,9.72958694770089,11.6433193160214,7.27902606310014,1.73995821558158,0.071708163594657,4.4,7.48922133479027,
Mike Williams,4200,WR,LAC,OAK,2.036436869600295,2.617560830013881,1.343726601751812,8.55303485232124,10.9937554860583,5.64365172735761,2.68558860286113,0.162017616370887,2.3,7.72174485508651,
Bilal Powell,4400,RB,NYJ,DEN,2.1983194267606048,2.58052811434,1.815909090909091,9.67260547774666,11.354323703096,7.99,1.91250291835878,0.0970867675670011,4.2,7.69331919278301,
David Johnson,6300,RB,ARI,SF,2.4242573164107144,2.5389993437373177,2.219047619047619,15.2728210933875,15.9956958655451,13.98,0.810651494477131,0.433776266769978,0.8,4.38762677523551,
Carlos Hyde,5200,RB,CLE,BAL,2.0975850048091345,2.452165871862,1.6667458056346942,10.9074420250075,12.7512625336824,8.66707818930041,1.54997333853545,0.269934095338998,2.5,6.3568089528026,
Jimmy Graham,4700,TE,GB,DET,1.8085263037768382,2.385663372792489,1.057446808510638,8.50007362775114,11.2126178521247,4.97,2.20898331543584,0.23548409221017,1.2,8.44167557934751,
David Njoku,3400,TE,CLE,BAL,1.7103460975339442,2.3200297315248384,1.1876470588235295,5.81517673161541,7.88810108718445,4.038,2.71455127290118,0.923642342225413,0.9,9.51123998691426,
Tyler Boyd,5700,WR,CIN,MIA,1.792469326523912,2.3190448806588773,1.407017543859649,10.2170751611863,13.2185558197556,8.02,2.48614652380867,0.289345701797908,2.4,7.44152757587263,
Marvin Jones,4700,WR,DET,GB,1.9765347746606277,2.306541965109,1.6546808510638298,9.28971344090495,10.8407472360123,7.777,1.82194858629853,0.102608242591689,2.9,6.59346220987958,
John Brown,5600,WR,BAL,CLE,1.7333675778166109,2.303539138944286,1.3517857142857144,9.70685843577302,12.899819178088,7.57,2.60469134306398,0.0685201954552426,3.1,7.99531019799205,
Ricky Seals-Jones,2900,TE,ARI,SF,1.8290482730547726,2.300779826275407,1.1151724137931034,5.30423999185884,6.67226149619868,3.234,1.9448607850285,0.900780900260701,0.9,7.65080594979449,
Vance McDonald,3700,TE,PIT,ATL,1.8594443818863269,2.2833903567144755,1.417225898346646,6.87994421297941,8.44854431984356,5.24373582388259,1.68134044623242,0.937331093050948,0.9,7.0138457489161,
Doug Baldwin,5000,WR,SEA,LAR,1.8723456835681642,2.26362149169146,1.394,9.36172841784082,11.3181074584573,6.97,2.31368194501713,0.108051773199062,4,7.97093890317064,
