name,salary,position,team,opposing_team,median_value,upper_value,lower_value,median,upper,lower,sdPts,dropoff,sdRank,risk,offset
Cam Newton,6600.0,QB,CAR,TB,3.8787879365863223,3.8787879365863223,3.8787879365863223,25.600000381469727,25.600000381469727,25.600000381469727,0,0,0,0,
Ryan Fitzpatrick,5500.0,QB,TB,CAR,3.8363637057217685,3.8363637057217685,3.8363637057217685,21.100000381469727,21.100000381469727,21.100000381469727,0,0,0,0,
Alex Smith,5000.0,QB,WAS,ATL,3.7599998474121095,3.7599998474121095,3.7599998474121095,18.799999237060547,18.799999237060547,18.799999237060547,0,0,0,0,
Matt Ryan,5700.0,QB,ATL,WAS,3.7017544528894257,3.7017544528894257,3.7017544528894257,21.100000381469727,21.100000381469727,21.100000381469727,0,0,0,0,
Russell Wilson,5900.0,QB,SEA,LAC,3.542372816700046,3.542372816700046,3.542372816700046,20.899999618530273,20.899999618530273,20.899999618530273,0,0,0,0,
Jared Goff,6000.0,QB,LAR,NO,3.5166667302449546,3.5166667302449546,3.5166667302449546,21.100000381469727,21.100000381469727,21.100000381469727,0,0,0,0,
Chris Carson,4700.0,RB,SEA,LAC,3.4680849440554353,3.4680849440554353,3.4680849440554353,16.299999237060547,16.299999237060547,16.299999237060547,0,0,0,0,
Kirk Cousins,6200.0,QB,MIN,DET,3.435483747912991,3.435483747912991,3.435483747912991,21.299999237060547,21.299999237060547,21.299999237060547,0,0,0,0,
Drew Brees,6100.0,QB,NO,LAR,3.426229445660701,3.426229445660701,3.426229445660701,20.899999618530273,20.899999618530273,20.899999618530273,0,0,0,0,
Patrick Mahomes,7100.0,QB,KC,CLE,3.3521125686000772,3.3521125686000772,3.3521125686000772,23.799999237060547,23.799999237060547,23.799999237060547,0,0,0,0,
Broncos,2300.0,DST,DEN,HOU,3.3478260040283208,3.3478260040283208,3.3478260040283208,7.699999809265137,7.699999809265137,7.699999809265137,0,0,0,0,
Isaiah Crowell,4200.0,RB,NYJ,MIA,3.309523718697684,3.309523718697684,3.309523718697684,13.899999618530273,13.899999618530273,13.899999618530273,0,0,0,0,
Case Keenum,4900.0,QB,DEN,HOU,3.265306122448979,3.265306122448979,3.265306122448979,16.0,16.0,16.0,0,0,0,0,
Courtland Sutton,3900.0,WR,DEN,HOU,3.2564102075038814,3.2564102075038814,3.2564102075038814,12.699999809265137,12.699999809265137,12.699999809265137,0,0,0,0,
Matthew Stafford,5600.0,QB,DET,MIN,3.2500001362391884,3.2500001362391884,3.2500001362391884,18.200000762939453,18.200000762939453,18.200000762939453,0,0,0,0,
Alvin Kamara,7300.0,RB,NO,LAR,3.2465754469780075,3.2465754469780075,3.2465754469780075,23.700000762939453,23.700000762939453,23.700000762939453,0,0,0,0,
Philip Rivers,5600.0,QB,LAC,SEA,3.232142925262451,3.232142925262451,3.232142925262451,18.100000381469727,18.100000381469727,18.100000381469727,0,0,0,0,
Ben Roethlisberger,5700.0,QB,PIT,BAL,3.1929825899893776,3.1929825899893776,3.1929825899893776,18.200000762939453,18.200000762939453,18.200000762939453,0,0,0,0,
Mitchell Trubisky,5800.0,QB,CHI,BUF,3.189655172413793,3.189655172413793,3.189655172413793,18.5,18.5,18.5,0,0,0,0,
Bills,2300.0,DST,BUF,CHI,3.1739131264064624,3.1739131264064624,3.1739131264064624,7.300000190734863,7.300000190734863,7.300000190734863,0,0,0,0,
Deshaun Watson,6300.0,QB,HOU,DEN,3.1111111716618614,3.1111111716618614,3.1111111716618614,19.600000381469727,19.600000381469727,19.600000381469727,0,0,0,0,
Nathan Peterman,4000.0,QB,BUF,CHI,3.0999999046325684,3.0999999046325684,3.0999999046325684,12.399999618530273,12.399999618530273,12.399999618530273,0,0,0,0,
Steelers,2300.0,DST,PIT,BAL,3.08695648027503,3.08695648027503,3.08695648027503,7.099999904632568,7.099999904632568,7.099999904632568,0,0,0,0,
Latavius Murray,5100.0,RB,MIN,DET,3.0588236042097505,3.0588236042097505,3.0588236042097505,15.600000381469727,15.600000381469727,15.600000381469727,0,0,0,0,
Chargers,2300.0,DST,LAC,SEA,3.000000041464101,3.000000041464101,3.000000041464101,6.900000095367432,6.900000095367432,6.900000095367432,0,0,0,0,
Brock Osweiler,4900.0,QB,MIA,NYJ,2.9999999610745176,2.9999999610745176,2.9999999610745176,14.699999809265137,14.699999809265137,14.699999809265137,0,0,0,0,
Paul Richardson,3800.0,WR,WAS,ATL,2.99999989961323,2.99999989961323,2.99999989961323,11.399999618530273,11.399999618530273,11.399999618530273,0,0,0,0,
Sam Darnold,4800.0,QB,NYJ,MIA,2.9791667064030967,2.9791667064030967,2.9791667064030967,14.300000190734863,14.300000190734863,14.300000190734863,0,0,0,0,
Jets,2500.0,DST,NYJ,MIA,2.9600000381469727,2.9600000381469727,2.9600000381469727,7.400000095367432,7.400000095367432,7.400000095367432,0,0,0,0,
Jordan Howard,4700.0,RB,CHI,BUF,2.9361702533478433,2.9361702533478433,2.9361702533478433,13.800000190734863,13.800000190734863,13.800000190734863,0,0,0,0,
Trenton Cannon,3600.0,RB,NYJ,MIA,2.9166666666666665,2.9166666666666665,2.9166666666666665,10.5,10.5,10.5,0,0,0,0,
Chiefs,2700.0,DST,KC,CLE,2.8888889595314304,2.8888889595314304,2.8888889595314304,7.800000190734863,7.800000190734863,7.800000190734863,0,0,0,0,
Marvin Jones,5300.0,WR,DET,MIN,2.8301886792452833,2.8301886792452833,2.8301886792452833,15.0,15.0,15.0,0,0,0,0,
Tevin Coleman,4800.0,RB,ATL,WAS,2.8125,2.8125,2.8125,13.5,13.5,13.5,0,0,0,0,
Kenny Golladay,5500.0,WR,DET,MIN,2.781818216497248,2.781818216497248,2.781818216497248,15.300000190734863,15.300000190734863,15.300000190734863,0,0,0,0,
Lions,2100.0,DST,DET,MIN,2.761904852730887,2.761904852730887,2.761904852730887,5.800000190734863,5.800000190734863,5.800000190734863,0,0,0,0,
Seahawks,2500.0,DST,SEA,LAC,2.7600000381469725,2.7600000381469725,2.7600000381469725,6.900000095367432,6.900000095367432,6.900000095367432,0,0,0,0,
Julio Jones,7900.0,WR,ATL,WAS,2.7594935743114615,2.7594935743114615,2.7594935743114615,21.799999237060547,21.799999237060547,21.799999237060547,0,0,0,0,
Dolphins,2800.0,DST,MIA,NYJ,2.749999931880406,2.749999931880406,2.749999931880406,7.699999809265137,7.699999809265137,7.699999809265137,0,0,0,0,
Mark Ingram,5000.0,RB,NO,LAR,2.7399999618530275,2.7399999618530275,2.7399999618530275,13.699999809265137,13.699999809265137,13.699999809265137,0,0,0,0,
Kareem Hunt,7700.0,RB,KC,CLE,2.7012986022156555,2.7012986022156555,2.7012986022156555,20.799999237060547,20.799999237060547,20.799999237060547,0,0,0,0,
Travis Kelce,6600.0,TE,KC,CLE,2.69696958137281,2.69696958137281,2.69696958137281,17.799999237060547,17.799999237060547,17.799999237060547,0,0,0,0,
Todd Gurley,9500.0,RB,LAR,NO,2.6842105263157894,2.6842105263157894,2.6842105263157894,25.5,25.5,25.5,0,0,0,0,
Michael Thomas,7600.0,WR,NO,LAR,2.6842104761224044,2.6842104761224044,2.6842104761224044,20.399999618530273,20.399999618530273,20.399999618530273,0,0,0,0,
Lamar Miller,5200.0,RB,HOU,DEN,2.67307684971736,2.67307684971736,2.67307684971736,13.899999618530273,13.899999618530273,13.899999618530273,0,0,0,0,
LeSean McCoy,4900.0,RB,BUF,CHI,2.6530612244897958,2.6530612244897958,2.6530612244897958,13.0,13.0,13.0,0,0,0,0,
