name,salary,position,team,opposing_team,median_value,upper_value,lower_value,median,upper,lower,sdPts,dropoff,sdRank,risk,offset
Vyncint Smith,1800.0,WR,HOU,MIA,4.444444444444445,4.444444444444445,4.444444444444445,8.0,8.0,8.0,0,0,0,0,
Alfred Blue,1600.0,RB,HOU,MIA,4.375,4.375,4.375,7.0,7.0,7.0,0,0,0,0,
Jordan Akins,800.0,TE,HOU,MIA,3.3750000596046448,3.3750000596046448,3.3750000596046448,2.700000047683716,2.700000047683716,2.700000047683716,0,0,0,0,
Dolphins,2800.0,DST,MIA,HOU,3.035714285714286,3.035714285714286,3.035714285714286,8.5,8.5,8.5,0,0,0,0,
DeVante Parker,3400.0,WR,MIA,HOU,2.411764649783864,2.411764649783864,2.411764649783864,8.199999809265137,8.199999809265137,8.199999809265137,0,0,0,0,
Jakeem Grant,3800.0,WR,MIA,HOU,2.184210576509175,2.184210576509175,2.184210576509175,8.300000190734863,8.300000190734863,8.300000190734863,0,0,0,0,
Frank Gore,3600.0,RB,MIA,HOU,2.0833333333333335,2.0833333333333335,2.0833333333333335,7.5,7.5,7.5,0,0,0,0,
Durham Smythe,200.0,TE,MIA,HOU,2.0000000298023224,2.0000000298023224,2.0000000298023224,0.4000000059604645,0.4000000059604645,0.4000000059604645,0,0,0,0,
Lamar Miller,7600.0,RB,HOU,MIA,1.986842155456543,1.986842155456543,1.986842155456543,15.100000381469727,15.100000381469727,15.100000381469727,0,0,0,0,
Mike Gesicki,2400.0,TE,MIA,HOU,1.9166666269302368,1.9166666269302368,1.9166666269302368,4.599999904632568,4.599999904632568,4.599999904632568,0,0,0,0,
Deshaun Watson,11600.0,QB,HOU,MIA,1.767241379310345,1.767241379310345,1.767241379310345,20.5,20.5,20.5,0,0,0,0,
DeAndre Hopkins,12000.0,WR,HOU,MIA,1.7083333333333333,1.7083333333333333,1.7083333333333333,20.5,20.5,20.5,0,0,0,0,
Jordan Thomas,1000.0,TE,HOU,MIA,1.7000000476837158,1.7000000476837158,1.7000000476837158,1.7000000476837158,1.7000000476837158,1.7000000476837158,0,0,0,0,
Texans,4600.0,DST,HOU,MIA,1.6956522153771443,1.6956522153771443,1.6956522153771443,7.800000190734863,7.800000190734863,7.800000190734863,0,0,0,0,
Kenyan Drake,7000.0,RB,MIA,HOU,1.6142857415335519,1.6142857415335519,1.6142857415335519,11.300000190734863,11.300000190734863,11.300000190734863,0,0,0,0,
Danny Amendola,6800.0,WR,MIA,HOU,1.5735293837154614,1.5735293837154614,1.5735293837154614,10.699999809265137,10.699999809265137,10.699999809265137,0,0,0,0,
Brock Osweiler,8200.0,QB,MIA,HOU,1.5609756330164468,1.5609756330164468,1.5609756330164468,12.800000190734863,12.800000190734863,12.800000190734863,0,0,0,0,
Ka'imi Fairbairn,3400.0,K,HOU,MIA,1.4705882352941178,1.4705882352941178,1.4705882352941178,5.0,5.0,5.0,0,0,0,0,
Kalen Ballage,600.0,RB,MIA,HOU,1.3333333532015483,1.3333333532015483,1.3333333532015483,0.800000011920929,0.800000011920929,0.800000011920929,0,0,0,0,
Will Fuller V,10200.0,WR,HOU,MIA,1.323529411764706,1.323529411764706,1.323529411764706,13.5,13.5,13.5,0,0,0,0,
Ryan Griffin,3000.0,TE,HOU,MIA,1.1666666666666667,1.1666666666666667,1.1666666666666667,3.5,3.5,3.5,0,0,0,0,
Jason Sanders,3200.0,K,MIA,HOU,1.0312499850988388,1.0312499850988388,1.0312499850988388,3.299999952316284,3.299999952316284,3.299999952316284,0,0,0,0,
Nick O'Leary,2600.0,TE,MIA,HOU,0.8461538644937369,0.8461538644937369,0.8461538644937369,2.200000047683716,2.200000047683716,2.200000047683716,0,0,0,0,
Sammie Coates,1600.0,WR,HOU,MIA,0.5624999850988388,0.5624999850988388,0.5624999850988388,0.8999999761581421,0.8999999761581421,0.8999999761581421,0,0,0,0,
Keke Coutee,5000.0,WR,HOU,MIA,0.1,0.1,0.1,0.5,0.5,0.5,0,0,0,0,
Brandon Weeden,6600.0,QB,HOU,MIA,0.015151515377290321,0.015151515377290321,0.015151515377290321,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0,0,0,
David Fales,6600.0,QB,MIA,HOU,0.015151515377290321,0.015151515377290321,0.015151515377290321,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,0,0,0,
