name,salary,position,team,opposing_team,median_value,upper_value,lower_value,median,upper,lower,sdPts,dropoff,sdRank,risk,offset
Mike Weber,5100.0,RB,OHIOST,NEB,4.196078356574564,3.588235144521676,3.588235144521676,21.399999618530273,18.299999237060547,18.299999237060547,,108,8,0.08,
Eric Dungey,8400.0,QB,CUSE,WAKE,3.9404760088239397,3.6785713831583657,3.6785713831583657,33.099998474121094,30.899999618530273,30.899999618530273,306,66,0,0,
Taylor Cornelius,8700.0,QB,OKLAST,BAY,3.885057383570178,3.609195358451756,3.609195358451756,33.79999923706055,31.399999618530273,31.399999618530273,367,31,0,0,
Manny Wilkins,6500.0,QB,ARIZST,UTAH,3.7230770404522238,3.3076923076923075,3.3076923076923075,24.200000762939453,21.5,21.5,324,22,0,0,
Scottie Phillips,6800.0,RB,MISS,SCAR,3.3823529411764706,2.9411764705882355,2.9411764705882355,23.0,20.0,20.0,,94,27,0.41,
Justice Hill,6400.0,RB,OKLAST,BAY,3.3437499403953552,2.8593748807907104,2.8593748807907104,21.399999618530273,18.299999237060547,18.299999237060547,,113,10,0.14,
Clinton Lynch,3300.0,RB,GATECH,UNC,3.3030301874334165,3.121212179010565,3.121212179010565,10.899999618530273,10.300000190734863,10.300000190734863,,27,19,0.72,
Charlie Brewer,6800.0,QB,BAYLOR,OKST,3.2941175909603344,3.014705882352941,3.014705882352941,22.399999618530273,20.5,20.5,288,15,0,0,
Sam Hartman,7200.0,QB,WAKE,SYR,3.277777830759684,3.0833334392971463,3.0833334392971463,23.600000381469727,22.200000762939453,22.200000762939453,266,28,0,0,
Tre Watson,4800.0,RB,TEXAS,WVU,3.229166666666667,2.770833373069763,2.770833373069763,15.5,13.300000190734863,13.300000190734863,,45,32,0.33,
Travis Etienne,7700.0,RB,CLEM,UL,3.2207791216961748,2.844155794614321,2.844155794614321,24.799999237060547,21.899999618530273,21.899999618530273,,101,16,0.15,
Feleipe Franks,5300.0,QB,FLA,MIZZ,3.150943540177255,2.9433962983905144,2.9433962983905144,16.700000762939453,15.600000381469727,15.600000381469727,223,12,0,0,
Sam Ehlinger,8600.0,QB,TEXAS,WVU,3.127906932387241,2.8837208415186684,2.8837208415186684,26.899999618530273,24.799999237060547,24.799999237060547,300,34,0,0,
Tyler Huntley,7600.0,QB,UTAH,ASU,3.0921052631578947,2.9078947870354903,2.9078947870354903,23.5,22.100000381469727,22.100000381469727,259,40,0,0,
N'Keal Harry,7500.0,WR,ARIZST,UTAH,3.0399998982747394,2.3600001017252605,2.3600001017252605,22.799999237060547,17.700000762939453,17.700000762939453,,2,95,0.69,
Antonio Williams,4000.0,RB,UNC,GT,3.0,2.674999952316284,2.674999952316284,12.0,10.699999809265137,10.699999809265137,,49,15,0.09,
J.K. Dobbins,6300.0,RB,OHIOST,NEB,2.99999993944925,2.619047619047619,2.619047619047619,18.899999618530273,16.5,16.5,,92,14,0.18,
Kyle Williams,4100.0,WR,ARIZST,UTAH,2.975609709576863,2.2926828337878717,2.2926828337878717,12.199999809265137,9.399999618530273,9.399999618530273,,1,54,0.25,
JD Spielman,6200.0,WR,NEB,OSU,2.9516127801710557,2.338709677419355,2.338709677419355,18.299999237060547,14.5,14.5,,3,78,0.59,
Lil'Jordan Humphrey,6700.0,WR,TEXAS,WVU,2.9402986213342466,2.283582118020129,2.283582118020129,19.700000762939453,15.300000190734863,15.300000190734863,,3,87,0.43,
Lyn-J Dixon,3700.0,RB,CLEM,UL,2.8918918403419287,2.7297298328296558,2.7297298328296558,10.699999809265137,10.100000381469727,10.100000381469727,,55,8,0.03,
Adam Choice,3500.0,RB,CLEM,UL,2.8857143947056363,2.7142857142857144,2.7142857142857144,10.100000381469727,9.5,9.5,,56,3,0.03,
Jake Bentley,6900.0,QB,SC,MISS,2.884057915729025,2.681159420289855,2.681159420289855,19.899999618530273,18.5,18.5,260,14,0,0,
Nathan Elliott,6000.0,QB,UNC,GT,2.866666793823242,2.6000000635782876,2.6000000635782876,17.200000762939453,15.600000381469727,15.600000381469727,250,5,0,0,
Drew Lock,6000.0,QB,MIZZOU,UF,2.8500000635782876,2.6000000635782876,2.6000000635782876,17.100000381469727,15.600000381469727,15.600000381469727,253,8,0,0,
Tylan Wallace,8100.0,WR,OKLAST,BAY,2.8271604467321327,2.160493827160494,2.160493827160494,22.899999618530273,17.5,17.5,,0,114,0.61,
Collin Johnson,6800.0,WR,TEXAS,WVU,2.808823585510254,2.1764706162845386,2.1764706162845386,19.100000381469727,14.800000190734863,14.800000190734863,,0,86,0.51,
Jordan Ta'amu,8900.0,QB,MISS,SCAR,2.741572990846098,2.528089887640449,2.528089887640449,24.399999618530273,22.5,22.5,286,32,0,0,
Michael Carter,4900.0,RB,UNC,GT,2.7346937997000555,2.3877550631153337,2.3877550631153337,13.399999618530273,11.699999809265137,11.699999809265137,,62,14,0.19,
Tobias Oliver,8000.0,QB,GATECH,UNC,2.6875,2.674999952316284,2.674999952316284,21.5,21.399999618530273,21.399999618530273,91,85,0,0,
Eno Benjamin,7900.0,RB,ARIZST,UTAH,2.632911295830449,2.253164460387411,2.253164460387411,20.799999237060547,17.799999237060547,17.799999237060547,,76,28,0.25,
Jake Fromm,5700.0,QB,UGA,UK,2.631578947368421,2.491228036713182,2.491228036713182,15.0,14.199999809265137,14.199999809265137,226,-1,0,0,
Cade Carney,5900.0,RB,WAKE,SYR,2.6271186440677963,2.389830573130462,2.389830573130462,15.5,14.100000381469727,14.100000381469727,,70,13,0.11,
Britain Covey,6300.0,WR,UTAH,ASU,2.587301466200087,1.9047619047619049,1.9047619047619049,16.299999237060547,12.0,12.0,,6,77,0.24,
Trevor Lawrence,8200.0,QB,CLEM,UL,2.5853659466999335,2.378048780487805,2.378048780487805,21.200000762939453,19.5,19.5,269,10,0,0,
Jamal Custis,6200.0,WR,CUSE,WAKE,2.5806451612903225,2.1129032873338267,2.1129032873338267,16.0,13.100000381469727,13.100000381469727,,0,71,0.62,
Adrian Martinez,7800.0,QB,NEB,OSU,2.576923125829452,2.38461543352176,2.38461543352176,20.100000381469727,18.600000381469727,18.600000381469727,246,40,0,0,
Tee Higgins,6200.0,WR,CLEM,UL,2.548387127537881,2.145161321086268,2.145161321086268,15.800000190734863,13.300000190734863,13.300000190734863,,0,62,0.85,
Jordan Mason,5800.0,RB,GATECH,UNC,2.5,2.241379310344828,2.241379310344828,14.5,13.0,13.0,,85,1,0.08,
Dontae Strickland,3900.0,RB,CUSE,WAKE,2.487179438273112,2.256410305316632,2.256410305316632,9.699999809265137,8.800000190734863,8.800000190734863,,44,12,0.04,
Taj Harris,4500.0,WR,CUSE,WAKE,2.466666751437717,1.9555555979410808,1.9555555979410808,11.100000381469727,8.800000190734863,8.800000190734863,,0,54,0.22,
Matt Colburn,6700.0,RB,WAKE,SYR,2.462686567164179,2.1791045345477205,2.1791045345477205,16.5,14.600000381469727,14.600000381469727,,89,10,0.02,
Trace McSorley,7400.0,QB,PSU,MICH,2.4594595625593856,2.4054053023054793,2.4054053023054793,18.200000762939453,17.799999237060547,17.799999237060547,182,37,0,0,
Devin Duvernay,3600.0,WR,TEXAS,WVU,2.444444497426351,1.972222195731269,1.972222195731269,8.800000190734863,7.099999904632568,7.099999904632568,,1,43,0.18,
Jalen Hurd,7000.0,WR,BAYLOR,OKST,2.4285714285714284,2.028571401323591,2.028571401323591,17.0,14.199999809265137,14.199999809265137,,23,62,0.25,
Shea Patterson,6100.0,QB,MICH,PSU,2.4262295394647317,2.278688462054143,2.278688462054143,14.800000190734863,13.899999618530273,13.899999618530273,187,19,0,0,
Sage Surratt,4000.0,WR,WAKE,SYR,2.424999952316284,2.049999952316284,2.049999952316284,9.699999809265137,8.199999809265137,8.199999809265137,,0,47,0.35,
Greg Dortch,7900.0,WR,WAKE,SYR,2.392405015003832,1.8987341772151898,1.8987341772151898,18.899999618530273,15.0,15.0,,1,83,0.64,
Dwayne Haskins,9800.0,QB,OHIOST,NEB,2.3775509425571983,2.285714246788803,2.285714246788803,23.299999237060547,22.399999618530273,22.399999618530273,240,10,0,0,
Dazz Newsome,4000.0,WR,UNC,GT,2.375,1.9249999523162842,1.9249999523162842,9.5,7.699999809265137,7.699999809265137,,3,42,0.24,
Nykeim Johnson,5100.0,WR,CUSE,WAKE,2.3725490944058287,1.9215686648499732,1.9215686648499732,12.100000381469727,9.800000190734863,9.800000190734863,,3,54,0.35,
