name,salary,position,team,opposing_team,median_value,upper_value,lower_value,median,upper,lower,sdPts,dropoff,sdRank,risk,offset
Patrick Mahomes,7000.0,QB,KC,DEN,3.9285714285714284,3.9285714285714284,3.9285714285714284,27.5,27.5,27.5,0,0,0,0,
Ben Roethlisberger,6100.0,QB,PIT,CLE,3.7213116004818776,3.7213116004818776,3.7213116004818776,22.700000762939453,22.700000762939453,22.700000762939453,0,0,0,0,
Eli Manning,4900.0,QB,NYG,WAS,3.6938776288713724,3.6938776288713724,3.6938776288713724,18.100000381469727,18.100000381469727,18.100000381469727,0,0,0,0,
Alex Smith,5000.0,QB,WAS,NYG,3.6799999237060548,3.6799999237060548,3.6799999237060548,18.399999618530273,18.399999618530273,18.399999618530273,0,0,0,0,
Cam Newton,5800.0,QB,CAR,BAL,3.5862067650104392,3.5862067650104392,3.5862067650104392,20.799999237060547,20.799999237060547,20.799999237060547,0,0,0,0,
Matthew Stafford,5600.0,QB,DET,SEA,3.5714285714285716,3.5714285714285716,3.5714285714285716,20.0,20.0,20.0,0,0,0,0,
Derek Carr,5200.0,QB,OAK,IND,3.5384614651019755,3.5384614651019755,3.5384614651019755,18.399999618530273,18.399999618530273,18.399999618530273,0,0,0,0,
Jared Goff,6000.0,QB,LAR,GB,3.5,3.5,3.5,21.0,21.0,21.0,0,0,0,0,
Andrew Luck,6300.0,QB,IND,OAK,3.476190415639726,3.476190415639726,3.476190415639726,21.899999618530273,21.899999618530273,21.899999618530273,0,0,0,0,
Isaiah Crowell,3700.0,RB,NYJ,CHI,3.459459511009422,3.459459511009422,3.459459511009422,12.800000190734863,12.800000190734863,12.800000190734863,0,0,0,0,
Mitchell Trubisky,6100.0,QB,CHI,NYJ,3.459016455978644,3.459016455978644,3.459016455978644,21.100000381469727,21.100000381469727,21.100000381469727,0,0,0,0,
Chris Carson,4300.0,RB,SEA,DET,3.441860509473224,3.441860509473224,3.441860509473224,14.800000190734863,14.800000190734863,14.800000190734863,0,0,0,0,
Case Keenum,5100.0,QB,DEN,KC,3.352941251268574,3.352941251268574,3.352941251268574,17.100000381469727,17.100000381469727,17.100000381469727,0,0,0,0,
Andy Dalton,6200.0,QB,CIN,TB,3.3225807066886657,3.3225807066886657,3.3225807066886657,20.600000381469727,20.600000381469727,20.600000381469727,0,0,0,0,
Aaron Rodgers,6400.0,QB,GB,LAR,3.3125001192092896,3.3125001192092896,3.3125001192092896,21.200000762939453,21.200000762939453,21.200000762939453,0,0,0,0,
Jameis Winston,6000.0,QB,TB,CIN,3.25,3.25,3.25,19.5,19.5,19.5,0,0,0,0,
Chris Thompson,5500.0,RB,WAS,NYG,3.109090978449041,3.109090978449041,3.109090978449041,17.100000381469727,17.100000381469727,17.100000381469727,0,0,0,0,
Russell Wilson,5900.0,QB,SEA,DET,3.1016947859424655,3.1016947859424655,3.1016947859424655,18.299999237060547,18.299999237060547,18.299999237060547,0,0,0,0,
Sammy Watkins,4600.0,WR,KC,DEN,3.0434782608695654,3.0434782608695654,3.0434782608695654,14.0,14.0,14.0,0,0,0,0,
C.J. Beathard,4900.0,QB,SF,ARI,3.0408162486796475,3.0408162486796475,3.0408162486796475,14.899999618530273,14.899999618530273,14.899999618530273,0,0,0,0,
Eric Ebron,4900.0,TE,IND,OAK,3.0204082021907883,3.0204082021907883,3.0204082021907883,14.800000190734863,14.800000190734863,14.800000190734863,0,0,0,0,
Kerryon Johnson,5300.0,RB,DET,SEA,2.99999992802458,2.99999992802458,2.99999992802458,15.899999618530273,15.899999618530273,15.899999618530273,0,0,0,0,
James Conner,7500.0,RB,PIT,CLE,2.946666717529297,2.946666717529297,2.946666717529297,22.100000381469727,22.100000381469727,22.100000381469727,0,0,0,0,
Peyton Barber,3600.0,RB,TB,CIN,2.9444445504082575,2.9444445504082575,2.9444445504082575,10.600000381469727,10.600000381469727,10.600000381469727,0,0,0,0,
Odell Beckham,7500.0,WR,NYG,WAS,2.906666564941406,2.906666564941406,2.906666564941406,21.799999237060547,21.799999237060547,21.799999237060547,0,0,0,0,
Martavis Bryant,3700.0,WR,OAK,IND,2.864864967964791,2.864864967964791,2.864864967964791,10.600000381469727,10.600000381469727,10.600000381469727,0,0,0,0,
Joe Mixon,7300.0,RB,CIN,TB,2.849314963980897,2.849314963980897,2.849314963980897,20.799999237060547,20.799999237060547,20.799999237060547,0,0,0,0,
Phillip Lindsay,5200.0,RB,DEN,KC,2.826923040243295,2.826923040243295,2.826923040243295,14.699999809265137,14.699999809265137,14.699999809265137,0,0,0,0,
Golden Tate,6000.0,WR,DET,SEA,2.816666603088379,2.816666603088379,2.816666603088379,16.899999618530273,16.899999618530273,16.899999618530273,0,0,0,0,
Ty Montgomery,3600.0,RB,GB,LAR,2.8055556615193686,2.8055556615193686,2.8055556615193686,10.100000381469727,10.100000381469727,10.100000381469727,0,0,0,0,
Jared Cook,5000.0,TE,OAK,IND,2.8,2.8,2.8,14.0,14.0,14.0,0,0,0,0,
Sam Darnold,4500.0,QB,NYJ,CHI,2.7777777777777777,2.7777777777777777,2.7777777777777777,12.5,12.5,12.5,0,0,0,0,
Randall Cobb,4900.0,WR,GB,LAR,2.7346937997000555,2.7346937997000555,2.7346937997000555,13.399999618530273,13.399999618530273,13.399999618530273,0,0,0,0,
Travis Kelce,6800.0,TE,KC,DEN,2.7205882352941178,2.7205882352941178,2.7205882352941178,18.5,18.5,18.5,0,0,0,0,
Kareem Hunt,7100.0,RB,KC,DEN,2.7042254595689372,2.7042254595689372,2.7042254595689372,19.200000762939453,19.200000762939453,19.200000762939453,0,0,0,0,
Jalen Richard,4200.0,RB,OAK,IND,2.690476235889253,2.690476235889253,2.690476235889253,11.300000190734863,11.300000190734863,11.300000190734863,0,0,0,0,
Vance McDonald,3700.0,TE,PIT,CLE,2.6756755725757495,2.6756755725757495,2.6756755725757495,9.899999618530273,9.899999618530273,9.899999618530273,0,0,0,0,
Marvin Jones,4800.0,WR,DET,SEA,2.6666667064030967,2.6666667064030967,2.6666667064030967,12.800000190734863,12.800000190734863,12.800000190734863,0,0,0,0,
Greg Olsen,4200.0,TE,CAR,BAL,2.642857233683268,2.642857233683268,2.642857233683268,11.100000381469727,11.100000381469727,11.100000381469727,0,0,0,0,
Alex Erickson,3000.0,WR,CIN,TB,2.633333365122477,2.633333365122477,2.633333365122477,7.900000095367432,7.900000095367432,7.900000095367432,0,0,0,0,
