name,salary,position,team,opposing_team,median_value,upper_value,lower_value,median,upper,lower,ffa_median,ffa_upper,ffa_lower,pff_median,sdPts,dropoff,sdRank,risk,offset
Cam Newton,6600.0,QB,CAR,TB,3.8341736071037524,4.044736515391957,3.078345096472538,25.305545806884766,26.695261001586914,20.31707763671875,25.0110923200612,26.6952613246825,20.3170781893004,25.6,2.0607138479964,1.51372736250799,0.6,6.79218820766675,
Ryan Fitzpatrick,5500.0,QB,TB,CAR,3.784668662331321,3.873432853005149,3.527272657914595,20.815677642822266,21.30388069152832,19.399999618530273,20.5313535989203,21.3038803951368,19.4,21.1,0.872733115273114,0.293113579400117,1.9,6.3165439349267,
Alex Smith,5000.0,QB,WAS,ATL,3.694893646240234,3.8656150817871096,3.206710433959961,18.474468231201172,19.328075408935547,16.033552169799805,18.1489348657652,19.3280762267476,16.0335528904566,18.8,1.41527904648647,0.281886417285378,2.3,7.5653904483997,
Matt Ryan,5700.0,QB,ATL,WAS,3.567989416289748,3.5527132268537556,3.228241100645902,20.337539672851562,20.250465393066406,18.40097427368164,19.5750784305518,20.2504659244775,18.4009739368999,21.1,0.656065957680835,0.910236316954709,1.1,5.15312429698981,
Jared Goff,6000.0,QB,LAR,NO,3.5196139017740884,3.89561398824056,3.024153709411621,21.11768341064453,23.37368392944336,18.144922256469727,21.1353662173776,23.3736845283191,18.1449218106996,21.1,2.0299386466811,0.37376782623306,1,7.16016718451734,
Kirk Cousins,6200.0,QB,MIN,DET,3.410632533411826,3.654999579152753,3.02482174288842,21.14592170715332,22.66099739074707,18.753894805908203,20.9918431833687,22.6609981022368,18.7538957475995,21.3,1.63877252353022,0.523801069219701,1,6.55916798919668,
Patrick Mahomes,7100.0,QB,KC,CLE,3.38814292155521,3.574879606005172,3.02450717335016,24.055814743041992,25.38164520263672,21.474000930786133,24.3116295074715,25.3816459926051,21.474,23.8,1.31308465946127,1.7221310952119,0.7,5.74732434735821,
Drew Brees,6100.0,QB,NO,LAR,3.385633562431961,3.7690172039094523,2.805051959928919,20.65236473083496,22.991004943847656,17.110816955566406,20.4047306293777,22.9910054034042,17.110817558299,20.9,2.15668051055892,0.581316709270482,1,7.35489713094123,
Broncos,2300.0,DST,DEN,HOU,3.373535197714101,4.030036511628524,2.8502010262530786,7.759130954742432,9.269083976745605,6.55546236038208,7.81826208651476,9.26908350081348,6.55546257058092,7.7,1.20536126403618,0.75114428695638,NA,4.48546376086241,
Joe Flacco,5300.0,QB,BAL,PIT,3.327463617864645,3.559167250147406,2.6889122657056124,17.635557174682617,18.86358642578125,14.251235008239746,17.6355563963527,18.8635871765969,14.2512345679012,,1.70758786619867,0.462825810422853,1.7,7.39160800138392,
Russell Wilson,5900.0,QB,SEA,LAC,3.321070913541115,3.3026649992344743,2.6891525721145886,19.594318389892578,19.4857234954834,15.866000175476074,18.2886375680972,19.4857240645498,15.866,20.9,1.41380206802998,0.0847828596139948,1.4,6.62877963668828,
Case Keenum,4900.0,QB,DEN,HOU,3.291256962990274,3.73072760445731,2.687485364018654,16.127159118652344,18.28056526184082,13.168678283691406,16.1543181069959,18.2805657669402,13.1686781893004,16.1,2.23708165763361,0.897596273760534,0.9,7.37461210365442,
Alvin Kamara,7300.0,RB,NO,LAR,3.2730444816693867,3.7105048192690497,2.47315524375602,23.893224716186523,27.086685180664062,18.054033279418945,24.0864511826563,27.0866848920422,18.0540329218107,23.7,4.05242385364348,2.91135709228385,1.4,10.2638902665914,
Matthew Stafford,5600.0,QB,DET,MIN,3.2552477291652138,3.4185491289411276,3.0530030386788507,18.229387283325195,19.143875122070312,17.096817016601562,18.2587745512012,19.1438744668332,17.096817558299,18.2,0.782499481974961,0.209125819546323,1.8,6.07409058674407,
Mitchell Trubisky,5800.0,QB,CHI,BUF,3.230585558661099,3.613849837204506,2.745721093539534,18.737396240234375,20.960329055786133,15.925182342529297,18.9747917489088,20.9603283719335,15.925182441701,18.5,1.85331933842659,0.653026725717538,1.3,7.200251237518,
Philip Rivers,5600.0,QB,LAC,SEA,3.21878228868757,3.4684245926993236,2.8717671121869772,18.02518081665039,19.42317771911621,16.08189582824707,17.9503625975445,19.4231783861764,16.0818957475995,18.1,1.38185213223956,0.240717249660488,1.6,6.78732226379735,
Ben Roethlisberger,5700.0,QB,PIT,BAL,3.206569604706346,3.4403064794707716,2.568124971891704,18.277446746826172,19.6097469329834,14.638312339782715,18.3548924782853,19.6097476908631,14.6383127572016,18.2,1.55307798892059,0.0811864186361362,1.7,7.1542144582897,
Chris Carson,4700.0,RB,SEA,LAC,3.17663902932025,3.2474055188767452,2.0678777897611575,14.930203437805176,15.262805938720703,9.719025611877441,13.5604074857927,15.2628058972502,9.71902606310014,16.3,2.28372073878248,0.180327624146916,1,7.17884307333633,
Deshaun Watson,6300.0,QB,HOU,DEN,3.148551517062717,3.346855224124969,2.9209276229616195,19.835874557495117,21.085187911987305,18.401844024658203,20.0717494096627,21.085187053204,18.4018436213992,19.6,1.04898160686041,0.796814319932412,1.1,5.7568115158207,
Baker Mayfield,5600.0,QB,CLE,KC,3.1128740310668945,3.428798743656704,2.590714352471488,17.43209457397461,19.20127296447754,14.508000373840332,17.4320949676661,19.2012739130435,14.508,,1.7616969298513,0.898252812071334,1.7,7.47474276636009,
Nick Chubb,4500.0,RB,CLE,KC,3.1089854770236545,3.247534645928277,2.7422222561306424,13.990434646606445,14.613905906677246,12.34000015258789,13.9904348520478,14.6139054552918,12.34,,0.856647925636557,0.455686356065057,1.2,5.01820057348726,
Courtland Sutton,3900.0,WR,DEN,HOU,3.1019868606176133,3.0775864919026694,2.5710257505759215,12.097748756408691,12.00258731842041,10.027000427246094,11.1954977350263,12.0025872093023,10.027,13,0.806368759221153,0.108733851180045,3.1,5.1249799440268,
Steelers,2300.0,DST,PIT,BAL,3.0543959659078848,3.325935446697733,2.6956520909848423,7.025110721588135,7.649651527404785,6.199999809265137,6.95022134849681,7.64965137614679,6.2,7.1,0.653936283893435,0.190040954171565,NA,3.66155566539808,
