name,salary,position,team,opposing_team,median_value,upper_value,lower_value,median,upper,lower,sdPts,dropoff,sdRank,risk,offset
Jett Duffey,8500.0,QB,TXTECH,KU,4.799999910242417,4.529411764705882,4.529411764705882,40.79999923706055,38.5,38.5,3.05,1.02,,,
Brady White,6600.0,QB,MEMP,MIZZ,3.500000057798444,3.181818181818182,3.181818181818182,23.100000381469727,21.0,21.0,2.46,0.1,,,
Alex Hornibrook,4600.0,QB,WISC,IL,3.3695652173913047,3.2391303518544077,3.2391303518544077,15.5,14.899999618530273,14.899999618530273,2.13,0,,,
Trace McSorley,8900.0,QB,PSU,IU,3.224719186847129,3.044943863086486,3.044943863086486,28.700000762939453,27.100000381469727,27.100000381469727,2.25,0.61,,,
Jalen Knox,4500.0,WR,MIZZOU,MEM,3.1555555131700306,2.6666666666666665,2.6666666666666665,14.199999809265137,12.0,12.0,,0,,,
Damonte Coxie,5600.0,WR,MEMP,MIZZ,3.142857210976737,2.535714251654489,2.535714251654489,17.600000381469727,14.199999809265137,14.199999809265137,,0,,,
Drew Lock,9200.0,QB,MIZZOU,MEM,3.108695693638014,2.8043477431587553,2.8043477431587553,28.600000381469727,25.799999237060547,25.799999237060547,2.9,0.35,,,
Damarea Crockett,5100.0,RB,MIZZOU,MEM,3.078431335150027,2.686274472404929,2.686274472404929,15.699999809265137,13.699999809265137,13.699999809265137,,0.46,,,
Myles Gaskin,6400.0,RB,WASH,COL,3.0312499403953552,2.5937500596046448,2.5937500596046448,19.399999618530273,16.600000381469727,16.600000381469727,,0.7,,,
Jarrett Stidham,6000.0,QB,AUBURN,MISS,3.0,2.7000001271565757,2.7000001271565757,18.0,16.200000762939453,16.200000762939453,1.57,0.22,,,
Kyler Murray,9800.0,QB,OKLA,TCU,2.918367385864258,2.7346937997000555,2.7346937997000555,28.600000381469727,26.799999237060547,26.799999237060547,2.33,0.35,,,
Antoine Wesley,7400.0,WR,TXTECH,KU,2.9054054054054053,2.3243244274242505,2.3243244274242505,21.5,17.200000762939453,17.200000762939453,,0,,,
Peyton Ramsey,6100.0,QB,IND,PSU,2.8196722562195826,2.688524527627914,2.688524527627914,17.200000762939453,16.399999618530273,16.399999618530273,1.33,0.31,,,
Josh Jacobs,4600.0,RB,BAMA,TENN,2.7391305177108105,2.5652174327684487,2.5652174327684487,12.600000381469727,11.800000190734863,11.800000190734863,,0.78,,,
Tyler Badie,3900.0,RB,MIZZOU,MEM,2.6410256899320164,2.38461543352176,2.38461543352176,10.300000190734863,9.300000190734863,9.300000190734863,,0.18,,,
Trent Pennix,3000.0,RB,NCST,CLEM,2.633333365122477,2.3333333333333335,2.3333333333333335,7.900000095367432,7.0,7.0,,0.08,,,
Darius Anderson,4600.0,RB,TCU,OU,2.586956438810929,2.3260869150576386,2.3260869150576386,11.899999618530273,10.699999809265137,10.699999809265137,,0.57,,,
Jake Browning,6700.0,QB,WASH,COL,2.582089438367246,2.462686567164179,2.462686567164179,17.299999237060547,16.5,16.5,1.55,0.37,,,
Sewo Olonilua,4500.0,RB,TCU,OU,2.5555555555555554,2.2222222222222223,2.2222222222222223,11.5,10.0,10.0,,0.42,,,
Scottie Phillips,6300.0,RB,MISS,AUB,2.5396825396825395,2.2857142251635354,2.2857142251635354,16.0,14.399999618530273,14.399999618530273,,0.48,,,
Jonathan Taylor,9700.0,RB,WISC,IL,2.53608251355358,2.2061855276835334,2.2061855276835334,24.600000381469727,21.399999618530273,21.399999618530273,,1.15,,,
Damien Harris,6700.0,RB,BAMA,TENN,2.507462572695604,2.2238805400791453,2.2238805400791453,16.799999237060547,14.899999618530273,14.899999618530273,,0.68,,,
Da'Leon Ward,4200.0,RB,TXTECH,KU,2.4761903853643505,2.1904761450631276,2.1904761450631276,10.399999618530273,9.199999809265137,9.199999809265137,,0.47,,,
Najee Harris,5000.0,RB,BAMA,TENN,2.4600000381469727,2.220000076293945,2.220000076293945,12.300000190734863,11.100000381469727,11.100000381469727,,0.46,,,
Brian Lewerke,5500.0,QB,MICHST,MICH,2.4545454545454546,2.3454544760964136,2.3454544760964136,13.5,12.899999618530273,12.899999618530273,1.1,0.22,,,
Darrell Henderson,8800.0,RB,MEMP,MIZZ,2.42045445875688,2.113636406985196,2.113636406985196,21.299999237060547,18.600000381469727,18.600000381469727,,0.85,,,
Steven Montez,7300.0,QB,COLO,UW,2.410958956365716,2.232876607816513,2.232876607816513,17.600000381469727,16.299999237060547,16.299999237060547,0.96,0.25,,,
Whop Philyor,4200.0,WR,IND,PSU,2.380952380952381,1.8809524036589123,1.8809524036589123,10.0,7.900000095367432,7.900000095367432,,0.01,,,
Tony Pollard,4500.0,RB,MEMP,MIZZ,2.3777777353922525,2.0444444020589194,2.0444444020589194,10.699999809265137,9.199999809265137,9.199999809265137,,0.15,,,
Kenny Gainwell,3000.0,RB,MEMP,MIZZ,2.366666634877523,2.0333333015441895,2.0333333015441895,7.099999904632568,6.099999904632568,6.099999904632568,,0.3,,,
Jordan Ta'amu,8700.0,QB,MISS,AUB,2.344827542359802,2.1379310783298537,2.1379310783298537,20.399999618530273,18.600000381469727,18.600000381469727,1.36,0.29,,,
Tua Tagovailoa,10200.0,QB,BAMA,TENN,2.343137217502968,2.2058823529411766,2.2058823529411766,23.899999618530273,22.5,22.5,2.57,0.24,,,
Shawn Robinson,8200.0,QB,TCU,OU,2.3048780022597897,2.1463415099353327,2.1463415099353327,18.899999618530273,17.600000381469727,17.600000381469727,1.53,0.2,,,
Stevie Scott,5300.0,RB,IND,PSU,2.3018867564651204,1.9622640789679762,1.9622640789679762,12.199999809265137,10.399999618530273,10.399999618530273,,0.42,,,
Travis Etienne,9400.0,RB,CLEM,NCST,2.2978723810074175,2.021276595744681,2.021276595744681,21.600000381469727,19.0,19.0,,1.1,,,
Peyton Bender,5700.0,QB,KANSAS,TTU,2.2631578278123285,2.1403508437307255,2.1403508437307255,12.899999618530273,12.199999809265137,12.199999809265137,1.42,0,,,
KJ Hamler,6100.0,WR,PSU,IU,2.2131147540983607,1.9344262607762073,1.9344262607762073,13.5,11.800000190734863,11.800000190734863,,0.11,,,
Trevor Lawrence,8400.0,QB,CLEM,NCST,2.1904761450631276,2.011904716491699,2.011904716491699,18.399999618530273,16.899999618530273,16.899999618530273,1.81,0.07,,,
Shea Patterson,6200.0,QB,MICH,MSU,2.1774193548387095,2.048387066010506,2.048387066010506,13.5,12.699999809265137,12.699999809265137,1.21,0.1,,,
Connor Heyward,4700.0,RB,MICHST,MICH,2.1702127253755608,1.936170293929729,1.936170293929729,10.199999809265137,9.100000381469727,9.100000381469727,,0.44,,,
