name,salary,position,team,opposing_team,median_value,upper_value,lower_value,median,upper,lower,sdPts,dropoff,sdRank,risk,offset
Matt Ryan,11200,QB,ATL,NYG,2.008928571,2.008928571,2.008928571,22.5,22.5,22.5,0,0,0,0,
Julio Jones,10600,WR,ATL,NYG,2.103773513,2.103773513,2.103773513,22.29999924,22.29999924,22.29999924,0,0,0,0,
Saquon Barkley,12000,RB,NYG,ATL,1.716666698,1.716666698,1.716666698,20.60000038,20.60000038,20.60000038,0,0,0,0,
Tevin Coleman,7400,RB,ATL,NYG,2.283783732,2.283783732,2.283783732,16.89999962,16.89999962,16.89999962,0,0,0,0,
Eli Manning,9400,QB,NYG,ATL,1.723404336,1.723404336,1.723404336,16.20000076,16.20000076,16.20000076,0,0,0,0,
Sterling Shepard,6600,WR,NYG,ATL,1.893939394,1.893939394,1.893939394,12.5,12.5,12.5,0,0,0,0,
Mohamed Sanu,6200,WR,ATL,NYG,1.790322642,1.790322642,1.790322642,11.10000038,11.10000038,11.10000038,0,0,0,0,
Calvin Ridley,7000,WR,ATL,NYG,1.571428571,1.571428571,1.571428571,11,11,11,0,0,0,0,
Ito Smith,4400,RB,ATL,NYG,2.477272641,2.477272641,2.477272641,10.89999962,10.89999962,10.89999962,0,0,0,0,
Austin Hooper,5800,TE,ATL,NYG,1.775862102,1.775862102,1.775862102,10.30000019,10.30000019,10.30000019,0,0,0,0,
Evan Engram,5000,TE,NYG,ATL,1.779999924,1.779999924,1.779999924,8.899999619,8.899999619,8.899999619,0,0,0,0,
Russell Shepard,1400,WR,NYG,ATL,3.071428708,3.071428708,3.071428708,4.300000191,4.300000191,4.300000191,0,0,0,0,
Wayne Gallman,1800,RB,NYG,ATL,2.16666672,2.16666672,2.16666672,3.900000095,3.900000095,3.900000095,0,0,0,0,
Justin Hardy,3000,WR,ATL,NYG,0.699999968,0.699999968,0.699999968,2.099999905,2.099999905,2.099999905,0,0,0,0,
Rhett Ellison,1000,TE,NYG,ATL,1.799999952,1.799999952,1.799999952,1.799999952,1.799999952,1.799999952,0,0,0,0,
Logan Paulsen,200,TE,ATL,NYG,6.000000238,6.000000238,6.000000238,1.200000048,1.200000048,1.200000048,0,0,0,0,
Eric Saubert,200,TE,ATL,NYG,3.49999994,3.49999994,3.49999994,0.699999988,0.699999988,0.699999988,0,0,0,0,
Marvin Hall,2000,WR,ATL,NYG,0.300000012,0.300000012,0.300000012,0.600000024,0.600000024,0.600000024,0,0,0,0,
Matt Schaub,6000,QB,ATL,NYG,0.033333334,0.033333334,0.033333334,0.200000003,0.200000003,0.200000003,0,0,0,0,
Cody Latimer,200,WR,NYG,ATL,0.500000007,0.500000007,0.500000007,0.100000001,0.100000001,0.100000001,0,0,0,0,
Alex Tanney,6000,QB,NYG,ATL,0.016666667,0.016666667,0.016666667,0.100000001,0.100000001,0.100000001,0,0,0,0,
