name,salary,position,team,opposing_team,median_value,upper_value,lower_value,median,upper,lower,sdPts,dropoff,sdRank,risk,offset
LeSean McCoy,16.0,RB,BUF,IND,9.283710718154907,10.264555215835571,7.425000071525574,14.853937149047852,16.423288345336914,11.880000114440918,1.79561737121735,0.589648735366472,2.3,7.04502044838971,
Chester Rogers,10.0,WR,IND,BUF,8.034588813781738,10.019645690917969,6.210000038146973,8.034588813781738,10.019645690917969,6.210000038146973,1.76400617842366,0.202816018329971,6.1,7.61964766323099,
Lamar Miller,12.0,RB,HOU,JAX,9.027567704518637,9.9849534034729,6.508333285649618,10.833081245422363,11.98194408416748,7.809999942779541,1.7383500030769,0.135464698825357,2.6,7.14813577063799,
Terrelle Pryor,10.0,WR,NYJ,MIN,6.628017425537109,9.59553337097168,2.6700000762939453,6.628017425537109,9.59553337097168,2.6700000762939453,3.20059699057136,0.117456380816611,4.5,9.07107966585323,
Peyton Barber,12.0,RB,TB,CLE,7.735558350880941,9.463304678599041,4.3416666984558105,9.282670021057129,11.355965614318848,5.210000038146973,2.42972412533844,0.104743260245471,3.4,8.74067013214409,
Danny Amendola,10.0,WR,MIA,DET,7.572409152984619,9.40633773803711,5.510000228881836,7.572409152984619,9.40633773803711,5.510000228881836,2.0238116373546,0.359152006194971,6.1,7.98495301790677,
Jermaine Kearse,12.0,WR,NYJ,MIN,7.147878011067709,9.323071638743084,1.9916667540868125,8.57745361328125,11.1876859664917,2.390000104904175,3.54948007737843,0.126682970520934,10.2,11.5869838350513,
Cole Beasley,12.0,WR,DAL,WAS,8.066434065500896,8.895796140034994,5.9049999713897705,9.679720878601074,10.674955368041992,7.085999965667725,1.39422306726243,0.0657081438409879,5.4,6.8509786433871,
Tarik Cohen,16.0,RB,CHI,NE,8.075827956199646,8.893775939941406,6.917206645011902,12.921324729919434,14.23004150390625,11.067530632019043,1.31842805664181,0.404171182129408,1.6,5.85098193972399,
Javorius Allen,14.0,RB,BAL,NO,7.574234008789063,8.773710387093681,5.897857121058873,10.603927612304688,12.283194541931152,8.256999969482422,1.68803763806928,0.396494833966182,1.4,6.29957922636983,
Pierre Garcon,12.0,WR,SF,LAR,7.542279561360678,8.696188131968182,5.541666746139526,9.050735473632812,10.435425758361816,6.650000095367432,1.48212651537668,0.420378615363033,3.2,6.19286355412785,
Adam Humphries,10.0,WR,TB,CLE,6.98396635055542,8.502487182617188,5.190000057220459,6.98396635055542,8.502487182617188,5.190000057220459,1.42626368970339,0.246458387905789,4,6.39857589819397,
Wendell Smallwood,15.0,RB,PHI,CAR,7.565681457519531,8.39726448059082,5.540393193562825,11.348522186279297,12.59589672088623,8.310589790344238,1.59181202278376,0.239191735788824,4.8,8.33110829445819,
Josh Reynolds,10.0,WR,LAR,SF,5.675448894500732,8.360294342041016,2.109999895095825,5.675448894500732,8.360294342041016,2.109999895095825,2.53530464378954,0.201624061911454,14.3,11.6178096017361,
Kelvin Benjamin,10.0,WR,BUF,IND,7.44254732131958,8.350740432739258,5.28000020980835,7.44254732131958,8.350740432739258,5.28000020980835,1.27544588744152,0.527065203328203,2.6,5.68906092000007,
Anthony Miller,11.0,WR,CHI,NE,7.1234048496593125,8.233733610673383,5.726956020702015,7.835745334625244,9.057106971740723,6.299651622772217,1.35880746007602,0.0939070435910434,4.4,6.44585730564876,
Christian McCaffrey,26.0,RB,CAR,PHI,7.590903502244215,8.198060989379883,6.211063678448016,19.73634910583496,21.314958572387695,16.148765563964844,2.42906133641346,0.889217756979782,1.3,7.39209617844964,
Duke Johnson,13.0,RB,CLE,TB,7.137857583852915,8.197035422691933,6.153401961693397,9.279214859008789,10.656146049499512,7.999422550201416,1.32633846114246,0.240322364150126,1.6,5.86332952072657,
Jameis Winston,26.0,QB,TB,CLE,7.6325196486253,8.067517647376427,6.701184052687425,19.84455108642578,20.97554588317871,17.423078536987305,1.40603901116311,0.248931310521446,1.8,7.48539650514946,
C.J. Beathard,22.0,QB,SF,LAR,7.636364156549626,7.860770659013228,7.3363633589311075,16.80000114440918,17.2936954498291,16.139999389648438,0.577559109295303,1.10093233663223,1.3,5.43237838560372,
Charles Clay,10.0,TE,BUF,IND,7.025906085968018,7.832548141479492,5.900000095367432,7.025906085968018,7.832548141479492,5.900000095367432,0.827801797621321,0.583127035436414,1,4.77362449404986,
Kyle Rudolph,15.0,TE,MIN,NYJ,6.944337844848633,7.823137919108073,5.513333638509114,10.41650676727295,11.73470687866211,8.270000457763672,1.21467146863387,0.487744459557099,1,5.5027792908405,
Mitchell Trubisky,26.0,QB,CHI,NE,7.2527151841383715,7.819565259493314,6.311223690326397,18.857059478759766,20.330869674682617,16.409181594848633,1.39473984051093,0.153976647555133,1.8,7.47054589176173,
Zay Jones,10.0,WR,BUF,IND,6.84699821472168,7.782712459564209,5.489999771118164,6.84699821472168,7.782712459564209,5.489999771118164,1.08651247173658,0.247127431529066,5.1,6.31171785937037,
Taylor Gabriel,15.0,WR,CHI,NE,7.06696891784668,7.773319244384766,6.206666946411133,10.60045337677002,11.659978866577148,9.3100004196167,1.0117286514627,0.0824176760579078,2.6,5.31825532253584,
Dak Prescott,23.0,QB,DAL,WAS,7.315449092699135,7.756694296131964,6.626695550006369,16.825532913208008,17.840396881103516,15.241399765014648,1.23336530813482,0.48616683271932,0.7,5.13734465069175,
Marquise Goodwin,15.0,WR,SF,LAR,7.043481190999349,7.743925094604492,6.086666742960612,10.565221786499023,11.615887641906738,9.130000114440918,1.41577172333255,0.193606260816383,8.1,7.84065355497766,
Damion Ratley,11.0,WR,CLE,TB,5.863088694485751,7.737535129893909,2.5272727012634277,6.449397563934326,8.5112886428833,2.7799999713897705,2.78064707673258,0.240514053254561,6.2,9.08465108507506,
Matthew Stafford,26.0,QB,DET,MIA,7.187458918644832,7.702367489154522,6.752622310931866,18.687393188476562,20.026155471801758,17.55681800842285,1.19242696118751,0.119337547155435,1.2,6.04767764025491,
Keke Coutee,13.0,WR,HOU,JAX,6.518234106210562,7.697250659649188,3.4076921756450944,8.47370433807373,10.006425857543945,4.429999828338623,2.36005132805124,0.0720791838712618,3.5,7.53388696350978,
Torrey Smith,10.0,WR,CAR,PHI,6.045248031616211,7.645438194274902,4.179999828338623,6.045248031616211,7.645438194274902,4.179999828338623,1.67362843032465,0.0815084639088859,3.2,6.4621291625143,
Mark Ingram,18.0,RB,NO,BAL,7.310163180033365,7.643957138061523,6.939429706997341,13.158293724060059,13.759122848510742,12.490973472595215,0.634857076440732,0.421273344612915,2.5,5.36149294831038,
Alex Collins,17.0,RB,BAL,NO,7.215312508975758,7.63717763564166,6.429411944221048,12.266031265258789,12.98320198059082,10.930000305175781,0.799641300139978,0.31979574032356,2,5.29786673592807,
Jamaal Charles,10.0,RB,JAC,HOU,5.2212395668029785,7.620335578918457,2.440000057220459,5.2212395668029785,7.620335578918457,2.440000057220459,2.37638729244637,0.508163347057003,4,9.04242636818528,
Theo Riddick,13.0,RB,DET,MIA,6.603196951059195,7.611616574800931,4.938461597149189,8.584156036376953,9.895101547241211,6.420000076293945,1.43216184641264,0.671506698105162,2.4,6.54186066589513,
T.J. Yeldon,22.0,RB,JAC,HOU,6.544508934020995,7.581083124334161,5.102992057800293,14.397919654846191,16.678382873535156,11.226582527160645,2.08965595712649,0.337429310284397,6.5,10.199072623724,
Chris Thompson,19.0,RB,WAS,DAL,6.470566297832288,7.538333692048726,4.515789433529503,12.294075965881348,14.322834014892578,8.579999923706055,2.24326775355857,0.0809331229500803,5.2,9.60465870594525,
Corey Clement,18.0,RB,PHI,CAR,6.517898241678873,7.518641683790419,4.671111106872559,11.732216835021973,13.533555030822754,8.407999992370605,2.04055949301713,0.402640987099202,2.1,7.29902066278556,
Julian Edelman,22.0,WR,NE,CHI,6.621642546220259,7.448894327337091,5.559333020990545,14.56761360168457,16.3875675201416,12.2305326461792,1.91747268399009,0.485222998653589,2.3,6.4851999243027,
Blake Bortles,27.0,QB,JAC,HOU,6.8709592466001155,7.445180681016709,6.227864865903501,18.551589965820312,20.101987838745117,16.815235137939453,1.45588365712895,0.750175264252565,1,6.00828595188052,
Cooper Kupp,23.0,WR,LAR,SF,4.181588214376698,7.3635632058848515,-0.03486165857833365,9.617652893066406,16.936195373535156,-0.08018181473016739,8.61394658976274,0.118876338583547,20.3,22.2967684204401,
Allen Robinson,19.0,WR,CHI,NE,6.570457659269635,7.351911946346886,5.7003427806653475,12.483869552612305,13.968632698059082,10.83065128326416,1.69383686124808,0.301443367335557,2.5,6.24181659056037,
